vid,start,end,text
lRrZiiMT68g,5440,7279,i always understood that there really
lRrZiiMT68g,7279,9040,was no difference between me and the
lRrZiiMT68g,9040,10400,audience
lRrZiiMT68g,10400,12400,at times i might have had better shoes
lRrZiiMT68g,12400,14160,but at the core
lRrZiiMT68g,14160,15360,the core
lRrZiiMT68g,15360,18160,of of what really matters
lRrZiiMT68g,18160,20080,that we are the same and you know how i
lRrZiiMT68g,20080,22160,know that because
lRrZiiMT68g,22160,24080,all of us are seeking the same thing
lRrZiiMT68g,24080,27119,you're here at this fabulous school
lRrZiiMT68g,27119,30000,and we'll go out into the world and each
lRrZiiMT68g,30000,32880,pursue based upon what you believe your
lRrZiiMT68g,32880,34320,talents are
lRrZiiMT68g,34320,36800,what your skills are maybe your gifts
lRrZiiMT68g,36800,37520,are
lRrZiiMT68g,37520,39440,but you're seeking the same thing
lRrZiiMT68g,39440,41840,everybody wants to fulfill
lRrZiiMT68g,41840,43200,the highest
lRrZiiMT68g,43200,47120,truest expression of yourself
lRrZiiMT68g,47120,48719,as a human being
lRrZiiMT68g,48719,50640,that's what you're looking for
lRrZiiMT68g,50640,52000,the highest
lRrZiiMT68g,52000,53280,truest
lRrZiiMT68g,53280,55920,expression of yourself as a human being
lRrZiiMT68g,55920,58000,and because i understand that i
lRrZiiMT68g,58000,59359,understand that if you're working in a
lRrZiiMT68g,59359,60480,bakery
lRrZiiMT68g,60480,62079,and that's where you want to be
lRrZiiMT68g,62079,63760,and that may be that that may be what
lRrZiiMT68g,63760,65680,you've always wanted to do is to bake
lRrZiiMT68g,65680,67920,pies for people or bake cakes for people
lRrZiiMT68g,67920,70080,or to offer your gift
lRrZiiMT68g,70080,72159,then then that's that's for you and
lRrZiiMT68g,72159,73680,there's no difference between you and me
lRrZiiMT68g,73680,75439,except that's how that's your platform
lRrZiiMT68g,75439,77840,that's your show every day so my
lRrZiiMT68g,77840,81280,understanding of that has allowed me to
lRrZiiMT68g,81280,83520,you know everyone to reach everyone and
lRrZiiMT68g,83520,85280,and there's no way that you wouldn't
lRrZiiMT68g,85280,88320,because that's that's what i truly feel
lRrZiiMT68g,88320,91360,the way through the challenge
lRrZiiMT68g,91360,93360,is to get still
lRrZiiMT68g,93360,96400,and ask yourself what is the next right
lRrZiiMT68g,96400,97439,move
lRrZiiMT68g,97439,99680,not think about oh i got all of this
lRrZiiMT68g,99680,102479,stuff what is the next right move and
lRrZiiMT68g,102479,104960,then from that space make the next right
lRrZiiMT68g,104960,107439,move and the next right move and not to
lRrZiiMT68g,107439,109840,be overwhelmed by it because you know
lRrZiiMT68g,109840,111840,your life is bigger than that one moment
lRrZiiMT68g,111840,114159,you know you're not defined by what
lRrZiiMT68g,114159,117040,somebody says is a failure for you
lRrZiiMT68g,117040,118560,because failure is just there to point
lRrZiiMT68g,118560,120960,you in a different direction
lRrZiiMT68g,120960,122960,if i leave you with nothing else it's
lRrZiiMT68g,122960,124960,just know this for sure
lRrZiiMT68g,124960,127439,there is not one
lRrZiiMT68g,127439,131520,thing that has ever happened to you
lRrZiiMT68g,131520,133440,not one experience
lRrZiiMT68g,133440,136959,not one encounter not one crisis not one
lRrZiiMT68g,136959,139440,joyful thing that hasn't
lRrZiiMT68g,139440,140720,happened
lRrZiiMT68g,140720,142480,just to make
lRrZiiMT68g,142480,145520,you better and help you rise
lRrZiiMT68g,145520,148400,every single thing you're calling in
lRrZiiMT68g,148400,149680,whether you know it or not when you
lRrZiiMT68g,149680,151760,figure out that you are calling it in
lRrZiiMT68g,151760,153360,when you actually start meditating or
lRrZiiMT68g,153360,155200,praying or doing or having a spiritual
lRrZiiMT68g,155200,157120,practice which is the number one thing
lRrZiiMT68g,157120,159120,you need if you want to be successful in
lRrZiiMT68g,159120,161760,the world you need something that gives
lRrZiiMT68g,161760,164160,back and nourishes you
lRrZiiMT68g,164160,165680,regardless of what you call that you
lRrZiiMT68g,165680,168160,need to you need to fill your cup so
lRrZiiMT68g,168160,171120,that you can be so full your cup runneth
lRrZiiMT68g,171120,173040,over and you have enough to give to
lRrZiiMT68g,173040,175040,other people if you don't fill your cup
lRrZiiMT68g,175040,177360,you end up dried up
lRrZiiMT68g,177360,179360,you end up tired exhausted and don't
