vid,start,end,text
lZM2I1uvCbI,0,4740,pero se van a tener de la grana que yo
lZM2I1uvCbI,4740,10220,tengo para cómo hacer para quererte a ti
lZM2I1uvCbI,10220,12200,[Música]
lZM2I1uvCbI,12200,16650,y como todo no hay un sustituto para ese
lZM2I1uvCbI,16650,18510,cuerpo tuyo que a mí ya me estoy
lZM2I1uvCbI,18510,21119,disputando en un rato te busco la
lZM2I1uvCbI,21119,25050,política atún rojo que no hay nadie como
lZM2I1uvCbI,25050,26420,tú
lZM2I1uvCbI,26420,30440,porque no hay nadie como tú
lZM2I1uvCbI,30440,32650,no hay nadie como tú
lZM2I1uvCbI,32650,38890,[Música]
