vid,start,end,text
lm4J1TatFyE,320,6080,hi sunny i hope that you're having a  good day  i've been actually watching your video
lm4J1TatFyE,6080,11360,for a while now and i got this idea to  invite you to my home country iran
lm4J1TatFyE,11360,17690,and you know as i've heard from many  other foreigners that they have loved  the food in here
lm4J1TatFyE,17690,25279,[Music]  we also have amazing hospitable people
lm4J1TatFyE,25279,32480,and great sites for you to see  [Music]
lm4J1TatFyE,32480,40000,i will be really happy to host you and  guide you throughout your trip in iran
lm4J1TatFyE,43360,50260,and i really just hope that you accept  my invitation i will be really happy to  have you in my home country
lm4J1TatFyE,50260,57039,[Music]  [Laughter]
lm4J1TatFyE,57039,62320,for most the world traveling to iran is  no big deal
lm4J1TatFyE,63359,69759,travelers from nearly every country can  just show up and get a visa on arrival
lm4J1TatFyE,71760,78080,for americans it's a different story  the u.s state department has given iran
lm4J1TatFyE,78080,85759,a travel advisory of four the most  dangerous rating possible in plain words  they state do not travel do not travel
lm4J1TatFyE,85759,91119,to iran due to risk of kidnapping arrest  or detention of u.s citizens leaving
lm4J1TatFyE,91119,96720,vietnam headed to the airport i'm really  curious how the people of iran are gonna
lm4J1TatFyE,96720,101920,accept an american if they're gonna  accept an american considering  everything that's going on right now few
lm4J1TatFyE,101920,109280,americans travel to iran and even fewer  are granted press visas allowing them to  document their experience in the country
lm4J1TatFyE,109280,118159,until  now  [Music]
lm4J1TatFyE,118159,124320,i'm not here as a reporter  i'm good at this i'm not here as a  journalist
lm4J1TatFyE,124320,131440,and my agenda is to witness and share  the daily lives of people in iran you  know it's kind of traditional it feels
lm4J1TatFyE,131440,136640,like breakfast except that there's lamb  in there experience their unique  culinary secrets what are some of the
lm4J1TatFyE,136640,141840,benefits of this one good for uh sex  also all right and the men and women
lm4J1TatFyE,141840,147440,behind them i called a family member and  i said hey yeah i'm feeling a little bit  nervous about going to iran
lm4J1TatFyE,147440,153440,are you wrong  we're dropping by the capitol's busiest  kitchen where they're kicking out
lm4J1TatFyE,153440,159519,thousands of meals each day have you  ever tried it this fresh in the kitchen  no it's very special right yeah dining
lm4J1TatFyE,159519,164640,on unique delicacies i never expected to  find in iran
lm4J1TatFyE,164640,170319,discarding the eyeball but all this fat  and muscle tissue is keeping right here  and getting lost in the desert where
lm4J1TatFyE,170319,174160,i'll be grabbing life by the camel
