vid,start,end,text
mGv0ze0lHKA,533,35533,♪♪♪
mGv0ze0lHKA,35566,37533,♪ WHO KNOWS HOW LONG? ♪
mGv0ze0lHKA,37566,40166,♪ I'VE BEEN AWAKE NOW ♪
mGv0ze0lHKA,41433,45032,♪ THE SHADOWS ON MY WALL DON'T SLEEP ♪
mGv0ze0lHKA,46666,49300,♪ THEY KEEP CALLING ME ♪
mGv0ze0lHKA,49333,50566,♪ BECKONING ♪
mGv0ze0lHKA,53300,55433,♪ WHO KNOWS WHAT'S RIGHT? ♪
mGv0ze0lHKA,55466,58400,♪ THE LIES KEEP GETTING THINNER ♪
mGv0ze0lHKA,59400,63033,♪ MY AGE HAS NEVER MADE ME WISE ♪
mGv0ze0lHKA,64365,71299,♪ BUT I KEEP PUSHING ON AND ON AND ON AND ON ♪
mGv0ze0lHKA,72400,77333,♪ THERE'S NOTHING LEFT TO SAY NOW OH OH ♪
mGv0ze0lHKA,77366,79600,♪ THERE'S NOTHING LEFT TO SAY NOW OH OH ♪
mGv0ze0lHKA,79633,82600,"♪ I'M GIVING UP, GIVING UP HE HE ♪"
mGv0ze0lHKA,82633,84433,♪ GIVING UP NOW ♪
mGv0ze0lHKA,84466,87300,"♪ I'M GIVING UP, GIVING UP HE HE ♪"
mGv0ze0lHKA,87333,89066,♪ GIVING UP NOW ♪
mGv0ze0lHKA,90533,94766,♪ THERE'S NOTHING LEFT TO SAY NOW OH OH ♪
mGv0ze0lHKA,94800,98100,♪ THERE'S NOTHING LEFT TO SAY NOW OH OH ♪
mGv0ze0lHKA,98133,100533,"♪ I'M GIVING UP, GIVING UP HE HE ♪"
mGv0ze0lHKA,100566,102200,♪ GIVING UP NOW ♪
mGv0ze0lHKA,102233,105200,"♪ I'M GIVING UP, GIVING UP HE HE ♪"
mGv0ze0lHKA,105233,106533,♪ GIVING UP NOW ♪
mGv0ze0lHKA,106566,108666,"♪ BELOW, MY SOUL ♪"
mGv0ze0lHKA,108700,111333,♪ I'M FEELIN' INJURED ♪
mGv0ze0lHKA,112633,116433,♪ COLLAPSING AS IT SEES THE PAIN ♪
mGv0ze0lHKA,117533,120732,♪ IF I COULD ONLY SHUT IT OUT ♪
mGv0ze0lHKA,124400,129300,♪ I'VE COME TOO FAR TO SEE THE END NOW ♪
mGv0ze0lHKA,130500,134133,♪ EVEN IF MY WAY IS WRONG ♪
mGv0ze0lHKA,135466,141733,♪ BUT I KEEP PUSHING ON AND ON AND ON AND ON ♪
mGv0ze0lHKA,143766,148366,♪ THERE'S NOTHING LEFT TO SAY NOW OH OH ♪
mGv0ze0lHKA,148400,151265,♪ THERE'S NOTHING LEFT TO SAY NOW OH OH ♪
mGv0ze0lHKA,151300,153733,"♪ I'M GIVING UP, GIVING UP HE HE ♪"
mGv0ze0lHKA,153766,155466,♪ GIVING UP NOW ♪
mGv0ze0lHKA,155500,158433,"♪ I'M GIVING UP, GIVING UP HE HE ♪"
mGv0ze0lHKA,158466,160166,♪ GIVING UP NOW ♪
mGv0ze0lHKA,161700,166200,♪ THERE'S NOTHING LEFT TO SAY NOW OH OH ♪
mGv0ze0lHKA,166233,168700,♪ THERE'S NOTHING LEFT TO SAY NOW OH OH ♪
mGv0ze0lHKA,168733,171600,"♪ I'M GIVING UP, GIVING UP HE HE ♪"
mGv0ze0lHKA,171633,173366,♪ GIVING UP NOW ♪
mGv0ze0lHKA,173400,176265,"♪ I'M GIVING UP, GIVING UP HE HE ♪"
mGv0ze0lHKA,176300,177800,♪ GIVING UP NOW ♪
mGv0ze0lHKA,179433,183233,"♪ I KEEP FALLIN', I KEEP FALLIN' DOWN ♪"
mGv0ze0lHKA,184033,187400,"♪ I KEEP FALLIN', I KEEP FALLIN' DOWN ♪"
mGv0ze0lHKA,197200,200666,"♪ I KEEP FALLIN', I KEEP FALLIN' DOWN ♪"
mGv0ze0lHKA,201666,205600,"♪ I KEEP FALLIN', I KEEP FALLIN' DOWN ♪"
mGv0ze0lHKA,206633,209500,♪ IF YOU COULD ONLY SAVE ME ♪
mGv0ze0lHKA,209533,215300,♪ I'M DROWNING IN THE WATERS OF MYSELF ♪
mGv0ze0lHKA,215333,219532,♪ THERE'S NOTHING LEFT TO SAY NOW OH OH ♪
mGv0ze0lHKA,219566,222400,♪ THERE'S NOTHING LEFT TO SAY NOW OH OH ♪
mGv0ze0lHKA,222433,225033,"♪ I'M GIVING UP, GIVING UP HE HE ♪"
mGv0ze0lHKA,225066,226532,♪ GIVING UP NOW ♪
mGv0ze0lHKA,226566,229500,"♪ I'M GIVING UP, GIVING UP HE HE ♪"
mGv0ze0lHKA,229533,231333,♪ GIVING UP NOW ♪
mGv0ze0lHKA,232766,237366,♪ THERE'S NOTHING LEFT TO SAY NOW OH OH ♪
mGv0ze0lHKA,237400,240232,♪ THERE'S NOTHING LEFT TO SAY NOW OH OH ♪
mGv0ze0lHKA,240266,242800,"♪ I'M GIVING UP, GIVING UP HE HE ♪"
mGv0ze0lHKA,243000,244500,♪ GIVING UP NOW ♪
mGv0ze0lHKA,244533,247366,"♪ I'M GIVING UP, GIVING UP HE HE ♪"
mGv0ze0lHKA,247400,249066,♪ GIVING UP NOW ♪
mGv0ze0lHKA,249100,339000,♪♪♪
