vid,start,end,text
mw06V-Z6zmg,4799,7120,and kane played it early and solas found
mw06V-Z6zmg,7120,10559,sissoko and spurs have two on one here
mw06V-Z6zmg,10559,14559,and shisoko lashes it over no fine album
mw06V-Z6zmg,14559,16960,money
mw06V-Z6zmg,16960,19359,until van dyke was there in the nick of
mw06V-Z6zmg,19359,21240,time with another important block
mw06V-Z6zmg,21240,23439,[Music]
mw06V-Z6zmg,23439,26720,well that is top class defending virgil
mw06V-Z6zmg,26720,28240,claudio
mw06V-Z6zmg,28240,31439,now kante gold side of the pullback
mw06V-Z6zmg,31439,34399,that time wasn't letting it past
mw06V-Z6zmg,34399,36000,and it is a gold kick that's a great
mw06V-Z6zmg,36000,39000,challenge
mw06V-Z6zmg,86220,91370,[Laughter]
mw06V-Z6zmg,93470,94510,[Applause]
mw06V-Z6zmg,94510,95870,[Music]
mw06V-Z6zmg,95870,99520,[Applause]
mw06V-Z6zmg,99520,100310,[Music]
mw06V-Z6zmg,100310,101540,[Applause]
mw06V-Z6zmg,101540,104689,[Music]
mw06V-Z6zmg,116490,120329,[Applause]
mw06V-Z6zmg,120880,122479,has that little extra yard of
mw06V-Z6zmg,122479,125360,acceleration and makes a typical virtual
mw06V-Z6zmg,125360,128600,fan back
mw06V-Z6zmg,140879,142959,is
mw06V-Z6zmg,146720,150360,as well those two
mw06V-Z6zmg,185160,185480,[Music]
mw06V-Z6zmg,185480,189010,[Applause]
mw06V-Z6zmg,191190,193760,[Music]
mw06V-Z6zmg,193760,197159,gets the ball
mw06V-Z6zmg,197450,200270,[Music]
mw06V-Z6zmg,200270,203389,[Applause]
mw06V-Z6zmg,211840,214239,[Applause]
mw06V-Z6zmg,214239,218680,oh brilliant turn away from van dyke
mw06V-Z6zmg,220790,223879,[Applause]
mw06V-Z6zmg,239760,243319,perfectly tied
mw06V-Z6zmg,267040,268880,forward and the flag stays down and
mw06V-Z6zmg,268880,271199,mkhitaryan tries to step away from van
mw06V-Z6zmg,271199,272560,dyke who just out muscles
mw06V-Z6zmg,272560,273840,[Music]
mw06V-Z6zmg,273840,275840,running straight away giroud just ran
mw06V-Z6zmg,275840,278160,away
mw06V-Z6zmg,278800,280479,as nico schultz
mw06V-Z6zmg,280479,281260,gets inside
mw06V-Z6zmg,281260,282480,[Applause]
mw06V-Z6zmg,282480,288059,[Music]
mw06V-Z6zmg,292010,295120,[Music]
mw06V-Z6zmg,295120,297440,as he runs at him tries to link up with
mw06V-Z6zmg,297440,299600,lacazette but it is
mw06V-Z6zmg,299600,302600,great
mw06V-Z6zmg,320720,323720,is
mw06V-Z6zmg,349280,352919,comes out on top
mw06V-Z6zmg,362880,365880,again
mw06V-Z6zmg,366310,369379,[Music]
mw06V-Z6zmg,386800,388879,you
