vid,start,end,text
mxiEI65M9_M,80,1280,this is the biggest 10 million
mxiEI65M9_M,1280,3360,subscriber video you've ever seen i mean
mxiEI65M9_M,3360,4880,just for starters we've got new profile
mxiEI65M9_M,4880,6480,picture new channel banner and a
mxiEI65M9_M,6480,8320,completely next level outro that you'll
mxiEI65M9_M,8320,10480,see at the end but more importantly it's
mxiEI65M9_M,10480,12880,finally time to announce six things six
mxiEI65M9_M,12880,14080,major developments that i've been
mxiEI65M9_M,14080,15679,working on for a long time our
mxiEI65M9_M,15679,17600,completely upgraded room
mxiEI65M9_M,17600,20160,the largest tech giveaway in history how
mxiEI65M9_M,20160,22160,are going to help to save the planet a
mxiEI65M9_M,22160,24240,record-breaking collab that i've somehow
mxiEI65M9_M,24240,26560,managed to keep completely quiet a
mxiEI65M9_M,26560,28240,double youtube diamond play button
mxiEI65M9_M,28240,29439,unboxing
mxiEI65M9_M,29439,31760,and finally an answer to the single most
mxiEI65M9_M,31760,34079,asked question i've ever had why is this
mxiEI65M9_M,34079,35840,channel actually called mr who's the
mxiEI65M9_M,35840,39440,boss so buckle up this is gonna be fun
mxiEI65M9_M,39440,41680,okay this room we use this room to film
mxiEI65M9_M,41680,43440,every single one of our videos this room
mxiEI65M9_M,43440,46320,has had over 2 billion views so here's
mxiEI65M9_M,46320,47600,what i've done to take it to the next
mxiEI65M9_M,47600,50160,level we got a custom neon sign that can
mxiEI65M9_M,50160,52239,be coded to display whatever color we
mxiEI65M9_M,52239,54640,want i hired a sound engineer to come
mxiEI65M9_M,54640,56640,into the space and completely optimize
mxiEI65M9_M,56640,58480,our audio quality with lots of little
mxiEI65M9_M,58480,60559,things like these acoustic panels up top
mxiEI65M9_M,60559,63359,to absorb all traces of echo listen out
mxiEI65M9_M,63359,65518,for it in future videos i've converted
mxiEI65M9_M,65518,67680,our storage room into a second set which
mxiEI65M9_M,67680,70000,specializes in top-down video so all
mxiEI65M9_M,70000,71920,those unboxing shots we do they're about
mxiEI65M9_M,71920,74159,to level up i've installed a projector
mxiEI65M9_M,74159,76000,screen right in front of our backdrop
mxiEI65M9_M,76000,77439,which means that without moving any
mxiEI65M9_M,77439,79439,lighting or any camera gear we can have
mxiEI65M9_M,79439,81119,two completely different looking video
mxiEI65M9_M,81119,83360,backgrounds but the single biggest
mxiEI65M9_M,83360,86320,improvement is these nanoleaf panels for
mxiEI65M9_M,86320,88320,years now we've had the same triangular
mxiEI65M9_M,88320,90640,arrangement on either side and to be
mxiEI65M9_M,90640,92000,fair it's been great at helping us to
mxiEI65M9_M,92000,93600,match the color of the room to the theme
mxiEI65M9_M,93600,95600,with the video but it was finally time
mxiEI65M9_M,95600,97840,to step up i've spent months now going
mxiEI65M9_M,97840,99200,back and forth back and forth with
mxiEI65M9_M,99200,101119,nanoleaf just hashing out dozens of
mxiEI65M9_M,101119,102799,potential ways to arrange different
mxiEI65M9_M,102799,104880,kinds of panels on these walls until it
mxiEI65M9_M,104880,106479,finally occurred to me that if we just
mxiEI65M9_M,106479,108720,fill the entire space with square panels
mxiEI65M9_M,108720,110399,then the whole wall effectively just
mxiEI65M9_M,110399,112560,becomes a digital canvas that we can
mxiEI65M9_M,112560,114399,paint with color you're gonna see some
mxiEI65M9_M,114399,115840,cool stuff from this
mxiEI65M9_M,115840,117600,okay you've seen giveaways before
mxiEI65M9_M,117600,119280,giveaways of iphones giveaways of 10
mxiEI65M9_M,119280,120719,phones you might have even entered in a
mxiEI65M9_M,120719,122159,few yourself
mxiEI65M9_M,122159,124320,never one like this
mxiEI65M9_M,124320,125840,i've pulled together with marquez from
mxiEI65M9_M,125840,128720,mkbhd and dbrand to create the tech
mxiEI65M9_M,128720,131280,giveaway to end all giveaways so this is
mxiEI65M9_M,131280,134080,what's up for grabs 10 iphone 13 pro
mxiEI65M9_M,134080,135840,maxes each of which will come out the
mxiEI65M9_M,135840,137680,box with a matte black dbrand skin
mxiEI65M9_M,137680,140879,pre-applied and 10 samsung galaxy s22
mxiEI65M9_M,140879,142480,ultras each of which will come with the
mxiEI65M9_M,142480,145120,new dbrand atomic edition case which is
mxiEI65M9_M,145120,147120,ridiculously nice
mxiEI65M9_M,147120,148319,but there's more
mxiEI65M9_M,148319,151360,20 playstation 5s each one customized to
mxiEI65M9_M,151360,153840,come with dbrand dark plates
mxiEI65M9_M,153840,155440,but there's more
mxiEI65M9_M,155440,158160,30 of the new oled nintendo switch with
mxiEI65M9_M,158160,160959,dbrand skins applied and 50 dbrand grip
mxiEI65M9_M,160959,164000,cases made for whichever phone you have
mxiEI65M9_M,164000,164800,but
