vid,start,end,text
n3ZKngkP8g8,0,1760,Ayo
n3ZKngkP8g8,1760,13730,[Musik]
n3ZKngkP8g8,13730,17580,kita mau jalan hari ini Abang sama apa
n3ZKngkP8g8,17580,20750,dan Aurel ada Akim juga kita mau makan
n3ZKngkP8g8,20750,29840,[Musik]
n3ZKngkP8g8,29840,32460,tadi semuanya buka puasa cuman kayak
n3ZKngkP8g8,32460,35270,seadanya ya
n3ZKngkP8g8,35960,39739,aku cek dulu ya
n3ZKngkP8g8,47840,50960,guys wanita Cut knowing
n3ZKngkP8g8,50960,57378,yo yo kalau aku mau coba semuanya
n3ZKngkP8g8,57739,62260,bakso Tuh heboh itu gold liberto Cebong
n3ZKngkP8g8,62260,64110,Ayah beatbox
n3ZKngkP8g8,64110,68490,punya dipakai tak pernah mereka
n3ZKngkP8g8,74310,79048,Pondok bakso Pak Joko ya Mini semuanya
n3ZKngkP8g8,82259,88440,kita keliling Oh ini ada lagi nih
n3ZKngkP8g8,88950,91990,oh ini ada teman-teman Gimana nih udah
n3ZKngkP8g8,91990,95159,pada Buka puasa udah sehat
n3ZKngkP8g8,95159,98940,kita mualaikum Masya Allah Apa Kabar
n3ZKngkP8g8,98940,101619,Sayang Rio ini kita ngundang dari
n3ZKngkP8g8,101619,103679,teman-teman bisa amanah
n3ZKngkP8g8,103679,108549,sini soal Enak bae pinter-pinter Ya udah
n3ZKngkP8g8,108549,112509,pada makan belum makan Udah tadi ya kan
n3ZKngkP8g8,112509,118509,bagus yang lain pesan-pesan semua oleh
n3ZKngkP8g8,120020,122899,Oh ya udah oleh tuh ini ada Kenapa
n3ZKngkP8g8,122899,124969,tangannya Terima kasih rasa Terimakasih
n3ZKngkP8g8,124969,126969,Mizan amanah
n3ZKngkP8g8,126969,129968,Alhamdulillah
n3ZKngkP8g8,131110,134950,makasih buat misalnya mana
n3ZKngkP8g8,136980,140050,[Musik]
n3ZKngkP8g8,140590,145239,Makasih ya setempel deh kalau
n3ZKngkP8g8,148490,155600,[Musik]
n3ZKngkP8g8,156310,159459,ada jualan apa aja nih
n3ZKngkP8g8,159459,163760,ini jualannya travel selama minuman sama
n3ZKngkP8g8,163760,167299,kopi ini kalau bikin kayak gini dari
n3ZKngkP8g8,167299,169629,sejak
n3ZKngkP8g8,170799,173720,Kenapa tiba-tiba ini gitu Apa ada yang
n3ZKngkP8g8,173720,177310,Bantuin apa usaha sendiri
n3ZKngkP8g8,177940,181650,Oh ini Benny Korea setiap nah ini kurang
n3ZKngkP8g8,181650,184230,kenceng Benny Gue nggak tahu inilah
n3ZKngkP8g8,184230,186959,sayang Benny kuring kredit usaha rakyat
n3ZKngkP8g8,186959,189959,jadi Iben itu memberikan fasilitas
n3ZKngkP8g8,189959,191370,tambahan kredit untuk menambah modal
n3ZKngkP8g8,191370,194490,jadi tambahan usaha produktif dalam
n3ZKngkP8g8,194490,196500,bentuk kredit modal kerja jadi kita juga
n3ZKngkP8g8,196500,198239,dapat menggunakan fasilitas kredit ini
n3ZKngkP8g8,198239,200930,sebagai kredit investasi
n3ZKngkP8g8,200930,204690,macho ya bagaimana jadi bagian dari UMKM
n3ZKngkP8g8,204690,207450,yang dibantuin sama disupport oleh Benny
n3ZKngkP8g8,207450,211590,purba bantu juga sini biar kelihatan
n3ZKngkP8g8,211590,215540,usahanya oke ya banyak
n3ZKngkP8g8,215540,218300,spam Jokowi grogi
n3ZKngkP8g8,218300,220459,Jakarta
n3ZKngkP8g8,220459,224220,jadi menaungi hanya putra-putra yang
n3ZKngkP8g8,224220,226130,UMKM aja Oh gitu
n3ZKngkP8g8,226130,228840,jika seseorang ingin membangun Putra
n3ZKngkP8g8,228840,231150,atau berbisnis Putra saya tanya dulu
n3ZKngkP8g8,231150,233519,UMKM bukan kalau yang KM langsung nanti
n3ZKngkP8g8,233519,236819,saya join saya enggak saya tanya dulu
n3ZKngkP8g8,236819,239670,udah punya modal nol Oke untuk membangun
n3ZKngkP8g8,239670,242200,unit segala macemnya ya kalau nggak kita
n3ZKngkP8g8,242200,245730,ada partner namanya Benny ya kita
n3ZKngkP8g8,245730,249810,Arahkan ke sana Nah kalau semuanya oke
n3ZKngkP8g8,249810,254170,baru kita ngasih konsultasi Oh gitu nya
n3ZKngkP8g8,254170,258190,lihat mobilnya videonya seksinya segala
n3ZKngkP8g8,258190,261039,macam kan ini harusnya ini buat Pak Joko
n3ZKngkP8g8,261039,262949,dibawa ada
n3ZKngkP8g8,262949,265090,temen-temen lu atau Instagram Pak Joko
n3ZKngkP8g8,265090,267449,ya Ini
n3ZKngkP8g8,267449,269830,juga nyoba Joko ini juga nih Nah ini
n3ZKngkP8g8,269830,272770,anggota sayap Andre Andre Oh ini pantai
n3ZKngkP8g8,272770,276479,juga nih wow
n3ZKngkP8g8,276720,279520,menerima bantuan dari kursinya BNI juga
n3ZKngkP8g8,279520,282210,oh
n3ZKngkP8g8,282389,285820,ah bagaimana udah disupport sama Beni
n3ZKngkP8g8,285820,289169,Aku maunya ya siap
n3ZKngkP8g8,289169,293530,dana dari bank untuk beli berapa
n3ZKngkP8g8,293530,294570,kira-kira
n3ZKngkP8g8,294570,296310,[Musik]
n3ZKngkP8g8,296310,300020,150000000 baguslah
n3ZKngkP8g8,300020,302330,untuk persyaratan proses proses
n3ZKngkP8g8,302330,304120,pengajuan aplikasi cepat dan gampang
n3ZKngkP8g8,304120,306740,dapetin kita sudah punya usaha selama
n3ZKngkP8g8,306740,309500,enam bulan udah berjalan Ambulans Emang
n3ZKngkP8g8,309500,312470,dan tidak menerima fasilitas kredit dari
n3ZKngkP8g8,312470,316220,bank lain kecuali kprnya KPR kendaraan
n3ZKngkP8g8,316220,318310,dan kartu kredit Oke
n3ZKngkP8g8,318310,321009,untuk UMKM
n3ZKngkP8g8,321009,323180,fasilitas kredit yang diberikan oleh
n3ZKngkP8g8,323180,326979,banget eh KUR bank BNI
n3ZKngkP8g8,327789,331400,kita bisa upgrade kita punya unit mau
n3ZKngkP8g8,331400,335000,yang kecil medium atau lars kita
n3ZKngkP8g8,335000,338479,pakailah situ 300-350 juta Oke kalau
n3ZKngkP8g8,338479,340569,yang kecil itu
n3ZKngkP8g8,340569,344380,35-50 juta yang ini
n3ZKngkP8g8,344380,347539,50-100 juta mau tergantung kitanya nih
n3ZKngkP8g8,347539,351250,cuman ngebutnya sejauh mana nih
n3ZKngkP8g8,351250,354590,tabungannya ini pertahunnya enam persen
n3ZKngkP8g8,354590,357060,pertahun Hai bener itu Macam mana kau
n3ZKngkP8g8,357060,358500,ini bisa jadi inspirasi juga buat
n3ZKngkP8g8,358500,360540,temen-temen yang pengen buka usaha tuh
n3ZKngkP8g8,360540,363080,UMKM yang baru-baru jadi bisa langsung
n3ZKngkP8g8,363080,366000,kerjasama sama keluarga ini kursi dan
n3ZKngkP8g8,366000,367800,pasti jadi ngebantu banget kan kita suka
n3ZKngkP8g8,367800,369030,bingung Apalagi sekarang kan banyak yang
n3ZKngkP8g8,369030,371130,mungkin diare Oh gak punya kerjaan
n3ZKngkP8g8,371130,373500,pengen bangun kerjaan baru ini salah
n3ZKngkP8g8,373500,375420,satu bener-bener bisa bermanfaat banget
n3ZKngkP8g8,375420,377310,buat teman-teman juga efeknya gimana tuh
n3ZKngkP8g8,377310,380070,dari dapat pinjaman dari BRI kur Oke
n3ZKngkP8g8,380070,384420,pertama Selain Kita bisa Usaha kita juga
n3ZKngkP8g8,384420,387360,nggak ditinggalin Sama Beni setiap ada
n3ZKngkP8g8,387360,391950,event BNI itu baik yang offline atau
n3ZKngkP8g8,391950,395040,yang e-concert segala macam kita dibantu
n3ZKngkP8g8,395040,397730,kita diprioritaskan itu
n3ZKngkP8g8,397730,401510,lebih diajakin
n3ZKngkP8g8,402530,405590,diajakin terus Ya iyalah
n3ZKngkP8g8,405590,409980,ya boleh kalau
n3ZKngkP8g8,415360,417669,Ayo kita pesan ke semuanya kita pesan
n3ZKngkP8g8,417669,420189,kita cobain semata dan Aurel Ajo mantap
n3ZKngkP8g8,420189,425009,tanyakan TNI Pur top best deh mantap
n3ZKngkP8g8,427420,429719,[Musik]
n3ZKngkP8g8,429719,432479,banget coba-coba
n3ZKngkP8g8,432479,434310,oke
n3ZKngkP8g8,434310,436530,lele ini
n3ZKngkP8g8,436530,440229,Virgo kita berdua aja belinya ini memang
n3ZKngkP8g8,440229,443439,banyak makan-makan aja biar kalau enggak
n3ZKngkP8g8,443439,444659,ini
