vid,start,end,text
o-IiANv-A7I,80,2399,these are the most epic game winners in
o-IiANv-A7I,2399,5040,nba history and first up we got game
o-IiANv-A7I,5040,6590,time keep an eye on them here
o-IiANv-A7I,6590,15040,[Music]
o-IiANv-A7I,15040,17600,damn dame dolla is a natural-born killer
o-IiANv-A7I,17600,18960,but at least that game winner didn't
o-IiANv-A7I,18960,21680,make a player cry like at number 19 with
o-IiANv-A7I,21680,23680,the series on the line kawhi was ready
o-IiANv-A7I,23680,26000,to bring the heat
o-IiANv-A7I,26000,29160,[Music]
o-IiANv-A7I,34900,35440,[Applause]
o-IiANv-A7I,35440,40329,[Music]
o-IiANv-A7I,40559,42800,somebody please get him be some tissues
o-IiANv-A7I,42800,44800,man now embiid should be lucky he didn't
o-IiANv-A7I,44800,47600,get put on skates like our 18th spot or
o-IiANv-A7I,47600,50960,from championship number six
o-IiANv-A7I,50960,52399,jordan
o-IiANv-A7I,52399,53360,open
o-IiANv-A7I,53360,55600,chicago was the lead
o-IiANv-A7I,55600,57520,michael jordan
o-IiANv-A7I,57520,60879,running on feud with 45 points man i
o-IiANv-A7I,60879,63199,just miss mj too much speaking of a
o-IiANv-A7I,63199,65518,player we miss at our 17th spot we got a
o-IiANv-A7I,65518,68240,player loved by every nba fan out there
o-IiANv-A7I,68240,73000,derrick rose aka d rose
o-IiANv-A7I,78799,80640,my guy was a walking high light rail in
o-IiANv-A7I,80640,82159,his prime and it's a shame it didn't
o-IiANv-A7I,82159,84640,last longer but anyways for our 16th
o-IiANv-A7I,84640,86479,most epic game winner we got the time
o-IiANv-A7I,86479,90159,lebron james made jimmy butler his
o-IiANv-A7I,90159,93840,against jimmy buffer attacking
o-IiANv-A7I,96079,99280,lebron gets away sends it for the win
o-IiANv-A7I,99280,101200,damn last second block and a
o-IiANv-A7I,101200,103360,game-winning buzzer but i mean lebron
o-IiANv-A7I,103360,105360,has pretty much embarrassed every nba
o-IiANv-A7I,105360,107040,player out there just watch what he did
o-IiANv-A7I,107040,111240,against the raptors at number fifteen
o-IiANv-A7I,122479,124000,that buzzer was so good even his
o-IiANv-A7I,124000,125520,teammates were in their feelings but
o-IiANv-A7I,125520,128080,lebron shot was all skill and zero luck
o-IiANv-A7I,128080,130000,unlike our 14th spot cause you're about
o-IiANv-A7I,130000,132720,to see the luckiest heave in nba history
o-IiANv-A7I,132720,135280,see back in 2018 with the score of 112
o-IiANv-A7I,135280,138160,to 114 hornets had 3.1 seconds to make
o-IiANv-A7I,138160,139760,something happen and there was only one
o-IiANv-A7I,139760,144360,thing left to do pray to the nba gods
o-IiANv-A7I,144360,146830,[Music]
o-IiANv-A7I,146830,156080,[Applause]
o-IiANv-A7I,156080,158720,just happened toronto but what lillard
o-IiANv-A7I,158720,164760,did in number 13 set okc and pg packing
o-IiANv-A7I,172080,174640,damn damn that wave was too cold but at
o-IiANv-A7I,174640,176720,number 12 kobe bryant did the legend
o-IiANv-A7I,176720,178790,dwayne wade even worse
o-IiANv-A7I,178790,179570,[Applause]
o-IiANv-A7I,179570,188469,[Music]
o-IiANv-A7I,189360,192080,kobe had wade all in tears that's tough
o-IiANv-A7I,192080,194560,bro anyways the black mamba shot was
o-IiANv-A7I,194560,196319,dope as hell but he didn't have one of
o-IiANv-A7I,196319,198000,the most unique buzzer beaters of all
o-IiANv-A7I,198000,201040,time like our 11th moment
o-IiANv-A7I,201040,202400,derozan
o-IiANv-A7I,202400,205280,to win it
o-IiANv-A7I,208000,211040,erosion deliver my god really made a
o-IiANv-A7I,211040,212799,one-of-a-kind three-pointer but the
o-IiANv-A7I,212799,214640,craziest part of it all was what he did
o-IiANv-A7I,214640,218159,the game after no kobe white two derozan
o-IiANv-A7I,218159,220560,two seconds in the corner for three and
o-IiANv-A7I,220560,223959,then again
o-IiANv-A7I,226959,229760,tomorrow derozan breaks the hearts of
o-IiANv-A7I,229760,231200,the lizards
o-IiANv-A7I,231200,233120,derozan really went back to back on
o-IiANv-A7I,233120,235040,buzzer beaters that's special at our
o-IiANv-A7I,235040,236959,number 10 spot we got dwyane wade with
o-IiANv-A7I,236959,239680,one of the craziest game winners
o-IiANv-A7I,239680,240959,with six
o-IiANv-A7I,240959,242400,not a good matchup right here for the
o-IiANv-A7I,242400,243920,heat salmon
o-IiANv-A7I,243920,246239,with a steal with two wade puts it up
o-IiANv-A7I,246239,248879,for the win
o-IiANv-A7I,249120,251280,he did it damn i don't know which part
o-IiANv-A7I,251280,253439,was the best the steal the three or
o-IiANv-A7I,253439,254720,jumping on the scorers table and
o-IiANv-A7I,254720,257280,screaming this is my house but somehow
o-IiANv-A7I,257280,258959,dwyane wade managed an even better
o-IiANv-A7I,258959,260880,buzzer except this time he got some
o-IiANv-A7I,260880,264120,extra help
o-IiANv-A7I,265740,269509,[Music]
o-IiANv-A7I,274460,276270,[Music]
o-IiANv-A7I,276270,278000,[Applause]
o-IiANv-A7I,278000,279759,i swear it even took wait a few seconds
o-IiANv-A7I,279759,281680,to realize he won the game all right now
o-IiANv-A7I,281680,283199,we're entering the last eight on our
o-IiANv-A7I,283199,284880,list which means things are about to go
o-IiANv-A7I,284880,288160,to a crazy level it was 2007 season
o-IiANv-A7I,288160,289919,raptors vs wizards and with three
o-IiANv-A7I,289919,291840,seconds left in the game michael ruffin
o-IiANv-A7I,291840,294479,decided to do the dumbest play in nba
o-IiANv-A7I,294479,297479,history
o-IiANv-A7I,298600,300680,[Applause]
o-IiANv-A7I,300680,303819,[Music]
o-IiANv-A7I,303919,305600,i don't believe it
o-IiANv-A7I,305600,308479,we're going to overturn the hail mary 3
o-IiANv-A7I,308479,310720,by mopey
