vid,start,end,text
o24lMCt0GvM,320,2000,we talked about messi last week didn't
o24lMCt0GvM,2000,3840,we or two weeks ago i should say
o24lMCt0GvM,3840,6720,and now it's all about cristiano ronaldo
o24lMCt0GvM,6720,7440,those two
o24lMCt0GvM,7440,9200,those two just keep pushing each other
o24lMCt0GvM,9200,11280,on pushing the boundaries of greatness
o24lMCt0GvM,11280,13759,exactly and would they have been out
o24lMCt0GvM,13759,15040,that's the question that i always ask
o24lMCt0GvM,15040,16160,myself would they have been able to do
o24lMCt0GvM,16160,18320,this and keep this up the relentless
o24lMCt0GvM,18320,20000,that they've shown without each other i
o24lMCt0GvM,20000,21520,think you have to say to every player
o24lMCt0GvM,21520,23279,the nearest player to him get close to
o24lMCt0GvM,23279,24560,him put him under pressure
o24lMCt0GvM,24560,25920,get his head down don't let him feel
o24lMCt0GvM,25920,27359,like he can do what he wants on the
o24lMCt0GvM,27359,28560,pitch because otherwise the magic one
o24lMCt0GvM,28560,30000,comes up remember we said exactly the
o24lMCt0GvM,30000,32000,same thing in 86 just before we place
o24lMCt0GvM,32000,34880,um diego maradona as argentina didn't
o24lMCt0GvM,34880,36559,work
o24lMCt0GvM,36559,39040,he is remarkable just as face touches
o24lMCt0GvM,39040,41520,movements how clever the space he finds
o24lMCt0GvM,41520,43840,in the little small clever pockets he's
o24lMCt0GvM,43840,45120,just he's a one-off
o24lMCt0GvM,45120,47200,yeah for me and it was just late to be
o24lMCt0GvM,47200,48559,in the same stadium
o24lMCt0GvM,48559,50640,never mind compete against him you'd
o24lMCt0GvM,50640,52239,love to play with him wouldn't you
o24lMCt0GvM,52239,55199,just give him the ball imagine yeah hold
o24lMCt0GvM,55199,56559,on at times you you're playing in that
o24lMCt0GvM,56559,57920,barcelona you've been a bit embarrassed
o24lMCt0GvM,57920,58320,by
o24lMCt0GvM,58320,59520,technically well i would have been my
o24lMCt0GvM,59520,61520,team i just want to be in a training
o24lMCt0GvM,61520,61920,room
o24lMCt0GvM,61920,63280,yeah i bet you so there's stuff he does
