vid,start,end,text
o7W7OvETO40,2240,5120,the most dramatic ends to any premier
o7W7OvETO40,5120,7759,league season
o7W7OvETO40,8080,9840,another corner joe hart has got as far
o7W7OvETO40,9840,12160,as the center circle this time
o7W7OvETO40,12160,15559,and goes gecko
o7W7OvETO40,16080,18160,one goal to win the title it's as simple
o7W7OvETO40,18160,22480,as that could it happen balotelli
o7W7OvETO40,29519,31519,i aguero you'll never see anything like
o7W7OvETO40,31519,34079,this ever again
o7W7OvETO40,34079,35600,so watch it
o7W7OvETO40,35600,38559,drink it in down the middle james the
o7W7OvETO40,38559,40320,lateral
o7W7OvETO40,40320,44410,to the corner of the end zone can you
o7W7OvETO40,44410,50350,[Applause]
o7W7OvETO40,53380,56509,[Applause]
o7W7OvETO40,56960,60100,keith around for a beat in front score
o7W7OvETO40,60100,62239,[Applause]
o7W7OvETO40,62239,65439,with 116 to go in the third health to
o7W7OvETO40,65439,67119,the back oh do your shot deflected
o7W7OvETO40,67119,71320,scramble they score
o7W7OvETO40,80799,84759,with a second to go
o7W7OvETO40,89750,93030,[Music]
o7W7OvETO40,97200,100680,one of the greats
o7W7OvETO40,101460,104650,[Applause]
o7W7OvETO40,108180,112320,[Music]
o7W7OvETO40,112320,114720,everybody's staying home now he does a
o7W7OvETO40,114720,116719,tightrope act
o7W7OvETO40,116719,118560,boy houdini's in the house
o7W7OvETO40,118560,120159,where number three
o7W7OvETO40,120159,122799,and nobody's home to watch that house
o7W7OvETO40,122799,126520,touchdown hogs
o7W7OvETO40,129200,132200,is
o7W7OvETO40,133140,143599,[Applause]
o7W7OvETO40,143599,146599,do
o7W7OvETO40,148090,151409,[Applause]
o7W7OvETO40,153250,162640,[Music]
o7W7OvETO40,162640,166600,and after 22 years
o7W7OvETO40,166600,169630,[Applause]
o7W7OvETO40,169630,176560,[Music]
o7W7OvETO40,176560,178480,oh they don't have them yet look at
o7W7OvETO40,178480,181519,tommy frazier how many tackles can one
o7W7OvETO40,181519,183440,man break
o7W7OvETO40,183440,186720,usain bolt spreading ahead winning by
o7W7OvETO40,186720,189760,daylight can they do it here cross and
o7W7OvETO40,189760,192239,dempsey's tonight again and donovan has
o7W7OvETO40,192239,197840,scored oh can you believe this go go usa
o7W7OvETO40,197840,199920,[Music]
o7W7OvETO40,199920,204280,watford for the win yeah
o7W7OvETO40,204280,207379,[Applause]
o7W7OvETO40,208000,211860,simpson oh goodness
o7W7OvETO40,211860,218020,[Applause]
o7W7OvETO40,219840,222840,hey
o7W7OvETO40,225620,229588,[Applause]
o7W7OvETO40,230080,232720,curry splits the defense behind the back
