vid,start,end,text
pT7u-BaKj-M,160,20789,[Music]
pT7u-BaKj-M,36880,40280,where are you
pT7u-BaKj-M,53320,57499,[Music]
pT7u-BaKj-M,69920,72920,foreign
pT7u-BaKj-M,77520,79600,but once you decide to come back down to
pT7u-BaKj-M,79600,82799,ground level please come back from level
pT7u-BaKj-M,82799,86960,go and go and go go there's much space
pT7u-BaKj-M,97840,100840,foreign
pT7u-BaKj-M,104950,108000,[Music]
pT7u-BaKj-M,108000,110120,be
pT7u-BaKj-M,110120,118180,[Music]
pT7u-BaKj-M,121280,124280,foreign
pT7u-BaKj-M,137720,140770,[Music]
pT7u-BaKj-M,141840,143540,a
pT7u-BaKj-M,143540,148978,[Music]
pT7u-BaKj-M,182480,185480,foreign
pT7u-BaKj-M,196560,199040,description
pT7u-BaKj-M,210720,213720,foreign
pT7u-BaKj-M,220280,223709,[Music]
pT7u-BaKj-M,229170,238410,[Music]
pT7u-BaKj-M,249120,252120,foreign
pT7u-BaKj-M,262260,264320,[Music]
pT7u-BaKj-M,264320,267320,me
pT7u-BaKj-M,276390,279709,[Music]
pT7u-BaKj-M,282940,291639,[Music]
pT7u-BaKj-M,296720,317199,[Music]
pT7u-BaKj-M,336720,339720,manola
pT7u-BaKj-M,341160,348329,[Music]
pT7u-BaKj-M,362240,365240,foreign
pT7u-BaKj-M,372400,374980,my
pT7u-BaKj-M,374980,379939,[Music]
pT7u-BaKj-M,396160,399160,foreign
pT7u-BaKj-M,400200,410800,[Music]
pT7u-BaKj-M,430070,437149,[Music]
pT7u-BaKj-M,440090,442330,[Music]
pT7u-BaKj-M,442330,447009,[Laughter]
pT7u-BaKj-M,457370,460400,[Music]
pT7u-BaKj-M,460400,463400,foreign
pT7u-BaKj-M,465230,468279,[Music]
pT7u-BaKj-M,475200,478290,[Music]
pT7u-BaKj-M,483080,486569,[Music]
pT7u-BaKj-M,487120,490120,foreign
pT7u-BaKj-M,497120,498460,foreign
pT7u-BaKj-M,498460,499260,[Applause]
pT7u-BaKj-M,499260,502339,[Music]
pT7u-BaKj-M,514880,519000,oh can i mount it up
pT7u-BaKj-M,529230,531360,[Music]
pT7u-BaKj-M,531360,534920,thank you so much
pT7u-BaKj-M,542880,545880,foreign
pT7u-BaKj-M,554990,558029,[Music]
pT7u-BaKj-M,559360,562360,it's
pT7u-BaKj-M,568880,572120,thank you
pT7u-BaKj-M,574030,578880,[Music]
pT7u-BaKj-M,578880,581880,oh
pT7u-BaKj-M,600080,603080,oh
pT7u-BaKj-M,619180,622290,[Music]
pT7u-BaKj-M,624800,626420,foreign
pT7u-BaKj-M,626420,629670,[Music]
pT7u-BaKj-M,634820,644139,[Music]
pT7u-BaKj-M,646960,653679,[Music]
pT7u-BaKj-M,658730,670690,[Music]
pT7u-BaKj-M,672480,673710,foreign
pT7u-BaKj-M,673710,687879,[Music]
pT7u-BaKj-M,706610,709720,[Music]
pT7u-BaKj-M,726000,729000,foreign
pT7u-BaKj-M,735150,743760,[Music]
pT7u-BaKj-M,743760,746760,foreign
pT7u-BaKj-M,757390,759680,[Music]
pT7u-BaKj-M,759680,761560,foreign
pT7u-BaKj-M,761560,764580,[Music]
pT7u-BaKj-M,768860,771959,[Music]
pT7u-BaKj-M,774959,777959,so
pT7u-BaKj-M,784590,798320,[Music]
pT7u-BaKj-M,798320,800840,is
pT7u-BaKj-M,800840,809390,[Music]
pT7u-BaKj-M,810800,813800,foreign
pT7u-BaKj-M,820190,823699,[Music]
pT7u-BaKj-M,825760,828620,okay
pT7u-BaKj-M,828620,833889,[Music]
pT7u-BaKj-M,837400,840750,[Music]
pT7u-BaKj-M,844430,847460,[Music]
pT7u-BaKj-M,873519,877600,oh wow this is so nice
pT7u-BaKj-M,879279,881920,it is
pT7u-BaKj-M,881920,890990,[Music]
pT7u-BaKj-M,892320,894210,foreign
pT7u-BaKj-M,894210,898480,[Music]
pT7u-BaKj-M,898480,901480,foreign
pT7u-BaKj-M,901720,904939,[Music]
pT7u-BaKj-M,909440,922330,[Music]
pT7u-BaKj-M,925279,927220,foreign
pT7u-BaKj-M,927220,938469,[Music]
pT7u-BaKj-M,941330,952279,[Music]
pT7u-BaKj-M,952880,954380,foreign
pT7u-BaKj-M,954380,957480,[Music]
pT7u-BaKj-M,960000,963929,[Music]
pT7u-BaKj-M,964399,967399,foreign
pT7u-BaKj-M,972560,975650,[Music]
pT7u-BaKj-M,980560,983560,foreign
pT7u-BaKj-M,984640,992799,[Music]
pT7u-BaKj-M,996000,997320,get
pT7u-BaKj-M,997320,1027440,[Music]
pT7u-BaKj-M,1040260,1043359,[Music]
pT7u-BaKj-M,1050240,1053240,foreign
pT7u-BaKj-M,1059120,1062120,foreign
pT7u-BaKj-M,1062610,1073249,[Music]
pT7u-BaKj-M,1075370,1077919,[Music]
pT7u-BaKj-M,1077919,1081480,25 dirhams
pT7u-BaKj-M,1085770,1088920,[Music]
pT7u-BaKj-M,1096280,1099450,[Music]
pT7u-BaKj-M,1108030,1118869,[Music]
pT7u-BaKj-M,1122870,1133469,[Music]
pT7u-BaKj-M,1142470,1154799,[Music]
pT7u-BaKj-M,1157400,1160859,[Music]
pT7u-BaKj-M,1161200,1164200,my
pT7u-BaKj-M,1171840,1175480,extra 50 percent
