vid,start,end,text
piRdc8BQEHg,3403,4337,">>> TONIGHT, THE DRAMATIC "
piRdc8BQEHg,4337,5905,TESTIMONY AT THE JANUARY 6th
piRdc8BQEHg,5905,6940,HEARING.
piRdc8BQEHg,6940,8508,DONALD TRUMP'S PRESSURE ON
piRdc8BQEHg,8508,10577,STATES TO OVERTURN THE ELECTION.
piRdc8BQEHg,10577,12645,STATE GOP OFFICIALS TESTIFYING
piRdc8BQEHg,12645,14214,ABOUT STANDING UP TO INTENSE
piRdc8BQEHg,14214,16282,PRESSURE FROM THE FORMER
piRdc8BQEHg,16282,17851,PRESIDENT AND HIS ALLIES TO 
piRdc8BQEHg,17851,19919,CHANGE THE RESULTS INCLUDING A
piRdc8BQEHg,19919,21488,SCHEME TO SEND FAKE ELECTORS TO 
piRdc8BQEHg,21488,23056,WASHINGTON AND POWERFUL 
piRdc8BQEHg,23056,24123,TESTIMONY FROM ONE ELECTION 
piRdc8BQEHg,24123,25658,WORKER
piRdc8BQEHg,25658,27227,THE HARASSMENT SHE AND HER
piRdc8BQEHg,27227,28261,MOTHER RECEIVED AFTER BEING 
piRdc8BQEHg,28261,29329,FALSELY ACCUSED OF VOTE 
piRdc8BQEHg,29329,30363,TAMPERING.
piRdc8BQEHg,30363,42342,OUR TEAM AT THE CAPITOL.
piRdc8BQEHg,42342,42909,">>> ALSO TONIGHT, NEW IMAGES"
piRdc8BQEHg,42909,43877,FROM THE U.S. SCHOOL MASSACRE.
piRdc8BQEHg,43877,44911,TEXAS IS CALLING THE RESPONSE AN
piRdc8BQEHg,44911,46446,ABJECT FAILURE TESTIFYING 
piRdc8BQEHg,46446,47480,OFFICERS HAD THE FIREPOWER TO 
piRdc8BQEHg,47480,49048,TAKE THE SHOOTER DOWN WITHIN
piRdc8BQEHg,49048,51150,THREE MINUTES BUT WAITED IN THE 
piRdc8BQEHg,51150,52185,HALL FOR MORE THAN AN HOUR AND
piRdc8BQEHg,52185,53219,BELIEVES THE CLASSROOM DOOR 
piRdc8BQEHg,53219,54287,"WASN'T LOCKED, BUT POLICE NEVER "
piRdc8BQEHg,54287,55288,"TRIED TO OPEN IT, INSTEAD "
piRdc8BQEHg,55288,56322,WAITING FOR A KEY THEY DIDN'T 
piRdc8BQEHg,56322,58424,NEED
piRdc8BQEHg,58424,65165,THE NEW QUESTIONS TONIGHT.
piRdc8BQEHg,65165,65765,">>> JUST BREAKING, THE VERDICT"
piRdc8BQEHg,65765,66699,IN BILL COSBY'S SEXUAL ASSAULT
piRdc8BQEHg,66699,67767,CIVIL TRIAL.
piRdc8BQEHg,67767,68801,>>> THE SENATE'S BIPARTISAN 
piRdc8BQEHg,68801,69836,BREAKTHROUGH ON GUN SAFETY
piRdc8BQEHg,69836,70870,HOW SOON COULD A VOTE HAPPEN
piRdc8BQEHg,70870,71905,>>> THE SECOND AMERICAN KILLED
piRdc8BQEHg,71905,72939,IN COMBAT IN UKRAINE
piRdc8BQEHg,72939,74073,WHAT WE'RE LEARNING.
piRdc8BQEHg,74073,75575,>>> AND THE NFL STAR SETTLING 
piRdc8BQEHg,75575,76609,LAWSUITS WITH 20 WOMEN ACCUSING 
piRdc8BQEHg,76609,79212,HIM OF SEXUAL MISCONDUCT
