vid,start,end,text
pp-zw4ykOpw,663,3245,(upbeat music)
pp-zw4ykOpw,7880,9400,"- Hello, and welcome to the channel."
pp-zw4ykOpw,9400,10920,Now you guys have been asking us
pp-zw4ykOpw,10920,13050,to test air fryers for ages.
pp-zw4ykOpw,13050,15500,"So today we have teamed up with Instant Brands,"
pp-zw4ykOpw,15500,17350,"who have sent us one of their machines,"
pp-zw4ykOpw,17350,20395,and challenged us to create an epic five course meal
pp-zw4ykOpw,20395,22200,using your suggestions.
pp-zw4ykOpw,22200,23640,So myself and the food team
pp-zw4ykOpw,23640,24830,have had a proper play
pp-zw4ykOpw,24830,26210,with this for a few weeks
pp-zw4ykOpw,26210,27119,"to get to grips with it,"
pp-zw4ykOpw,27120,28960,"but, today's the first time"
pp-zw4ykOpw,28960,31490,that our normal home cooks are getting their hands on it.
pp-zw4ykOpw,31490,33700,- Five courses in one video?
pp-zw4ykOpw,33700,36000,- Five courses in one meal sounds about right.
pp-zw4ykOpw,38018,40583,(upbeat music)
pp-zw4ykOpw,40583,42410,"I'm just gonna use my ""chef-y"" intuition"
pp-zw4ykOpw,42410,44310,and say pané station.
pp-zw4ykOpw,44310,46240,- [Ben] Yep. So we're gonna make croquettes.
pp-zw4ykOpw,46240,48950,"So Spanish in approach and method,"
pp-zw4ykOpw,48950,51030,but we're gonna mix up the flavors
pp-zw4ykOpw,51030,53469,to use some other global influences.
pp-zw4ykOpw,53470,55390,You've got a béchamel sauce in front of you
pp-zw4ykOpw,55390,57840,which is really thick and then cooled.
pp-zw4ykOpw,57840,60750,- [Jamie] That's a shortcrust pastry. (laughs)
pp-zw4ykOpw,60750,62320,- [Ben] Divide it by two.
pp-zw4ykOpw,62320,65730,"So put half into the big bowl with two other flavors,"
pp-zw4ykOpw,65730,67580,charred corn and jalapeno.
pp-zw4ykOpw,67580,69530,And then the remaining half can be mixed
pp-zw4ykOpw,69530,72000,with dukkah and sultana.
pp-zw4ykOpw,72000,73940,- I've never handled a béchamel sauce.
pp-zw4ykOpw,73940,75517,- No. (laughs)
pp-zw4ykOpw,75517,76610,"- [Ben] And once you've done that,"
pp-zw4ykOpw,76610,77810,"we're gonna double pané them,"
pp-zw4ykOpw,77810,79990,so back through egg and breadcrumbs.
pp-zw4ykOpw,79990,83126,The reason being they're going to have the cooking
pp-zw4ykOpw,83126,85560,"in the air fryer across eight minutes,"
pp-zw4ykOpw,85560,89040,rather than maybe three or four in a deep fat fryer.
pp-zw4ykOpw,89040,91780,And therefore they'll have chance to expand the heat up.
pp-zw4ykOpw,91780,92640,You don't want 'em to pop.
pp-zw4ykOpw,92640,94270,So it's gonna give you the extra bit of security.
pp-zw4ykOpw,94270,95549,"While you're finishing off your balls,"
pp-zw4ykOpw,95550,98310,"if one of you have got a relatively clean hand,"
pp-zw4ykOpw,98310,101420,you can preheat the air fryer.
pp-zw4ykOpw,101420,104808,"So select air fryer, 205 degrees, eight minutes"
pp-zw4ykOpw,104808,107119,on one of the drawers and then just sync cook.
pp-zw4ykOpw,107120,108760,And it'll automatically put the second drawer
pp-zw4ykOpw,108760,110496,at exactly the same.
pp-zw4ykOpw,110496,111490,When it gets the temperature.
pp-zw4ykOpw,111490,112759,It will tell you to load the drawers.
pp-zw4ykOpw,112760,114527,"You can put one flavor in one drawer,"
pp-zw4ykOpw,114527,116060,and one flavor in the other.
pp-zw4ykOpw,116060,118352,- This is completely alien to me.
pp-zw4ykOpw,118352,120170,I've never used an air fryer before.
pp-zw4ykOpw,120170,122200,I hear about it everywhere.
pp-zw4ykOpw,122200,124309,So I'm still trying to work it out.
pp-zw4ykOpw,124309,126539,"- Yeah, I've never air fried before."
pp-zw4ykOpw,126539,129393,- [Ben] So essentially it's a heating element at the top.
pp-zw4ykOpw,129393,133600,And then a fan that pushes that hot air down onto the food.
pp-zw4ykOpw,133600,135575,"So it tends to cook quicker,"
pp-zw4ykOpw,135575,138620,but it's not submersed in the oil.
pp-zw4ykOpw,138620,139970,So it's a little bit healthier.
pp-zw4ykOpw,139970,143220,"One flavor in one drawer, give them an oil spray,"
pp-zw4ykOpw,143220,145570,and the other flavor in the other drawer.
pp-zw4ykOpw,145570,147770,"- So they're going on a rack that's raised,"
pp-zw4ykOpw,147770,149030,"they're like in the middle of the oven,"
pp-zw4ykOpw,149030,150069,so they get air all around.
pp-zw4ykOpw,150070,152660,- Yeah. So the the fan is basically gonna spray
pp-zw4ykOpw,152660,154940,and circulate that hot air.
pp-zw4ykOpw,154940,158340,- And then it automatically starts timing down.
pp-zw4ykOpw,158340,159209,"- While you're waiting for it,"
pp-zw4ykOpw,159210,161360,you can make a super simple dip.
pp-zw4ykOpw,161360,162590,"- Oh, hello!"
pp-zw4ykOpw,162590,163810,"- So you could make a dip,"
pp-zw4ykOpw,163810,165540,or you could get some chefs to put all the ingredients
pp-zw4ykOpw,165540,167560,in a bowl on I'm guessing we are going to...
pp-zw4ykOpw,167560,168920,"- We're gonna make a five course meal,"
pp-zw4ykOpw,168920,170330,and I don't wanna be here all day.
pp-zw4ykOpw,170330,171350,I know what you two are like.
pp-zw4ykOpw,171350,173750,"So what you've got is yogurt, mayonnaise, mustard,"
pp-zw4ykOpw,173750,175770,"lemon juice, lemon zest, salt, and pepper."
pp-zw4ykOpw,175770,176830,- Stir your own dip!
pp-zw4ykOpw,176830,177760,You stir the dip!
pp-zw4ykOpw,177760,179189,- [Ben] The perfect dip that will work
pp-zw4ykOpw,179190,181271,with both charred corn and jalapeño
pp-zw4ykOpw,181271,183200,and our sultana and dukkah.
pp-zw4ykOpw,183200,185520,- Get a nice sense of achievement there.
pp-zw4ykOpw,185520,186518,- [Ben] Yeah.
pp-zw4ykOpw,186518,189471,- (laughing)
pp-zw4ykOpw,189471,192989,(upbeat electronic music)
pp-zw4ykOpw,192990,194140,- [Ben] Serve them up.
pp-zw4ykOpw,194140,195057,- [Barry] That was not a lot of time
pp-zw4ykOpw,195057,197190,and they are very hot and crispy.
pp-zw4ykOpw,197190,198960,- [Jamie] (laughter)
pp-zw4ykOpw,198960,200700,"- [Ben] Garnish with some fresh herbs,"
pp-zw4ykOpw,200700,202344,and you got your dipping sauce to go.
pp-zw4ykOpw,202344,205844,(upbeat electronic music)
pp-zw4ykOpw,214762,215594,- Cheers
pp-zw4ykOpw,215595,216428,- Cheers
pp-zw4ykOpw,219340,220310,- Woo
pp-zw4ykOpw,220310,222910,- That béchamel has gone lovely and gooey.
pp-zw4ykOpw,222910,224267,- [Ben] Gooey on the béchamel.
pp-zw4ykOpw,224267,225663,I can hear the crunch.
pp-zw4ykOpw,227010,230780,- [Jamie] That's got the magic combo of gooey middle
pp-zw4ykOpw,230780,232476,and crispy outside.
pp-zw4ykOpw,232476,233472,I'm a fan of that.
pp-zw4ykOpw,233473,235447,"- As a five course meal, we're off to a banging start."
pp-zw4ykOpw,235447,237360,I just realized we're gonna eat every course when
pp-zw4ykOpw,237360,238193,we go along.
pp-zw4ykOpw,238193,239579,"- Yeah, you don't have to eat all of every course."
pp-zw4ykOpw,239580,241071,- We are!
pp-zw4ykOpw,241071,245190,(upbeat electronic music)
pp-zw4ykOpw,245190,247060,- So one of the suggestions
pp-zw4ykOpw,247060,249374,was that a toasted cheese sandwich
pp-zw4ykOpw,249374,251506,or a grilled cheese works wonders in an air fry.
pp-zw4ykOpw,251506,252340,- Ooh yes!
pp-zw4ykOpw,252340,254069,- [Ben] And there was also people saying they used them
pp-zw4ykOpw,254070,255510,just to reheat things.
pp-zw4ykOpw,255510,258350,"So we thought, let's combine the two"
pp-zw4ykOpw,258350,260120,with French onion soup.
pp-zw4ykOpw,260120,260953,"So in this instance,"
pp-zw4ykOpw,260953,263180,you're gonna use the drawers for different things.
pp-zw4ykOpw,263180,265470,"Drawer one is going to be on reheat,"
pp-zw4ykOpw,265470,268050,"140 degrees Celsius,"
pp-zw4ykOpw,268050,271129,and drawer number two is gonna be on bake
pp-zw4ykOpw,271130,273750,at 160 for six minutes.
pp-zw4ykOpw,273750,276666,So variable control and variable temperatures.
pp-zw4ykOpw,276666,278810,"And in the reheat drawer,"
pp-zw4ykOpw,278810,281160,you're gonna spoon your French onion soup
pp-zw4ykOpw,281160,284690,into your dishes and reheat them whilst you bake the croûtes
pp-zw4ykOpw,284690,285930,in the other side.
pp-zw4ykOpw,285930,287246,- Obviously we've got a fancy air fryer.
pp-zw4ykOpw,287247,290530,That's got dual drawers in it.
