vid,start,end,text
ppkzPJ1AcRk,3730,10368,[Music]
ppkzPJ1AcRk,11360,17199,let's count the tvs  one two  one two
ppkzPJ1AcRk,17199,25680,two two  two tvs  time two counts time to count look at
ppkzPJ1AcRk,25680,32800,the chest let's count the chairs  one two three four one two three four
ppkzPJ1AcRk,32800,38640,four four  four  chairs  time to count
ppkzPJ1AcRk,38640,46879,time to count look at the radios let's  count the radios one two three four five
ppkzPJ1AcRk,46879,52239,six one two three four five six six six
ppkzPJ1AcRk,52239,58879,six radios  time to count time to count look at the
ppkzPJ1AcRk,58879,64080,tvs  let's count the tvs  one  two
ppkzPJ1AcRk,64080,69920,one two  two two  two tvs
ppkzPJ1AcRk,69920,76640,time to  time to count  look at the chairs let's count the
ppkzPJ1AcRk,76640,83520,chairs  one two three four one two three four  four four
ppkzPJ1AcRk,83520,91520,four  chairs  time to count  time to count look at the radios let's
ppkzPJ1AcRk,91520,101040,count the radios one two three four five  six one two three four five six six six
ppkzPJ1AcRk,101040,108880,six radios  we can count  we can count tvs we can count chairs
ppkzPJ1AcRk,108880,114280,we can count radios we can count
ppkzPJ1AcRk,114320,121680,[Music]
ppkzPJ1AcRk,121680,134720,yay  [Music]
ppkzPJ1AcRk,134720,143090,one two three four five  show me five fingers
ppkzPJ1AcRk,143090,151340,[Music]
ppkzPJ1AcRk,151599,156640,one two three four five six
ppkzPJ1AcRk,156640,163760,seven eight nine ten show me ten fingers
ppkzPJ1AcRk,163760,171650,[Music]
ppkzPJ1AcRk,171920,177840,one two three  four five six seven
ppkzPJ1AcRk,177840,185560,eight nine ten eleven twelve thirteen  fourteen
ppkzPJ1AcRk,188200,191290,[Music]
ppkzPJ1AcRk,193840,199840,let's count again up to 15  1 2 3
ppkzPJ1AcRk,199840,210330,4  5 6 7  8 9 10 11 12 13 14 15.
ppkzPJ1AcRk,210330,217280,[Music]  let's make it even better give me 15
ppkzPJ1AcRk,217280,222640,flowers  1 2 3  4
ppkzPJ1AcRk,222640,229920,5 6 7  eight nine ten eleven twelve thirteen
ppkzPJ1AcRk,229920,244918,fourteen fifty  [Music]  [Applause]  [Music]
ppkzPJ1AcRk,246319,252480,sitting here stuck in the traffic so  many buses cars and bicycles let's count
ppkzPJ1AcRk,252480,259680,them one two three four five six seven
ppkzPJ1AcRk,259680,270240,eight  nine ten  eleven twelve thirteen fourteen 15 16 17
ppkzPJ1AcRk,270240,275680,18 19 20. three bicycles down below
ppkzPJ1AcRk,275680,283199,one two three six buses inching forward  one two three four five six motorbikes
ppkzPJ1AcRk,283199,288720,weaving in and down one two three four  five six seven eight
ppkzPJ1AcRk,288720,297759,and so many cars  one two three four five six 7 8 9 10 11
ppkzPJ1AcRk,297759,306720,12  13 14 15 16 17 18 19 20.
ppkzPJ1AcRk,306720,312960,sitting here stuck in the traffic so  many buses cause a bicycle let's count
ppkzPJ1AcRk,312960,320160,them  one two three  four  five six seven
ppkzPJ1AcRk,320160,333840,eight  nine ten  11 12 13 14 15 16 17 18 19 20. three
ppkzPJ1AcRk,333840,340160,bicycles down below  one two three six buses inching forward
ppkzPJ1AcRk,340160,346800,one two three four five six motorbikes  weaving in and down one two three four
ppkzPJ1AcRk,346800,352960,five six seven eight  and so many cars
ppkzPJ1AcRk,352960,359199,1 2 3 4 5 6 7 8 9 10 11 12
ppkzPJ1AcRk,359199,368360,13 14 15 16 17 18 19 20.
ppkzPJ1AcRk,373380,385199,[Music]
ppkzPJ1AcRk,385199,394319,count to ten with me  one two three  four five six seven eight nine ten ten
ppkzPJ1AcRk,394319,401199,ten let's do it again  count to ten with me  one two three
ppkzPJ1AcRk,401199,406319,four five six seven eight nine ten ten
ppkzPJ1AcRk,406319,413360,ten we  [Music]
ppkzPJ1AcRk,413360,419440,three pineapples and four papayas  five fingers
ppkzPJ1AcRk,419440,425360,on my hand six shells in the sand
ppkzPJ1AcRk,425360,431440,seven  birds  in the sky  eight  fish
ppkzPJ1AcRk,431440,437440,in the sea  nine pretty butterflies  [Music]
ppkzPJ1AcRk,437440,445360,and  ten  bush babies  let's count them one two
ppkzPJ1AcRk,445360,450479,three  four  five six seven
ppkzPJ1AcRk,450479,459199,eight  nine  ten  ten bush babies count to stand with me
ppkzPJ1AcRk,459199,466319,one two three  four five six seven eight nine ten ten
ppkzPJ1AcRk,466319,473199,ten let's do it again  count to ten with me  one two three
ppkzPJ1AcRk,473199,478319,four five six seven eight nine ten ten
ppkzPJ1AcRk,478319,485199,ten we did it again  count to ten with me  one two three
ppkzPJ1AcRk,485199,490319,four five six seven eight nine ten ten
ppkzPJ1AcRk,490319,504400,ten we  [Music]
ppkzPJ1AcRk,504400,507400,la
ppkzPJ1AcRk,510860,516399,[Music]
ppkzPJ1AcRk,516399,522399,la  [Music]  one two three
ppkzPJ1AcRk,522399,528399,one two  three  one two  three
ppkzPJ1AcRk,528399,535440,one  two  three  one two three  three three
ppkzPJ1AcRk,535440,541320,one two three  three  three
ppkzPJ1AcRk,545360,553289,la  [Music]
ppkzPJ1AcRk,555440,558240,one two
ppkzPJ1AcRk,561360,567440,clap three hands two times  [Music]
ppkzPJ1AcRk,567440,573279,one two three  jump up one time
ppkzPJ1AcRk,573360,579440,clap your hands two times  [Music]
ppkzPJ1AcRk,579440,585440,one two three  one two three  three  three
ppkzPJ1AcRk,585440,591399,one two three  three  three
ppkzPJ1AcRk,591850,599440,[Music]
ppkzPJ1AcRk,599440,604360,one two three  la
ppkzPJ1AcRk,606140,611590,[Music]
ppkzPJ1AcRk,616000,622800,hey kids yeah are you ready to count  okay  yummy yummy yummy
ppkzPJ1AcRk,622800,628240,one one one  show me why yummy food  one one one
ppkzPJ1AcRk,628240,633959,show me one yummy fruit  [Music]
ppkzPJ1AcRk,636900,642168,[Music]  [Applause]
ppkzPJ1AcRk,643920,654640,fruits  [Music]
ppkzPJ1AcRk,658320,664820,yummy fruits  [Music]
ppkzPJ1AcRk,664959,672969,good job kids you know how to count can  you count again  [Music]
ppkzPJ1AcRk,674399,679670,one two  three  four  five
ppkzPJ1AcRk,679670,685519,[Music]  six six six can you show me six yummy  fruits
ppkzPJ1AcRk,685519,691600,six six six can you show me six yummy  fruits  seven seven seven can you show me seven
ppkzPJ1AcRk,691600,698320,yummy foods  seven seven seven can you show me seven  yummy fruits seven eight eight eight can
ppkzPJ1AcRk,698320,703040,you show me 80 yummy fruits  eight
ppkzPJ1AcRk,707500,714769,[Music]
ppkzPJ1AcRk,716770,724000,[Music]
ppkzPJ1AcRk,724000,729220,good job kids you know how to count can  you count again
ppkzPJ1AcRk,729220,734000,[Music]  nine ten
ppkzPJ1AcRk,738079,743440,one two three four five six seven eight  nine ten
ppkzPJ1AcRk,743440,748720,11  12  13  14
ppkzPJ1AcRk,748720,754079,15  16  17  18
ppkzPJ1AcRk,754079,759440,19  20.  [Music]
ppkzPJ1AcRk,759440,764720,one two three four five six seven eight  nine ten
ppkzPJ1AcRk,764720,770839,eleven okay twelve come on thirteen oh  yeah five
ppkzPJ1AcRk,770839,776720,fifteen  17 come on 18  19
ppkzPJ1AcRk,776720,794209,20.  [Applause]  [Music]
ppkzPJ1AcRk,796480,805200,this  is what  [Music]
ppkzPJ1AcRk,805200,815240,these are two beads one two  these are two beads one two
ppkzPJ1AcRk,830080,840160,[Music]
ppkzPJ1AcRk,840160,847760,one bead one  count two two beats one two
ppkzPJ1AcRk,847760,856880,count two ten knees one two three four  five six seven eight nine ten
ppkzPJ1AcRk,856880,864440,[Music]  is
ppkzPJ1AcRk,867060,873839,[Music]  are two b's one two
ppkzPJ1AcRk,873839,882760,these are four bees one two three four  these are four bees
ppkzPJ1AcRk,891230,895748,[Music]
ppkzPJ1AcRk,896560,903040,seven eight nine ten count two one beat  one
ppkzPJ1AcRk,903040,911760,count two two beats one two  count two ten beats one two three four
ppkzPJ1AcRk,911760,916800,five six seven eight nine ten
ppkzPJ1AcRk,919360,924920,hi friends  what is
ppkzPJ1AcRk,928530,951440,[Music]
ppkzPJ1AcRk,951440,965560,it is  [Music]
ppkzPJ1AcRk,965560,973590,[Applause]  is  [Music]
ppkzPJ1AcRk,973590,986959,[Applause]  [Music]
ppkzPJ1AcRk,986959,1003440,is  [Music]
ppkzPJ1AcRk,1003440,1007480,my number is
ppkzPJ1AcRk,1008680,1014039,[Music]
ppkzPJ1AcRk,1017920,1032380,what  let me say it again  [Music]
ppkzPJ1AcRk,1036240,1042138,elephant has  [Music]
ppkzPJ1AcRk,1047689,1058839,[Music]  cat has number  [Music]
ppkzPJ1AcRk,1061140,1067840,[Music]  dog has number seven
ppkzPJ1AcRk,1067840,1071679,dog buys seven times
