vid,start,end,text
qQdxvyMD7NU,420,3420,degrees
qQdxvyMD7NU,5400,8700,hi everybody so I just put the babies
qQdxvyMD7NU,8700,11040,down for a nap last night was horrible
qQdxvyMD7NU,11040,13920,for them um I got a package you guys are
qQdxvyMD7NU,13920,15660,never gonna believe what it is you're
qQdxvyMD7NU,15660,18240,never gonna believe it could it be a
qQdxvyMD7NU,18240,22760,puppy it's very close so last night
qQdxvyMD7NU,25740,27060,that me
qQdxvyMD7NU,27060,28619,too but Maisie was in a great mood every
qQdxvyMD7NU,28619,29880,time he's woke up she's like it's
qQdxvyMD7NU,29880,31859,morning it sounds like it's been five
qQdxvyMD7NU,31859,33300,minutes go back to sleep Wesley has
qQdxvyMD7NU,33300,35340,developed like a new Cry he's definitely
qQdxvyMD7NU,35340,36660,getting those two top teeth I know I've
qQdxvyMD7NU,36660,38280,been saying this for weeks but like for
qQdxvyMD7NU,38280,40079,sure they're like you can feel them and
qQdxvyMD7NU,40079,41280,you can see them but they're just not
qQdxvyMD7NU,41280,43079,poking through and they're clearly
qQdxvyMD7NU,43079,44820,driving him nuts and he's not sleeping
qQdxvyMD7NU,44820,49320,and it was a miserable night miserable
qQdxvyMD7NU,49320,51000,he was doing this cry I'm gonna show you
qQdxvyMD7NU,51000,55020,a second of it it was crazy okay
qQdxvyMD7NU,55020,58189,[Music]
qQdxvyMD7NU,58199,60359,this gargling
qQdxvyMD7NU,60359,62879,he sounds so angry because he was angry
qQdxvyMD7NU,62879,64680,because we feel good so normally they
qQdxvyMD7NU,64680,66619,have their first nap around like 10
qQdxvyMD7NU,66619,70979,Amish 11 A.M 10 a.m usually yeah this
qQdxvyMD7NU,70979,73200,morning their first nap was at like 7 30
qQdxvyMD7NU,73200,75360,because they woke up at five they
qQdxvyMD7NU,75360,76799,actually woke up all night long it was
qQdxvyMD7NU,76799,81479,like 1 2 2 30 3 15 3 30 before it was
qQdxvyMD7NU,81479,82799,like all night so they already had a nap
qQdxvyMD7NU,82799,84180,today and now they're having their
qQdxvyMD7NU,84180,86040,second nap
qQdxvyMD7NU,86040,87299,package from
qQdxvyMD7NU,87299,89220,from this is a company that used to send
qQdxvyMD7NU,89220,91020,me and like give to me clothes all the
qQdxvyMD7NU,91020,93000,time they do not send this to me to give
qQdxvyMD7NU,93000,94920,me a paid for these because I saw them
qQdxvyMD7NU,94920,97619,on an ad on my Instagram I was like
qQdxvyMD7NU,97619,99479,those are cute and so then I just went
qQdxvyMD7NU,99479,100560,and bought them but they have sent me
qQdxvyMD7NU,100560,102540,stuff in the past like for fun I think
qQdxvyMD7NU,102540,104280,they sent me stuff for the twins like
qQdxvyMD7NU,104280,105659,right when they were born um but anyway
qQdxvyMD7NU,105659,109340,it's a very Posh website look at this
qQdxvyMD7NU,109340,113159,Pac-Man get out of town that is cute oh
qQdxvyMD7NU,113159,116298,look at the one for Maisie
qQdxvyMD7NU,116640,118979,this looks too small for Less what size
qQdxvyMD7NU,118979,122460,did I get 9 to 12 months
qQdxvyMD7NU,122460,124860,a big she's such big babies it's so
qQdxvyMD7NU,124860,126360,funny I've always thought I'd have big
qQdxvyMD7NU,126360,127979,babies I was a very big baby look at
qQdxvyMD7NU,127979,129720,this little Pac-Man bow so cute my whole
qQdxvyMD7NU,129720,131340,family has big babies Eric was a huge
qQdxvyMD7NU,131340,132900,baby
qQdxvyMD7NU,132900,134760,I have a big baby but all my babies were
qQdxvyMD7NU,134760,136860,born early when was born at 36 weeks and
qQdxvyMD7NU,136860,138660,he was seven pounds something and the
qQdxvyMD7NU,138660,140400,twins were obviously very preemie and so
qQdxvyMD7NU,140400,141660,they were four pounds and then dropped
qQdxvyMD7NU,141660,143280,down three pounds for a while but once
qQdxvyMD7NU,143280,145319,they grew into themselves and got past
qQdxvyMD7NU,145319,147540,being like born early all my babies are
qQdxvyMD7NU,147540,149580,very big you'll see women with creamy
qQdxvyMD7NU,149580,150900,babies once their babies come home they
qQdxvyMD7NU,150900,153540,go like my baby is six months old but
qQdxvyMD7NU,153540,155280,three months adjusted and they like say
qQdxvyMD7NU,155280,156540,the adjusted age because usually your
qQdxvyMD7NU,156540,158819,baby develops a little bit slower
qQdxvyMD7NU,158819,160560,whatever that means it just takes a
qQdxvyMD7NU,160560,162180,little longer to catch things because
qQdxvyMD7NU,162180,163200,they're supposed to be in the womb for a
qQdxvyMD7NU,163200,165360,longer time my babies while they might
qQdxvyMD7NU,165360,167580,be a little slower than the average baby
qQdxvyMD7NU,167580,169920,to like roll over or do whatever because
qQdxvyMD7NU,169920,172260,they're preemies their size it ain't
qQdxvyMD7NU,172260,174300,preemie Wesley's already in like the
qQdxvyMD7NU,174300,177000,80th percentile and Maisie I think is
qQdxvyMD7NU,177000,179580,like 60th or something so they're big
qQdxvyMD7NU,179580,183080,but anyway this is so cute it's slinkies
qQdxvyMD7NU,183080,187440,look at that rainbow slinkies and then a
qQdxvyMD7NU,187440,189480,little dress version for Miss Maisie Joe
qQdxvyMD7NU,189480,190920,I thought this would look pretty with
qQdxvyMD7NU,190920,192420,their eyes
qQdxvyMD7NU,192420,194879,I know I'm crazy with how much I buy
qQdxvyMD7NU,194879,196140,baby clothes but the second they grow
qQdxvyMD7NU,196140,197220,out of them I donate them to women's
qQdxvyMD7NU,197220,199440,shelters and friends and family and I
qQdxvyMD7NU,199440,201540,always donate their clothes but this is
qQdxvyMD7NU,201540,203819,my last time having children and so I'm
qQdxvyMD7NU,203819,205560,like oh my God I want to buy everything
qQdxvyMD7NU,205560,207360,that I want I don't want to regret like
qQdxvyMD7NU,207360,208860,looking back at me like I wish I had
qQdxvyMD7NU,208860,210180,dressed them in this or I wish I had
qQdxvyMD7NU,210180,211739,gotten them this I wish I've done this
qQdxvyMD7NU,211739,213720,like my last time having babies and I
qQdxvyMD7NU,213720,214920,feel like the first few months of their
qQdxvyMD7NU,214920,217140,life was just stressful and scary and so
qQdxvyMD7NU,217140,219420,like now I'm like just trying to enjoy
qQdxvyMD7NU,219420,221340,all the things about having a baby so
qQdxvyMD7NU,221340,223080,it's just cute little clouds but I feel
qQdxvyMD7NU,223080,224879,like this is gonna look so pretty with
qQdxvyMD7NU,224879,226799,their eyes because they have bright blue
qQdxvyMD7NU,226799,228120,eyes amazing especially like this on
qQdxvyMD7NU,228120,229799,Maisie her eyes are going to explode off
qQdxvyMD7NU,229799,231959,her freaking face how cute yeah I wanted
qQdxvyMD7NU,231959,233819,to get them some summery outfits because
qQdxvyMD7NU,233819,236040,it's hot it's like 97 degrees today and
qQdxvyMD7NU,236040,237540,it's gonna stay like this in L.A for a
qQdxvyMD7NU,237540,239280,very long time you may be very cute I'm
qQdxvyMD7NU,239280,240900,very excited okay now I'm gonna get some
qQdxvyMD7NU,240900,243780,work done thank you okay guys we painted
qQdxvyMD7NU,243780,246360,some stuff last week we got it back and
qQdxvyMD7NU,246360,248580,Corey said it looks good I'm very
qQdxvyMD7NU,248580,249780,excited you want to see what we got
qQdxvyMD7NU,249780,254060,Flynn what do you have in that jar
qQdxvyMD7NU,255139,257940,that is the biggest black widow I've
qQdxvyMD7NU,257940,261780,ever seen it was in his playhouse oh my
qQdxvyMD7NU,261780,264060,gosh when that is crazy okay we're gonna
qQdxvyMD7NU,264060,266759,check out these plates and things oh my
qQdxvyMD7NU,266759,270240,gosh that's so cool cocoa baby for you
qQdxvyMD7NU,270240,273540,what's on there a beetle a beetle what's
qQdxvyMD7NU,273540,278220,this one a worm what's that
qQdxvyMD7NU,278220,279440,um
qQdxvyMD7NU,279440,282620,what's this
qQdxvyMD7NU,282620,285120,roly-polies what's that I don't know
qQdxvyMD7NU,285120,286979,what that is it's a cricket grasshopper
qQdxvyMD7NU,286979,290040,common green it's everything and what
qQdxvyMD7NU,290040,291380,are these
qQdxvyMD7NU,291380,294500,ladybugs that was awesome
qQdxvyMD7NU,294500,296699,in the middle let's see what it says it
qQdxvyMD7NU,296699,300120,says I love bugs that is so awesome all
qQdxvyMD7NU,300120,302419,right let's check out this one this is
qQdxvyMD7NU,302419,306120,ooh Wesley's toesies
qQdxvyMD7NU,306120,309000,Wesley do you like it that is so cute
qQdxvyMD7NU,309000,311820,look at his little feetsies Flynn Macy's
qQdxvyMD7NU,311820,314180,Pizza
qQdxvyMD7NU,315259,318539,he's giving it to Macy there's meiji's
qQdxvyMD7NU,318539,321720,toesies whose hand is this plant whose
qQdxvyMD7NU,321720,325639,is this who's mine that's your hand
qQdxvyMD7NU,325639,328860,you want to do it okay Flynn you did
qQdxvyMD7NU,328860,332639,such a good job look at that
qQdxvyMD7NU,332639,335699,that looks so good feeling this is
qQdxvyMD7NU,335699,337380,awesome there's a cockroach on your
qQdxvyMD7NU,337380,339180,plane ah are you gonna eat a cockroach
qQdxvyMD7NU,339180,341360,for dinner no no
qQdxvyMD7NU,341360,344460,it's Pickle Time
qQdxvyMD7NU,344460,346699,foreign
qQdxvyMD7NU,357919,360720,these babies are my babies they love
qQdxvyMD7NU,360720,363660,pickles it's very exciting for me
qQdxvyMD7NU,363660,365759,I love pickles it's like my favorite
qQdxvyMD7NU,365759,367620,thing yeah
qQdxvyMD7NU,367620,369120,I feel like that it's cold on their
qQdxvyMD7NU,369120,370340,teeth
qQdxvyMD7NU,370340,372600,but also delicious how could you not
qQdxvyMD7NU,372600,374460,love a pickle pickles are so good Flynn
qQdxvyMD7NU,374460,376740,does not like the first one would spit
qQdxvyMD7NU,376740,377840,it out and gag
qQdxvyMD7NU,377840,379800,they're going nuts and this is the only
qQdxvyMD7NU,379800,381319,food where like if you take it away
qQdxvyMD7NU,381319,383639,they'll start crying but all other Foods
