vid,start,end,text
qSGsMN9UGDY,240,1600,- Three years.
qSGsMN9UGDY,1600,5750,It was three long years ago that I first laid eyes
qSGsMN9UGDY,5750,9160,on the technology that would put OLED in its place.
qSGsMN9UGDY,9160,10590,And I've waited since then
qSGsMN9UGDY,10590,14660,for what would eventually become the Hisense U9DG.
qSGsMN9UGDY,16730,19610,This is no normal TV
qSGsMN9UGDY,19610,22560,instead of one LCD panel filtering the white back light
qSGsMN9UGDY,22560,26300,turning it into the vibrant content that you enjoy.
qSGsMN9UGDY,26300,30480,The U9DG has two LCD panels.
qSGsMN9UGDY,30480,33559,"In theory, this unique design gives it the best"
qSGsMN9UGDY,33560,38060,of all worlds near perfect blacks like an OLED
qSGsMN9UGDY,38060,41980,and vibrant peak brightness for the best possible
qSGsMN9UGDY,41980,44250,home HDR experience.
qSGsMN9UGDY,44250,49250,And it's already discontinued that's terrific.
qSGsMN9UGDY,54530,57969,because it means that you might be able
qSGsMN9UGDY,57970,60970,"to score a deal on the remaining stock,"
qSGsMN9UGDY,60970,63020,"which appears to be now on clearance,"
qSGsMN9UGDY,63020,65770,making this video interesting for two reasons.
qSGsMN9UGDY,65770,68840,"First, to get deep under the hood of a display tech"
qSGsMN9UGDY,68840,70427,the world may never see again
qSGsMN9UGDY,70428,75320,and second to maybe score a deal perhaps.
qSGsMN9UGDY,75320,78228,Oh and a third to learn about our sponsor
qSGsMN9UGDY,78228,79061,- GlassWire.
qSGsMN9UGDY,79061,80960,Thanks to GlassWire for sponsoring this video.
qSGsMN9UGDY,80960,82979,Keep track of the weirdest stuff that's connecting
qSGsMN9UGDY,82980,83813,to your PC.
qSGsMN9UGDY,83813,85530,Even when you are not using it.
qSGsMN9UGDY,85530,87340,"If a strange device joins your WiFi,"
qSGsMN9UGDY,87340,88719,you'll be notified instantly.
qSGsMN9UGDY,88720,92780,Get 25% off today using code Linus at the link below
qSGsMN9UGDY,92780,94770,- The big problem with displaying HDR content
qSGsMN9UGDY,94770,97250,on LCDs is that even the best ones
qSGsMN9UGDY,97250,99760,can't fully block out the back light behind them
qSGsMN9UGDY,99760,103620,making black look like more of a faded out gray.
qSGsMN9UGDY,103620,106100,And the solution (mumbles) has been to divide
qSGsMN9UGDY,106100,107180,up the back light
qSGsMN9UGDY,107180,110170,into multiple zones that can be individually controlled
qSGsMN9UGDY,110170,112360,to darken or brighten the image
qSGsMN9UGDY,112360,114460,depending on the content in front.
qSGsMN9UGDY,114460,118670,"This works okay, but even on many LED TVs"
qSGsMN9UGDY,118670,121100,"with a thousand plus dimming zones,"
qSGsMN9UGDY,121100,124490,the bloom or halo effect around bright objects
qSGsMN9UGDY,124490,127310,is almost always visible to the naked eye.
qSGsMN9UGDY,127310,132150,"But what if you had 2,000,000 local dimming zones?"
qSGsMN9UGDY,132150,135239,"This one doesn't, it's only got 132,"
qSGsMN9UGDY,135240,140240,but in front of those dimming zones is a 1080p IPS
qSGsMN9UGDY,140600,145280,black and white LCD panel that acts has a light filter.
qSGsMN9UGDY,145280,149970,And then in front of that is a 4K IPS color panel
qSGsMN9UGDY,149970,152490,to output our final 75 inch image
qSGsMN9UGDY,152490,155350,at refresh rates of up to 120 Hertz.
qSGsMN9UGDY,155350,157060,Doesn't that add a lot more cost
qSGsMN9UGDY,157060,159680,"and complexity you might ask, yes."
qSGsMN9UGDY,159680,161090,"For everything packed into it,"
qSGsMN9UGDY,161090,163680,the U9DG is impressively slim
qSGsMN9UGDY,163680,166129,but Hisense says that the bonding process
qSGsMN9UGDY,166130,167840,to fuse the panels together
qSGsMN9UGDY,167840,170330,was extremely difficult to perfect.
qSGsMN9UGDY,170330,171710,And it clearly contributes
qSGsMN9UGDY,171710,174480,to the shocking 42 kilogram curb weight
qSGsMN9UGDY,174480,177411,that resulted in our first sample being damaged in shipping.
qSGsMN9UGDY,177411,181090,The good news is that it took years
qSGsMN9UGDY,181090,182800,but it was worth the wait.
qSGsMN9UGDY,182800,186580,The two panel solution gives us an unbelievable amount
qSGsMN9UGDY,186580,188540,of dynamic range on an LCD.
