vid,start,end,text
qdjGEwjEjzY,330,2978,[Music]
qdjGEwjEjzY,4480,7279,the panel titled uh career counseling
qdjGEwjEjzY,7279,8800,talked about how to cater to the
qdjGEwjEjzY,8800,10320,changing needs and requirements of
qdjGEwjEjzY,10320,12400,today's generation and counsel them as
qdjGEwjEjzY,12400,14080,per the evolving trends in the education
qdjGEwjEjzY,14080,15090,sector
qdjGEwjEjzY,15090,16160,[Music]
qdjGEwjEjzY,16160,17600,as a counselor
qdjGEwjEjzY,17600,18640,i think
qdjGEwjEjzY,18640,20720,we are becoming a little bit old in the
qdjGEwjEjzY,20720,22240,in that in the sense in the world of
qdjGEwjEjzY,22240,24720,today so students and kids they know
qdjGEwjEjzY,24720,26960,more about technology than we do
qdjGEwjEjzY,26960,30560,ourselves um but um you know as i
qdjGEwjEjzY,30560,32078,mentioned at the beginning statistics
qdjGEwjEjzY,32078,33840,and numbers are there for these students
qdjGEwjEjzY,33840,36880,to look at and counselors to look at and
qdjGEwjEjzY,36880,38559,get students to
qdjGEwjEjzY,38559,42160,learn more technology as we progress uh
qdjGEwjEjzY,42160,44399,in the world the question is that what
qdjGEwjEjzY,44399,46559,to learn and why to learn and how to
qdjGEwjEjzY,46559,49280,learn and unless until we are very clear
qdjGEwjEjzY,49280,50879,and then we have a proper context
qdjGEwjEjzY,50879,52239,because learning will happen in proper
qdjGEwjEjzY,52239,53680,psychological setup
qdjGEwjEjzY,53680,55360,if the learner is not willing to learn
qdjGEwjEjzY,55360,57680,nobody can make him learn the whole idea
qdjGEwjEjzY,57680,58960,is that how to
qdjGEwjEjzY,58960,60800,ignite the learning how to inspire the
qdjGEwjEjzY,60800,62960,learning how to create the context so we
qdjGEwjEjzY,62960,65280,can have 100 learning thank you
qdjGEwjEjzY,65280,68320,the next panel title pathways gateway to
qdjGEwjEjzY,68320,70720,affordable education deliberated on the
qdjGEwjEjzY,70720,72400,national education policy
qdjGEwjEjzY,72400,75119,2020 and how the policy is being taken
qdjGEwjEjzY,75119,77360,forward by the educational institutions
qdjGEwjEjzY,77360,79280,and bringing about pedagogical change
qdjGEwjEjzY,79280,81840,for students benefits
qdjGEwjEjzY,81840,84000,regarding the new education policy which
qdjGEwjEjzY,84000,86479,the government of india has brought in
qdjGEwjEjzY,86479,88479,an ep 2020
qdjGEwjEjzY,88479,90560,of course the
qdjGEwjEjzY,90560,93439,we we run many disciplines almost we got
qdjGEwjEjzY,93439,96159,around 15 different schools so
qdjGEwjEjzY,96159,97840,multi-disciplinary
qdjGEwjEjzY,97840,99600,thing has to be brought in and this is
qdjGEwjEjzY,99600,101759,very well relevant because
qdjGEwjEjzY,101759,103759,if you see that if you go with the shm
