vid,start,end,text
rDK4D5zwJkE,1360,4400,for show a otani my go-to's for shohei
rDK4D5zwJkE,4400,6240,to continue this great run he has been
rDK4D5zwJkE,6240,8639,on throwing the baseballs fastballs in
rDK4D5zwJkE,8639,10719,the upper zone 97
rDK4D5zwJkE,10719,13040,up to 100 miles an hour
rDK4D5zwJkE,13040,16160,right side base hit
rDK4D5zwJkE,16160,18400,it was a slider that tim hammered to
rDK4D5zwJkE,18400,19920,right
rDK4D5zwJkE,19920,23359,so here is mankato swing and a miss
rDK4D5zwJkE,23359,25519,splitter got him
rDK4D5zwJkE,25519,28240,tumbler straight down splitter and it
rDK4D5zwJkE,28240,30800,will bring up luis robert how about just
rDK4D5zwJkE,30800,33760,a swing and a miss back-to-back case
rDK4D5zwJkE,33760,36559,robert goes down swinging kind of chase
rDK4D5zwJkE,36559,38640,went slider then splitter
rDK4D5zwJkE,38640,39920,gavin sheets
rDK4D5zwJkE,39920,43210,d.h tonight for tony larussa
rDK4D5zwJkE,43210,43710,[Music]
rDK4D5zwJkE,43710,46719,[Applause]
rDK4D5zwJkE,46719,49520,michael kopeck look at that e.r.a in
rDK4D5zwJkE,49520,51360,that whip he's having himself quite a
rDK4D5zwJkE,51360,53760,year lead off hit for the angels ward is
rDK4D5zwJkE,53760,55760,aboard and mike trout will be the next
rDK4D5zwJkE,55760,58719,batter and two driven by mike trout
rDK4D5zwJkE,58719,61359,towards the gap in left center that gets
rDK4D5zwJkE,61359,64320,down taylor ward is going to be set
rDK4D5zwJkE,64320,66880,rounding third the throw to the plate
rDK4D5zwJkE,66880,69920,not in time he's in there rbi double for
rDK4D5zwJkE,69920,72430,mike and it's one-nothing halos
rDK4D5zwJkE,72430,73760,[Music]
rDK4D5zwJkE,73760,75200,but he gets the walk
rDK4D5zwJkE,75200,77520,first and second nobody out then it
rDK4D5zwJkE,77520,79840,brings up jared walsh
rDK4D5zwJkE,79840,82720,towards first base abreu to second back
rDK4D5zwJkE,82720,85759,to first not in time ball gets away
rDK4D5zwJkE,85759,88080,here comes trout he's going to score
rDK4D5zwJkE,88080,90000,two-nothing angels
rDK4D5zwJkE,90000,92960,garcia now with one away three-two swing
rDK4D5zwJkE,92960,95680,and a miss he gets garcia strikeout
rDK4D5zwJkE,95680,96980,number four two down
rDK4D5zwJkE,96980,99200,[Applause]
rDK4D5zwJkE,99200,101360,two down top of the second
rDK4D5zwJkE,101360,102880,josh harrison
rDK4D5zwJkE,102880,106000,oh that's just filthy
rDK4D5zwJkE,106000,109360,three two swag gonna miss six k's for
rDK4D5zwJkE,109360,112159,shohei ohtani through three innings here
rDK4D5zwJkE,112159,115438,comes mike trout 2-2
rDK4D5zwJkE,115680,117840,trout in the air to right field it's
rDK4D5zwJkE,117840,120479,garcia
rDK4D5zwJkE,120799,123119,and it's down number two the batter is
rDK4D5zwJkE,123119,125759,ohtani who walked in the first three and
rDK4D5zwJkE,125759,128800,two again
rDK4D5zwJkE,128800,131599,in the air left center field
rDK4D5zwJkE,131599,132560,robert
rDK4D5zwJkE,132560,135120,makes a catch robert beats it out
rDK4D5zwJkE,135120,137599,for a leadoff infield single here's jose
rDK4D5zwJkE,137599,142000,abreu he's one for one with a single
rDK4D5zwJkE,142000,144000,base hit to left
rDK4D5zwJkE,144000,146400,aj pollock got a steady diet of breaking
rDK4D5zwJkE,146400,148239,balls the first two pitches then he
rDK4D5zwJkE,148239,149840,served the liner to left swinging to
rDK4D5zwJkE,149840,151680,miss he got him
rDK4D5zwJkE,151680,155840,that nasty split at 90 miles an hour
rDK4D5zwJkE,155840,158879,leory garcia
rDK4D5zwJkE,159360,162319,3-2 curveball just missed it was in the
rDK4D5zwJkE,162319,164560,neighborhood and the bases are loaded
rDK4D5zwJkE,164560,166319,with two down
rDK4D5zwJkE,166319,168319,harrison over one with a strikeout top
rDK4D5zwJkE,168319,170239,of the four two-nothing angels two down
rDK4D5zwJkE,170239,171519,the one-two
rDK4D5zwJkE,171519,173840,swing gonna miss eight
rDK4D5zwJkE,173840,177519,punch outs for show heyo time 17
rDK4D5zwJkE,177519,179200,swinging misses
rDK4D5zwJkE,179200,181760,[Applause]
rDK4D5zwJkE,181760,185040,that's number nine
rDK4D5zwJkE,185040,186950,three sliders in that sequence again
rDK4D5zwJkE,186950,189120,[Applause]
rDK4D5zwJkE,189120,191280,velasquez has to come in anderson runs
rDK4D5zwJkE,191280,194800,well on the move got him
rDK4D5zwJkE,195120,198080,oh there's a nice little ground ball
rDK4D5zwJkE,198080,200640,and velasquez is there
rDK4D5zwJkE,200640,203040,that's a nice setting for ohtani bottom
rDK4D5zwJkE,203040,205120,of the fifth andrew velasquez
rDK4D5zwJkE,205120,207920,dustin hermansen
rDK4D5zwJkE,208000,210000,big bobby james
rDK4D5zwJkE,210000,212560,harrison roaming out over the shoulder
rDK4D5zwJkE,212560,214720,flip to garcia
rDK4D5zwJkE,214720,217760,angels have a base runner
rDK4D5zwJkE,217760,219760,runner goes again throw down to second
rDK4D5zwJkE,219760,223120,base is late it's a strikeout for kopeck
rDK4D5zwJkE,223120,225519,it's a stolen base for wade
rDK4D5zwJkE,225519,229040,mike trout a runner out there rbi
rDK4D5zwJkE,229040,231760,opportunity
rDK4D5zwJkE,231840,234159,in the air to left pollock is back and
rDK4D5zwJkE,234159,236319,aj makes the catch situation with the
rDK4D5zwJkE,236319,238239,bullpen but that's good news that's
rDK4D5zwJkE,238239,240959,another strikeout for ohtani that's a
rDK4D5zwJkE,240959,244000,big time curve ball straight down 12-6
rDK4D5zwJkE,244000,247519,break there's abreu
rDK4D5zwJkE,248319,250799,look to center trout rushing in he's not
rDK4D5zwJkE,250799,252480,going to get there it's a base hit for
rDK4D5zwJkE,252480,256160,jose his third of the night three two
rDK4D5zwJkE,256160,258079,swing and a miss
rDK4D5zwJkE,258079,259680,got away with that slider that i don't
rDK4D5zwJkE,259680,262160,think that one was by design strikes out
rDK4D5zwJkE,262160,265759,sheets 11 strikeouts on the night
rDK4D5zwJkE,265759,267600,and that's going to be it for shohei and
rDK4D5zwJkE,267600,270800,he is going to get a standing ovation
rDK4D5zwJkE,270800,273280,right here at the big a personally is
rDK4D5zwJkE,273280,275520,like the eye of a hurricane
rDK4D5zwJkE,275520,277520,swinging a miss strike three
rDK4D5zwJkE,277520,280160,kopeck strikes out ohtani
rDK4D5zwJkE,280160,282560,one gone in the sixth yeah this didn't
rDK4D5zwJkE,282560,285120,look quite comfortable after that swing
rDK4D5zwJkE,285120,286560,though for shohei
rDK4D5zwJkE,286560,288880,going straight down
rDK4D5zwJkE,288880,291520,in the tunnel first ball swinging walsh
rDK4D5zwJkE,291520,293680,is on that is his first hit tonight
rDK4D5zwJkE,293680,295280,there's luis renhifa who doubled his
rDK4D5zwJkE,295280,297280,last time up
rDK4D5zwJkE,297280,299520,center field renifo straight away and he
rDK4D5zwJkE,299520,302000,hits it well luis rendezvous
rDK4D5zwJkE,302000,303680,see ya
rDK4D5zwJkE,303680,306639,four nothing angels
rDK4D5zwJkE,306639,309360,that is everyone he bombed the center
rDK4D5zwJkE,309360,311919,huge add-on runs bryan zapper had a
rDK4D5zwJkE,311919,314320,conversation with him this afternoon
rDK4D5zwJkE,314320,315600,and he says he's
rDK4D5zwJkE,315600,317759,feeling as good as he's felt all season
rDK4D5zwJkE,317759,319199,long
rDK4D5zwJkE,319199,321759,3-2 swing and a miss that slider he
rDK4D5zwJkE,321759,323039,talked about
rDK4D5zwJkE,323039,327199,comes through right there nasty one away
rDK4D5zwJkE,328160,331360,to shortstop and velasquez
rDK4D5zwJkE,331360,334800,and it goes away wide of first base
rDK4D5zwJkE,334800,336880,walsh reached for it couldn't come up
rDK4D5zwJkE,336880,338800,with it an awkward looking throw by
rDK4D5zwJkE,338800,343120,velasquez jose brayus three for three
rDK4D5zwJkE,343120,346560,right side base hit robert jumps over it
rDK4D5zwJkE,346560,349360,and the sox have two aboard in this
rDK4D5zwJkE,349360,351600,eighth inning gavin sheets is over three
rDK4D5zwJkE,351600,353759,first and second one out
rDK4D5zwJkE,353759,356160,oh broken back ground ball renee for the
rDK4D5zwJkE,356160,358479,second that's one not
rDK4D5zwJkE,358479,360479,gonna be enough to get
rDK4D5zwJkE,360479,362800,sheets at first runners at first and
rDK4D5zwJkE,362800,364800,third on the fielder's choice and it's
