vid,start,end,text
rHTbwfbRlFw,1760,4560,life is hard see for every time you have
rHTbwfbRlFw,4560,8639,a plan a dream an aspiration or a goal
rHTbwfbRlFw,8639,10000,do you know what happens every time you
rHTbwfbRlFw,10000,12480,have one of those this thing comes along
rHTbwfbRlFw,12480,14160,called life
rHTbwfbRlFw,14160,16640,it happens to everybody
rHTbwfbRlFw,16640,18720,life has disappointments got peaks and
rHTbwfbRlFw,18720,21119,valleys
rHTbwfbRlFw,21680,23359,that most people like to feel like
rHTbwfbRlFw,23359,24960,they're king in the area of their
rHTbwfbRlFw,24960,27119,comfort zone they only want to do those
rHTbwfbRlFw,27119,30880,things that they know how to do well
rHTbwfbRlFw,30880,33040,you can stop thinking that life
rHTbwfbRlFw,33040,35520,shouldn't be easy cause i got news for
rHTbwfbRlFw,35520,37120,you it ain't
rHTbwfbRlFw,37120,39360,cause it's life
rHTbwfbRlFw,39360,40640,success
rHTbwfbRlFw,40640,43280,comes with a price that's normally
rHTbwfbRlFw,43280,47440,bigger than what most people want to pay
rHTbwfbRlFw,47440,49680,you have to fail in order to climb that
rHTbwfbRlFw,49680,50800,ladder
rHTbwfbRlFw,50800,55198,there's no one that doesn't fail
rHTbwfbRlFw,55360,57120,the high performance people
rHTbwfbRlFw,57120,58719,the one thing that they all have in
rHTbwfbRlFw,58719,59760,common
rHTbwfbRlFw,59760,62079,is they're hungry
rHTbwfbRlFw,62079,64559,hungry for a better life
rHTbwfbRlFw,64559,67600,hungry for change
rHTbwfbRlFw,67600,69600,but you can only do that through the
rHTbwfbRlFw,69600,70840,struggle of
rHTbwfbRlFw,70840,73840,life success is going to cost you way
rHTbwfbRlFw,73840,77280,beyond money see success is
rHTbwfbRlFw,77280,80000,it's not something that's gifted to you
rHTbwfbRlFw,80000,83360,success is something that you have to go
rHTbwfbRlFw,83360,85200,get
rHTbwfbRlFw,85200,88000,i want you to stop playing the victim
rHTbwfbRlFw,88000,90880,you are not the victim
rHTbwfbRlFw,90880,92640,because you have now developed yourself
rHTbwfbRlFw,92640,95119,in such confidence and such confidence
rHTbwfbRlFw,95119,98960,and how to deal in the arena of life
rHTbwfbRlFw,98960,100560,you gotta have like a shark mentality
rHTbwfbRlFw,100560,103280,because if a shark swims backward it
rHTbwfbRlFw,103280,104240,dies
rHTbwfbRlFw,104240,106560,a shark can only move forward and so i
rHTbwfbRlFw,106560,109520,need you every single day you wake up
rHTbwfbRlFw,109520,112880,and go after that tree
rHTbwfbRlFw,113200,116079,rest at the end not in the middle
