vid,start,end,text
rYVSzvQyx10,2850,7240,[Music]
rYVSzvQyx10,10160,12960,ladies and gentlemen welcome to
rYVSzvQyx10,12960,15759,chai with the tech
rYVSzvQyx10,126719,129280,performance
rYVSzvQyx10,154480,157480,um
rYVSzvQyx10,181599,182960,foreign
rYVSzvQyx10,182960,186229,[Applause]
rYVSzvQyx10,210959,213040,more than i need to do power only three
rYVSzvQyx10,213040,216560,thousand five rupees so guys
rYVSzvQyx10,223040,226040,stephen
rYVSzvQyx10,251760,254760,foreign
rYVSzvQyx10,419680,422680,foreign
rYVSzvQyx10,458440,461540,[Music]
rYVSzvQyx10,488010,492850,[Laughter]
rYVSzvQyx10,558480,561480,foreign
rYVSzvQyx10,574560,578440,love you all cheers
rYVSzvQyx10,583220,585988,[Music]
