vid,start,end,text
roPKgI74PSE,0,2909,a ciranda cirandinha vamos todos
roPKgI74PSE,2909,7140,cirandar pessoa usar um pauzinho aí
roPKgI74PSE,7140,9240,galerinha isso aqui para gravar mais
roPKgI74PSE,9240,15049,para vocês de balde agora não mamãe
roPKgI74PSE,15049,18869,Roblox e tá aqui na minha mãe tá aqui
roPKgI74PSE,18869,23390,ela vai de blocos e também que o meu pai
roPKgI74PSE,23630,26880,estamos aqui para fazer o fazendo fecham
roPKgI74PSE,26880,31380,favor mesmo pessoal Então bora lá vamos
roPKgI74PSE,31380,35100,lá gente e o tema é dia do cabelo mal
roPKgI74PSE,35100,38489,gente ia do cabelo mal e eu vou ser a
roPKgI74PSE,38489,40860,primeira a dar o pause e quando eu
roPKgI74PSE,40860,42750,pausar vocês dois não tem que ficar
roPKgI74PSE,42750,46440,paradinho tá então por favor ter um
roPKgI74PSE,46440,49200,cabelo bem bagunçado a primeira roupa
roPKgI74PSE,49200,51860,que deu ruim
roPKgI74PSE,51860,56340,ah não já estou ajeitando falso não
roPKgI74PSE,56340,58770,tenho nada por isso mesmo vocês vão
roPKgI74PSE,58770,61449,ficar bem paradinho e eu vou escolher um
roPKgI74PSE,61449,63609,cabelo muito bonito para mim o cabelo é
roPKgI74PSE,63609,67060,bem bem mal é o cabelo bem mal aí vocês
roPKgI74PSE,67060,69640,vão ficar olhando eu me arrumar eu estou
roPKgI74PSE,69640,73530,aqui plena e maravilhosa dia
roPKgI74PSE,73530,76830,é isso aí mesmo
roPKgI74PSE,76830,81460,deixa eu ver seu dia do cabelo mal ah
roPKgI74PSE,81460,85119,não vai ficar vai ficar vai ficar não
roPKgI74PSE,85119,88619,por favor Play não agora não
roPKgI74PSE,88619,92920,deixa eu pensar Play não posso fofa
roPKgI74PSE,92920,95500,agora quem vai dar o que vai dar o pausa
roPKgI74PSE,95500,99310,a Vitória o Jaque eu tá bom tá então
roPKgI74PSE,99310,100810,posso dar para usar qualquer momento
roPKgI74PSE,100810,104409,isso é no momento a pintar pelo mal esse
roPKgI74PSE,104409,106500,meu
roPKgI74PSE,106799,109799,mouse
roPKgI74PSE,111119,115810,e um cantinho né mamãe eu quero ser
roPKgI74PSE,115810,119740,vestir roupa Jack deu
roPKgI74PSE,120020,123740,é nada não negócio de alienígena tão
roPKgI74PSE,123740,126619,linda a gente agora somente pelo menos
roPKgI74PSE,126619,129830,na roupa viu não cair um tempinho ainda
roPKgI74PSE,129830,132920,tem O Causo do Jack ainda gente não tem
roPKgI74PSE,132920,135980,um tempinho aí agora você foi bem ruim
roPKgI74PSE,135980,139459,comigo não pode falar que você ficar
roPKgI74PSE,139459,141620,paradinho eu tô falando deixa eu ver
roPKgI74PSE,141620,145400,Cadê ela cadê ela eu tô nas roupas play
roPKgI74PSE,145400,147099,play o
roPKgI74PSE,147099,151220,meu calma meu Deus eu acho que eu tô
roPKgI74PSE,151220,154760,pronto deixa eu ver ver viu vamos ver
roPKgI74PSE,154760,157700,vamos ver vamos ver vamos ver o que vi
roPKgI74PSE,157700,159140,como é que tira esse cabelo aqui eu
roPKgI74PSE,159140,160730,quero trocar de cabelo e você tem que
roPKgI74PSE,160730,162849,ficar notícia acabou
roPKgI74PSE,162849,166450,não tô eu tô sem roupa eu
roPKgI74PSE,166450,170269,botei louco gente cabelo eu não consigo
roPKgI74PSE,170269,172099,nada eu tenho que ser tem que ser uma
roPKgI74PSE,172099,177049,roupa um cabelo mal vai ficar causada da
roPKgI74PSE,177049,180980,só um clique numa roupa não é um simples
roPKgI74PSE,180980,184040,não seu pai tá casa
