vid,start,end,text
sHIEFJkXm-M,2080,4080,he's here
sHIEFJkXm-M,4080,7080,wow
sHIEFJkXm-M,7600,10760,[Music]
sHIEFJkXm-M,13600,20840,[Music]
sHIEFJkXm-M,23540,26629,[Music]
sHIEFJkXm-M,27359,29630,okay
sHIEFJkXm-M,29630,32820,[Music]
sHIEFJkXm-M,41240,43120,[Music]
sHIEFJkXm-M,43120,44640,wow wow
sHIEFJkXm-M,44640,45510,okay
sHIEFJkXm-M,45510,46719,[Music]
sHIEFJkXm-M,46719,49120,come on
sHIEFJkXm-M,51440,54230,don't call me honey
sHIEFJkXm-M,54230,57640,[Music]
sHIEFJkXm-M,60559,63038,okay
sHIEFJkXm-M,63860,67650,[Laughter]
sHIEFJkXm-M,68240,69330,come
sHIEFJkXm-M,69330,71040,[Music]
sHIEFJkXm-M,71040,71479,what the on
sHIEFJkXm-M,72960,75270,what the
sHIEFJkXm-M,75270,78329,[Music]
sHIEFJkXm-M,84960,86759,what the hell oh
sHIEFJkXm-M,86759,90479,no no no
sHIEFJkXm-M,90720,94040,oh
sHIEFJkXm-M,102320,103920,oh
sHIEFJkXm-M,103920,105560,yes
sHIEFJkXm-M,105560,114330,[Music]
sHIEFJkXm-M,117760,121990,[Music]
sHIEFJkXm-M,121990,125409,[Laughter]
sHIEFJkXm-M,125900,138030,[Music]
sHIEFJkXm-M,140160,147200,[Music]
sHIEFJkXm-M,147200,150200,hey
sHIEFJkXm-M,152110,158330,[Music]
sHIEFJkXm-M,168840,172920,yes oh
sHIEFJkXm-M,173340,186989,[Music]
sHIEFJkXm-M,196140,199340,[Music]
sHIEFJkXm-M,199519,202020,what the hell
sHIEFJkXm-M,202020,205959,[Music]
sHIEFJkXm-M,214959,219159,it's over 9 000.
sHIEFJkXm-M,222880,227640,[Music]
sHIEFJkXm-M,227640,229520,[Laughter]
sHIEFJkXm-M,229520,234000,[Music]
sHIEFJkXm-M,234000,237200,i don't love this
sHIEFJkXm-M,237200,241080,don't call me honey
sHIEFJkXm-M,247200,250340,[Applause]
sHIEFJkXm-M,250820,255439,[Music]
sHIEFJkXm-M,255439,257320,wow
sHIEFJkXm-M,257320,259829,[Music]
sHIEFJkXm-M,259829,262560,[Applause]
sHIEFJkXm-M,262560,265560,okay
sHIEFJkXm-M,265690,278960,[Music]
sHIEFJkXm-M,278960,280560,you suck
sHIEFJkXm-M,280560,283120,jackass
sHIEFJkXm-M,284000,287589,[Music]
sHIEFJkXm-M,290140,293579,[Music]
sHIEFJkXm-M,294720,295720,yeah
sHIEFJkXm-M,295720,297120,[Music]
sHIEFJkXm-M,297120,298750,bye
sHIEFJkXm-M,298750,302400,[Music]
sHIEFJkXm-M,302400,305500,[Laughter]
sHIEFJkXm-M,305500,316740,[Music]
sHIEFJkXm-M,323039,325840,give it to you
sHIEFJkXm-M,326340,327190,[Music]
sHIEFJkXm-M,327190,330580,[Laughter]
sHIEFJkXm-M,330580,341500,[Music]
sHIEFJkXm-M,341680,344749,[Applause]
sHIEFJkXm-M,347240,350720,[Music]
sHIEFJkXm-M,350720,353290,let's go let's go let's go
sHIEFJkXm-M,353290,363810,[Music]
sHIEFJkXm-M,367199,372199,what the hell no no no no
sHIEFJkXm-M,374460,379060,[Music]
sHIEFJkXm-M,381920,394589,[Music]
sHIEFJkXm-M,397730,412009,[Music]
sHIEFJkXm-M,412319,414880,damn brock got nerfed
sHIEFJkXm-M,414880,419960,take the l i'm on top of my game
sHIEFJkXm-M,423840,426160,check me out
sHIEFJkXm-M,426160,427759,easy
sHIEFJkXm-M,427759,432120,let's get on top of my game
sHIEFJkXm-M,441860,445029,[Music]
sHIEFJkXm-M,449480,456600,[Music]
sHIEFJkXm-M,459920,462400,[Music]
sHIEFJkXm-M,462400,465720,oh no
sHIEFJkXm-M,467039,470680,oh whoa
sHIEFJkXm-M,477930,481029,[Music]
sHIEFJkXm-M,483759,486759,oh
