vid,start,end,text
sfuDVRNYViQ,160,2879,junk food hearts are in minecraft and
sfuDVRNYViQ,2879,5120,i'm looking to collect all of them i'll
sfuDVRNYViQ,5120,7759,explore a massive amusement park filled
sfuDVRNYViQ,7759,10000,with cool attractions and junk foods of
sfuDVRNYViQ,10000,12799,course all while fighting back the evil
sfuDVRNYViQ,12799,15679,vegetable mobs oh my goodness guys i'm
sfuDVRNYViQ,15679,17600,so excited to go to amusement park this
sfuDVRNYViQ,17600,19920,is my first time ever oh and uh to get
sfuDVRNYViQ,19920,21920,more hearts it looks like hello is this
sfuDVRNYViQ,21920,23840,where i give you my ticket cause i lost
sfuDVRNYViQ,23840,26960,it already oh hello welcome to the park
sfuDVRNYViQ,26960,29519,and thanks for agreeing to tour the park
sfuDVRNYViQ,29519,32000,early and help set up oh is that what's
sfuDVRNYViQ,32000,33920,happening i did not read the brochure
sfuDVRNYViQ,33920,35680,whoa wait a minute are you the park
sfuDVRNYViQ,35680,39040,owner indeed hope you have a great time
sfuDVRNYViQ,39040,42719,here take a cake as a thanks oh thanks
sfuDVRNYViQ,42719,44800,dude earth sir park owner i didn't
sfuDVRNYViQ,44800,46800,really ask him well i have other matters
sfuDVRNYViQ,46800,49760,to intend to so i'll be on my way oh
sfuDVRNYViQ,49760,51920,okay well that's weird i'll have to get
sfuDVRNYViQ,51920,54160,used to that i got a cake dude i can't
sfuDVRNYViQ,54160,56399,eat it but it does look beautiful oh
sfuDVRNYViQ,56399,57920,this is so cool dude there's gonna be so
sfuDVRNYViQ,57920,60960,many attractions and what hey you uh hey
sfuDVRNYViQ,60960,64400,me wanna try to beat me i'm undefeated
sfuDVRNYViQ,64400,67439,oh yeah no not really oh okay well you
sfuDVRNYViQ,67439,68960,teleported me all right don't know how
sfuDVRNYViQ,68960,71040,the science on that works if you can
sfuDVRNYViQ,71040,73680,knock me off this bridge you win and
sfuDVRNYViQ,73680,76000,i'll give you a prize well well i guess
sfuDVRNYViQ,76000,77840,prizes are a little okay he's attacking
sfuDVRNYViQ,77840,79200,me here we go
sfuDVRNYViQ,79200,82080,no no no no uh i fell well
sfuDVRNYViQ,82080,84159,i won i guess that was not difficult i
sfuDVRNYViQ,84159,85759,didn't even punch him i think he ran off
sfuDVRNYViQ,85759,87840,the edge himself he wasn't expecting
sfuDVRNYViQ,87840,90880,these jukes dude and i got myself a corn
sfuDVRNYViQ,90880,93280,dog heart from that so that's nice
sfuDVRNYViQ,93280,95840,oh my goodness i got like a giant corn
sfuDVRNYViQ,95840,97600,dog toothpick or like whatever those
sfuDVRNYViQ,97600,99200,things are you know when you play that
sfuDVRNYViQ,99200,100640,game or you hit people off looks like
sfuDVRNYViQ,100640,102720,this will be my best attack weapon for
sfuDVRNYViQ,102720,105040,at least a while it also does an aoe
sfuDVRNYViQ,105040,106799,attack cool dude all right well let's
sfuDVRNYViQ,106799,108240,keep moving on and see what else we can
