vid,start,end,text
styN6QavqVU,480,2879,once you pop
styN6QavqVU,2879,4560,these are harder to get off anything
styN6QavqVU,4560,6240,right okay let's try to get ready okay
styN6QavqVU,6240,10240,okay ready pop it off once you pop
styN6QavqVU,11280,13280,one more time
styN6QavqVU,13280,15519,once you pop
styN6QavqVU,15519,19960,mashed potatoes don't stop
styN6QavqVU,23040,36880,[Music]
styN6QavqVU,36880,38399,mashed potatoes
styN6QavqVU,38399,40800,they're a thing that exists it's a food
styN6QavqVU,40800,43800,group
styN6QavqVU,44559,46000,let's start at the beginning shall we
styN6QavqVU,46000,49440,hello internet welcome to food theory
styN6QavqVU,49440,51520,where today we're covering my second
styN6QavqVU,51520,53680,favorite food and my first favorite way
styN6QavqVU,53680,56559,of consuming potato mashed wait you
styN6QavqVU,56559,59039,don't like fries better no better than
styN6QavqVU,59039,62239,mashed potato scalloped
styN6QavqVU,62239,63359,scallop
styN6QavqVU,63359,66240,tall oh you're tall more like i'll get
styN6QavqVU,66240,68640,out of here
styN6QavqVU,68880,71200,more like all grown
styN6QavqVU,71200,73119,tall
styN6QavqVU,73119,74880,matthew
styN6QavqVU,74880,77280,for some reason prefers
styN6QavqVU,77280,78560,the flake
styN6QavqVU,78560,81119,instead of the real potato they are real
styN6QavqVU,81119,83200,potato they're just dehydrated potato
styN6QavqVU,83200,84080,flavors
styN6QavqVU,84080,86560,has a potato ever made this sound here
styN6QavqVU,86560,88159,put it right next to your mic look at
styN6QavqVU,88159,89040,this
styN6QavqVU,89040,91200,this shaking crinkling
styN6QavqVU,91200,93520,sound i feel like potatoes should be
styN6QavqVU,93520,96000,making that sound feeling attacked
styN6QavqVU,96000,98000,here's the deal friends thanksgiving
styN6QavqVU,98000,100240,dinner is the best meal of the year in
styN6QavqVU,100240,102640,my opinion turkey top tier food mashed
styN6QavqVU,102640,105040,potatoes second tier food combine them
styN6QavqVU,105040,107600,together best food it's like the best
styN6QavqVU,107600,110960,dragon ball z fusion ever or i guess for
styN6QavqVU,110960,113119,all you hip kids it's like a steven
styN6QavqVU,113119,115600,universe gem fusion oh my god happening
styN6QavqVU,115600,118240,let's see i am fusion i'm up with the
styN6QavqVU,118240,120079,relevant times except that's the show
styN6QavqVU,120079,123439,that ended up five years ago
styN6QavqVU,123439,126840,i'm just getting caught up with it okay
styN6QavqVU,126840,129039,stephanie it takes me some time to watch
styN6QavqVU,129039,130879,start making some amphibia references
styN6QavqVU,130879,132720,and then we'll be talking i'm on episode
styN6QavqVU,132720,134720,three thank you very much that also just
styN6QavqVU,134720,135520,ended
styN6QavqVU,135520,138480,so anyway we're here today to make some
styN6QavqVU,138480,141200,mashed potatoes yes why are we talking
styN6QavqVU,141200,142400,about thanksgiving and mashed potatoes
styN6QavqVU,142400,144080,when it's nowhere close to any of that
styN6QavqVU,144080,146920,well recently over on tick tock a
styN6QavqVU,146920,149200,monstrosity of a food hack has started
styN6QavqVU,149200,151920,to appear in which they take pringles
styN6QavqVU,151920,154800,and turn them into mashed potatoes on
styN6QavqVU,154800,156560,the surface that seems like an insane
styN6QavqVU,156560,158400,concept but when you dig down deeper it
styN6QavqVU,158400,160720,makes some level of sense pringles are
styN6QavqVU,160720,163040,chips made of dehydrated potato flakes
styN6QavqVU,163040,165280,that have been pressed and formed back
styN6QavqVU,165280,168000,into a chip kind of like this sort of
styN6QavqVU,168000,169200,stuff that you're getting out of the bag
styN6QavqVU,169200,171680,yep in fact they have the same first
styN6QavqVU,171680,174319,ingredient in both cases so our our
styN6QavqVU,174319,176400,little potato flakeys first ingredient
styN6QavqVU,176400,178560,is dried potatoes and then also if you
styN6QavqVU,178560,180800,look at pringles first ingredient dried
styN6QavqVU,180800,182879,potatoes that's kind of the question
styN6QavqVU,182879,184879,here is this actually viable the way
styN6QavqVU,184879,186800,they show it on the tick tock is there a
styN6QavqVU,186800,189280,better way of doing it and then
styN6QavqVU,189280,190950,once we've proven all of that
styN6QavqVU,190950,192560,[Music]
styN6QavqVU,192560,194720,can we do it with other chips so today
styN6QavqVU,194720,196159,we're going to determine whether or not
styN6QavqVU,196159,198560,pringles new motto should be once you
styN6QavqVU,198560,202239,pop the mashed potatoes don't stop
styN6QavqVU,202239,205840,yikes that's pretty bad was it
styN6QavqVU,205840,207760,well not as bad as the mashed potatoes
styN6QavqVU,207760,209280,are going to turn out tell you what hey
styN6QavqVU,209280,210640,y'all
