vid,start,end,text
sz2C1nTGYHA,40,2070,Hai
sz2C1nTGYHA,5590,8650,[Musik]
sz2C1nTGYHA,18190,31300,[Musik]
sz2C1nTGYHA,33000,35970,Bisa bentuk buah
sz2C1nTGYHA,35970,40270,ada yang kedua satu orang bebas ikut gua
sz2C1nTGYHA,40270,43600,entar lu
sz2C1nTGYHA,44000,58020,[Musik]
sz2C1nTGYHA,60579,63710,2015 ini cuman beginilah diluk harga
sz2C1nTGYHA,63710,67040,cuman dua Bikin grup karena 99101 punya
sz2C1nTGYHA,67040,70659,gua valenten gua banyak WiFi
sz2C1nTGYHA,70659,74619,dijual-jual loh harga
sz2C1nTGYHA,74619,79990,cuman gua unit putih sama hitam Ah gila
sz2C1nTGYHA,86120,94569,[Musik]
sz2C1nTGYHA,95200,98630,ini baru keren wow ini aja sih warna
sz2C1nTGYHA,98630,102038,baru ini aja
sz2C1nTGYHA,102360,104030,Hai Novan lagi
sz2C1nTGYHA,104030,107630,Ntar keburu Aku butuh
sz2C1nTGYHA,107630,111680,proyek-proyek lagi-lagi
sz2C1nTGYHA,125180,128179,saya
sz2C1nTGYHA,129800,133250,saya bagus sih
sz2C1nTGYHA,133250,138930,Iya boleh duration belum
sz2C1nTGYHA,146910,149380,Iya ini mau jalan-jalan nih
sz2C1nTGYHA,149380,152290,hai Nia dedengkotnya nih dedengkot Yes
sz2C1nTGYHA,152290,155590,Mini Cooper debutnya Force by kalau anak
sz2C1nTGYHA,155590,156760,mobil kalau enggak tahu dia berarti
sz2C1nTGYHA,156760,157830,bukanlah
sz2C1nTGYHA,157830,159660,mobil-mobilan
sz2C1nTGYHA,159660,163590,Hah udah tidur nih Yo
sz2C1nTGYHA,163590,166590,Yo
sz2C1nTGYHA,167040,169440,pembukaan nih
sz2C1nTGYHA,169440,175380,nanti siang cuma kita berdua ya udah
sz2C1nTGYHA,175380,188050,[Musik]
sz2C1nTGYHA,191310,194730,menikmati jalan
sz2C1nTGYHA,195330,196860,santai
sz2C1nTGYHA,196860,199860,buru-buru
sz2C1nTGYHA,202860,205750,Sesampainya di butik Zaskia Sungkar di
sz2C1nTGYHA,205750,207970,Bintaro deh sebelum kita masuk gua mau
sz2C1nTGYHA,207970,210530,minum dulu sesuatu yang bisa bikin gua
sz2C1nTGYHA,210530,213620,dah bermanfaat untuk beraktivitas Aku
sz2C1nTGYHA,213620,215330,mau minum dunia dzuhur Mayang double
sz2C1nTGYHA,215330,217130,manfaat biar makin Semangat buat
sz2C1nTGYHA,217130,219970,kegiatan hari ini
sz2C1nTGYHA,222740,227750,[Musik]
sz2C1nTGYHA,233500,238570,susu serial + rumah ini mantap besok
sz2C1nTGYHA,239500,241970,kalau rasanya enak mah begini enggak
sz2C1nTGYHA,241970,243620,hamba diminum tiap hari juga aku nggak
sz2C1nTGYHA,243620,245890,nolak
sz2C1nTGYHA,245920,250190,ini syukur Mak rafatar Gigi suka semua
sz2C1nTGYHA,250190,252320,selain rasanya enak juga buat pelengkap
sz2C1nTGYHA,252320,254420,gizi nutrisi harian dan juga ini bisa
sz2C1nTGYHA,254420,256579,buat jaga daya tahan tubuh tok mantap
sz2C1nTGYHA,256579,258940,SBS
sz2C1nTGYHA,259870,262310,Gayo kita masuk dalam kita lihat-lihat
sz2C1nTGYHA,262310,265070,sambil menggigit
sz2C1nTGYHA,265070,265750,Hai
sz2C1nTGYHA,265750,269380,kawan memang oh bagus deh
sz2C1nTGYHA,269380,274600,soalnya ribet karena kafe-kafe belakang
sz2C1nTGYHA,274600,276250,kayaknya
sz2C1nTGYHA,276250,279640,ini belum jadi gimana
sz2C1nTGYHA,279640,283580,mau diangkat jadi
sz2C1nTGYHA,283580,288379,[Musik]
sz2C1nTGYHA,288430,290440,harusnya
sz2C1nTGYHA,290440,293800,jam berapa
sz2C1nTGYHA,297910,300590,jadi ganti alamat untuk pembukaan Butik
sz2C1nTGYHA,300590,304340,Zaskia Sungkar di Bintaro Sektor 9 Topan
sz2C1nTGYHA,304340,306139,tapis best
sz2C1nTGYHA,306139,308740,Hai belum belum buka ya Udah
sz2C1nTGYHA,308740,311689,udah sebelum menulis itu dia Coba
sz2C1nTGYHA,311689,315669,sekarang lagi di situ buat opening
sz2C1nTGYHA,315800,317710,[Musik]
sz2C1nTGYHA,317710,321639,jualan baju baju
sz2C1nTGYHA,321639,325060,baju cowok
sz2C1nTGYHA,333009,336009,cewek
sz2C1nTGYHA,336460,339520,eh cowok
sz2C1nTGYHA,344469,347469,hahaha
sz2C1nTGYHA,348129,354560,ya Ya pokoknya ada cuma digantung siang
sz2C1nTGYHA,359840,362940,[Tepuk tangan]
sz2C1nTGYHA,366150,368480,Hai sangat mungkin jangan
sz2C1nTGYHA,368480,384130,[Musik]
sz2C1nTGYHA,385730,387500,makan banyak-banyak
sz2C1nTGYHA,387500,390320,kalau masih hitungan Eh
sz2C1nTGYHA,390320,392390,tapi ya
sz2C1nTGYHA,392390,398000,memilih memilih makanan gitu loh Gem
sz2C1nTGYHA,399830,402720,memilih maksud gue lebih memilih makanan
sz2C1nTGYHA,402720,406970,aja kami tapi ini sudah
sz2C1nTGYHA,408260,411279,[Musik]
sz2C1nTGYHA,412710,414380,Hai buah
sz2C1nTGYHA,414380,417380,iburi
sz2C1nTGYHA,419150,420890,Biasanya
sz2C1nTGYHA,420890,426240,enggak Masa hei hai
sz2C1nTGYHA,427620,429900,Hai itu punya ibu Mendengar orang tuh
sz2C1nTGYHA,429900,434280,deskripsi dikasih dikasih saya
sz2C1nTGYHA,434280,437500,[Musik]
sz2C1nTGYHA,440220,442639,[Musik]
sz2C1nTGYHA,442639,446479,enggak Mau gendong mau
sz2C1nTGYHA,446479,449690,a-a-a-a a-a-a-a
sz2C1nTGYHA,450600,457820,di tanah punya aa aa menah Hm
sz2C1nTGYHA,458030,461030,kamu
sz2C1nTGYHA,461060,464150,ngantuk ya
sz2C1nTGYHA,464330,468810,ngantuk jadinya mau ketawa dulu Makan
sz2C1nTGYHA,468810,471060,dulu Makan dulu nggak ada acara apa-apa
sz2C1nTGYHA,471060,473870,cuma makan doang
sz2C1nTGYHA,476450,481850,pada persarafannya udah-udah
sz2C1nTGYHA,487760,489810,tadi
sz2C1nTGYHA,489810,499689,[Musik]
sz2C1nTGYHA,502640,505640,hidupkan
sz2C1nTGYHA,506360,508400,begitu doang
sz2C1nTGYHA,508400,513610,oke ya Hai jangan gitu dong Wah lu mau
sz2C1nTGYHA,513610,518459,ancur lagi dia wah dikit aja
sz2C1nTGYHA,520289,524430,belon nonton semua kasih
sz2C1nTGYHA,524850,529649,sama itu enggak papa semuanya tersenyum
sz2C1nTGYHA,533910,536910,gembira
sz2C1nTGYHA,540000,544680,tepat box suprise buat Nagita juga
sz2C1nTGYHA,550709,555930,mobil ini helm
sz2C1nTGYHA,557410,562620,[Musik]
sz2C1nTGYHA,562620,566459,lo nya eror kalau Bos
sz2C1nTGYHA,566459,569170,Bos tadi yang lain pada gue tinggal
sz2C1nTGYHA,569170,570620,masih
sz2C1nTGYHA,570620,574100,al-quran sebanyak dulu aja kampus ulang
