vid,start,end,text
t-e_xTbAydE,0,833,[liquid pouring]
t-e_xTbAydE,833,2551,[meat grinding] [water dripping]
t-e_xTbAydE,2551,5070,[upbeat music]
t-e_xTbAydE,5070,7230,"- Hi, I'm Emily, and I'm a level 1, chef."
t-e_xTbAydE,7230,9809,"- Hi, I'm Lorenzo, and I'm a level 2 chef."
t-e_xTbAydE,9810,10920,"- Hi, I'm Frank Proto,"
t-e_xTbAydE,10920,13535,and I've been a professional chef for 27 years.
t-e_xTbAydE,13535,15809,[upbeat drums]
t-e_xTbAydE,15810,17970,- A lot of pasta Bolognese is like an all day
t-e_xTbAydE,17970,19380,Sunday sauce kind of thing.
t-e_xTbAydE,19380,22164,"And this is really like, get in, get out, and eat dinner."
t-e_xTbAydE,22164,22997,[Emily laughs]
t-e_xTbAydE,22997,27330,- This recipe is the only recipe my mom knows how to make.
t-e_xTbAydE,27330,30660,This sauce was a savior feeding all these kids every week.
t-e_xTbAydE,30660,32369,- One of the best times I've had a Bolognese
t-e_xTbAydE,32369,35430,"is I was on a trip with my wife, we were in Bologna."
t-e_xTbAydE,35430,36480,"That's what I'm chasing today,"
t-e_xTbAydE,36480,38853,is that perfect bowl of pasta I had in Bologna.
t-e_xTbAydE,41718,44385,[bells dinging]
t-e_xTbAydE,45900,47970,- I'm gonna start by making the Bolognese sauce.
t-e_xTbAydE,47970,50250,So the base of my Bolognese is a mirepoix.
t-e_xTbAydE,50250,53010,"- It's the trio of vegetables or the sofrito,"
t-e_xTbAydE,53010,54359,as the Italians call it.
t-e_xTbAydE,54360,55193,- That's-
t-e_xTbAydE,55193,56550,"- [All] Celery, carrots, and onions."
t-e_xTbAydE,56550,57630,- Now the onions and the carrots
t-e_xTbAydE,57630,59010,"are gonna give a little bit of sweetness,"
t-e_xTbAydE,59010,60149,a little bit of earthiness.
t-e_xTbAydE,60150,61800,The celery gives a little sharpness
t-e_xTbAydE,61800,63899,and takes away some of that acidity.
t-e_xTbAydE,63900,66030,What this gives us is a nice baseline of the sauce.
t-e_xTbAydE,66030,68760,First thing I like to do is get my onions out of the way.
t-e_xTbAydE,68760,69990,"What I do is I take my onion,"
t-e_xTbAydE,69990,73020,and I'm cutting across the natural line of the onion.
t-e_xTbAydE,73020,74670,"And then I just kind of go up and over,"
t-e_xTbAydE,74670,76470,"almost like you're going over the rainbow, right?"
t-e_xTbAydE,76470,78900,"- I am going to use the grater,"
t-e_xTbAydE,78900,81630,it just incorporates in the sauce easier.
t-e_xTbAydE,81630,83579,"It'll turn translucent easier,"
t-e_xTbAydE,83580,86040,and look all the pieces are pretty uniform.
t-e_xTbAydE,86040,87840,- I'm gonna go with a little bit of a rough chop
t-e_xTbAydE,87840,89880,because I like chunks of vegetable in my sauce.
t-e_xTbAydE,89880,91500,"I'm not gonna peel the carrot, it's clean."
t-e_xTbAydE,91500,93510,"- I don't peel my carrots, just wash 'em."
t-e_xTbAydE,93510,94860,- You don't really have to peel them.
t-e_xTbAydE,94860,96300,I think it just looks a little better
t-e_xTbAydE,96300,97530,in your finished sauce.
t-e_xTbAydE,97530,99630,"- I'm chopping my celery,"
t-e_xTbAydE,99630,100829,because it's stringy and you don't want
t-e_xTbAydE,100830,103530,"those strings all throughout your sauce, gross."
t-e_xTbAydE,103530,106380,"- Celery I less want chunks in my sauce,"
t-e_xTbAydE,106380,107759,"and I want it to dissipate a little more,"
t-e_xTbAydE,107760,109920,"but it's also full of water, so it's gonna do that anyway."
t-e_xTbAydE,109920,111090,"All right, mirepoix all prepped."
t-e_xTbAydE,111090,113100,- Here's my mirepoix.
t-e_xTbAydE,113100,114930,"- My mirepoix's done, next thing I'm gonna do"
t-e_xTbAydE,114930,116430,is grind some lamb.
t-e_xTbAydE,116430,117810,- I've never heard of a lamb Bolognese.
t-e_xTbAydE,117810,119850,I'm not sure I'm that brave. [laughs]
t-e_xTbAydE,119850,121290,- I think lamb for Bolognese
t-e_xTbAydE,121290,123750,"is not something people expect to see,"
t-e_xTbAydE,123750,126300,"but I think for this sauce, it makes a lot of sense."
t-e_xTbAydE,126300,127830,It's gonna be super rich.
t-e_xTbAydE,127830,130380,I'm working with lamb shoulder for a few reasons.
t-e_xTbAydE,130380,133170,"It's got a really nice meat to fat ratio,"
t-e_xTbAydE,133170,135510,and fat equals flavor.
t-e_xTbAydE,135510,137189,"Okay, we're ready, let's grind."
t-e_xTbAydE,137190,139440,- I would not know where to start with grinding my own meat.
t-e_xTbAydE,139440,142110,"I'm not gonna buy a big thing of meat, grind it,"
t-e_xTbAydE,142110,144930,"clean a meat grinder, and then make pasta, you know?"
t-e_xTbAydE,144930,147239,I am making a simple ground pork Bolognese.
t-e_xTbAydE,147240,149340,- I think that ground pork is pretty good for this.
t-e_xTbAydE,149340,150690,"- If I'm just gonna use one protein,"
t-e_xTbAydE,150690,152520,"I feel like pork is great, 'cause it's fatty,"
t-e_xTbAydE,152520,154320,"and it gives you that sort of like,"
t-e_xTbAydE,154320,156450,"pasta sauce with meat vibe that you think of,"
t-e_xTbAydE,156450,158250,as like just a classic version.
t-e_xTbAydE,158250,160290,- I like using ground chicken.
t-e_xTbAydE,160290,161739,- Who's doing ground chicken?
t-e_xTbAydE,162780,163612,- Come on.
t-e_xTbAydE,163613,165210,"Ground chicken belongs in a lot of other things,"
t-e_xTbAydE,165210,167340,I'm not sure it belongs in a Bolognese.
t-e_xTbAydE,167340,169260,- You won't even know it's ground chicken.
