vid,start,end,text
thkjVxaw3rg,110,15759,[Music]
thkjVxaw3rg,15759,56719,why is that  [Music]
thkjVxaw3rg,56719,64000,many people have the experience that  when they speak people don't listen to  them  [Music]
thkjVxaw3rg,64000,72000,we don't have to follow the domes and  ours  [Music]
thkjVxaw3rg,72000,75880,yet many people have the experience
thkjVxaw3rg,112240,116719,at  ours can be very powerful
thkjVxaw3rg,118240,124759,and yet many people have the experience  that when they speak people don't listen  to them
thkjVxaw3rg,139599,147280,why is that  [Music]
thkjVxaw3rg,147280,154900,why is that  [Music]
thkjVxaw3rg,155040,161650,why is that  we don't have to feel it  and ours
thkjVxaw3rg,161650,170349,[Music]
thkjVxaw3rg,170560,173959,why is that
thkjVxaw3rg,196640,199800,the experience
thkjVxaw3rg,230959,233959,so
thkjVxaw3rg,243130,249680,[Applause]
thkjVxaw3rg,249680,279680,[Music]
thkjVxaw3rg,279680,283080,you don't want to
thkjVxaw3rg,290220,313899,[Music]
thkjVxaw3rg,328240,361370,so  [Music]
thkjVxaw3rg,363320,367300,[Applause]  [Music]
thkjVxaw3rg,373600,376720,[Music]
thkjVxaw3rg,384960,450800,so  [Music]
thkjVxaw3rg,450800,453800,down
thkjVxaw3rg,492879,496360,what's up
thkjVxaw3rg,508319,511319,welcome
thkjVxaw3rg,516039,520779,[Music]  [Applause]
thkjVxaw3rg,523839,540100,what is love  [Music]
thkjVxaw3rg,547040,551800,what is love  baby
thkjVxaw3rg,554180,557360,[Music]
thkjVxaw3rg,562030,572370,[Music]
thkjVxaw3rg,574380,577539,[Music]
thkjVxaw3rg,579760,585058,baby don't hurt me  [Music]
thkjVxaw3rg,587000,590100,[Applause]
thkjVxaw3rg,601279,604760,what is that
thkjVxaw3rg,616800,619839,what is
thkjVxaw3rg,677519,681480,three two three
thkjVxaw3rg,686450,693440,[Music]
thkjVxaw3rg,693440,697399,dancing on the floor
thkjVxaw3rg,709440,712440,oh
thkjVxaw3rg,724880,727880,oh
thkjVxaw3rg,731680,734680,dirty
thkjVxaw3rg,748860,755040,[Music]
thkjVxaw3rg,755040,759320,still dancing on the floor
thkjVxaw3rg,786000,790279,still dancing on the floor
