vid,start,end,text
uMMQbcisins,0,1640,- What am I ever gonna need this?
uMMQbcisins,1640,3300,"I'm looking at your screenshot,"
uMMQbcisins,3300,5230,"and I think the answer is never,"
uMMQbcisins,5230,7550,you are never gonna need this.
uMMQbcisins,7550,10210,"I'm professor Moon Duchin, mathematician."
uMMQbcisins,10210,13080,"Today, I'm here to answer any and all math questions"
uMMQbcisins,13080,14120,on Twitter.
uMMQbcisins,14120,15842,"This is ""Math Support""."
uMMQbcisins,15842,18509,[upbeat music]
uMMQbcisins,20330,24490,"At RecordsFrisson says, ""What is an algorithm?"
uMMQbcisins,24490,25910,"Keep hearing this word."""
uMMQbcisins,25910,26743,Hmm.
uMMQbcisins,26743,29430,"The way you spelled algorithm, like it has rhythm in it."
uMMQbcisins,29430,30263,I like it.
uMMQbcisins,30263,31213,I'm gonna keep it.
uMMQbcisins,31213,32099,"A mathematician,"
uMMQbcisins,32099,35719,"what we mean by algorithm is just any clear set of rules,"
uMMQbcisins,35720,37150,a procedure for doing something.
uMMQbcisins,37150,40380,The word comes from 9th century Baghdad
uMMQbcisins,40380,43650,"where Al-Khwarizmi, his name became algorithm,"
uMMQbcisins,43650,45670,but he also gave us the word that became algebra.
uMMQbcisins,45670,47739,He was just interested in building up the science
uMMQbcisins,47740,50350,of manipulating what we would think of as equations.
uMMQbcisins,50350,52460,"Usually, when people say algorithm,"
uMMQbcisins,52460,55180,"they mean something more computery, right?"
uMMQbcisins,55180,58440,"So usually, when we have a computer program,"
uMMQbcisins,58440,61280,we think of the underlying set of instructions
uMMQbcisins,61280,62180,"as an algorithm,"
uMMQbcisins,62180,64790,given some inputs it's gonna tell you kind of
uMMQbcisins,64790,66140,how to make a decision.
uMMQbcisins,66140,68210,If an algorithm is just like a precise procedure
uMMQbcisins,68210,69360,"for doing something,"
uMMQbcisins,69360,72560,then an example is a procedure that's so precise
uMMQbcisins,72560,73600,that a computer can do it.
uMMQbcisins,73600,76387,"At llamalord1091 asks,"
uMMQbcisins,76387,80170,"""How the fuck did the Mayans develop the concept of zero?"""
uMMQbcisins,80170,82950,Everybody's got a zero in the sense that
uMMQbcisins,82950,85509,everybody's got the concept of nothing.
uMMQbcisins,85510,88950,The math concept of zero is kind of the idea
uMMQbcisins,88950,90579,that nothing is a number.
