vid,start,end,text
uluU5n0mJHE,5770,8870,[Music]
uluU5n0mJHE,13040,16200,[Music]
uluU5n0mJHE,42000,45000,foreign
uluU5n0mJHE,56399,59399,foreign
uluU5n0mJHE,168000,171000,foreign
uluU5n0mJHE,176210,179300,[Music]
uluU5n0mJHE,206480,209480,foreign
uluU5n0mJHE,219040,221580,okay
uluU5n0mJHE,221580,224729,[Music]
uluU5n0mJHE,229900,233719,[Music]
uluU5n0mJHE,252720,255720,foreign
uluU5n0mJHE,292970,296039,[Music]
uluU5n0mJHE,319420,322489,[Applause]
uluU5n0mJHE,339800,342919,[Applause]
uluU5n0mJHE,361120,363430,by
uluU5n0mJHE,363430,366578,[Music]
uluU5n0mJHE,420319,423319,foreign
uluU5n0mJHE,457120,460120,be
uluU5n0mJHE,582880,585880,foreign
uluU5n0mJHE,611260,614370,[Applause]
uluU5n0mJHE,625600,628600,foreign
uluU5n0mJHE,661270,664419,[Music]
uluU5n0mJHE,669590,679769,[Music]
uluU5n0mJHE,682430,685550,[Applause]
uluU5n0mJHE,691850,695600,[Music]
uluU5n0mJHE,698880,701880,foreign
uluU5n0mJHE,712800,716058,[Music]
uluU5n0mJHE,725519,728519,um
uluU5n0mJHE,756240,759240,um
uluU5n0mJHE,770240,773240,foreign
uluU5n0mJHE,797440,800440,foreign
uluU5n0mJHE,808240,811240,uh
uluU5n0mJHE,866399,869399,foreign
uluU5n0mJHE,878030,881130,[Applause]
uluU5n0mJHE,882079,885079,um
uluU5n0mJHE,907760,911079,thank you
uluU5n0mJHE,985120,986820,um
uluU5n0mJHE,986820,990179,[Music]
uluU5n0mJHE,1004290,1007040,[Music]
uluU5n0mJHE,1007040,1010040,um
uluU5n0mJHE,1013380,1019809,[Music]
