vid,start,end,text
uzmzGTqR83E,80,1839,today i'm going undercover in mccreamy's
uzmzGTqR83E,1839,3280,fashion show and i'm going to try to win
uzmzGTqR83E,3280,4960,this without him figuring out who i am
uzmzGTqR83E,4960,6640,all right welcome everyone to the
uzmzGTqR83E,6640,9440,greatest fashion show of all time we
uzmzGTqR83E,9440,11759,have a special guest in our mets i'm
uzmzGTqR83E,11759,14880,going undercover guys round number one
uzmzGTqR83E,14880,17359,you guys have 30 seconds to put on the
uzmzGTqR83E,17359,20400,thickest skins you have in your locker
uzmzGTqR83E,20400,23199,huge they have to be huge and i want to
uzmzGTqR83E,23199,25439,see some juicy boys if i see anything
uzmzGTqR83E,25439,28400,that isn't thick you're gone five
uzmzGTqR83E,28400,29439,four
uzmzGTqR83E,29439,30640,three
uzmzGTqR83E,30640,31760,two
uzmzGTqR83E,31760,33280,one
uzmzGTqR83E,33280,36559,exit the lockers all right come on chad
uzmzGTqR83E,36559,39120,i am that thick oh
uzmzGTqR83E,39120,40960,i think you you may have failed the
uzmzGTqR83E,40960,43280,assignment looking what is that skin oh
uzmzGTqR83E,43280,44719,my
uzmzGTqR83E,44719,48320,my eyes oh we've got spiderman i mean
uzmzGTqR83E,48320,50559,like he's he is kind of caked up and
uzmzGTqR83E,50559,53120,that is a thick pickaxe your pickaxe may
uzmzGTqR83E,53120,54640,have just saved you there spiderman i
uzmzGTqR83E,54640,56719,won't lie we've got the obvious side
uzmzGTqR83E,56719,59199,choice here we've got calamity
uzmzGTqR83E,59199,60879,we're gonna have to you you're not thick
uzmzGTqR83E,60879,63280,enough calamity dang
uzmzGTqR83E,63280,64960,thick enough
uzmzGTqR83E,64960,66159,we're gonna have to take you out i'm
uzmzGTqR83E,66159,69040,sorry we've got a peely yeah that's good
uzmzGTqR83E,69040,70320,that's good hey what are you doing in
uzmzGTqR83E,70320,72400,front of my booth go to your own booth
uzmzGTqR83E,72400,73680,this person's gonna get killed running
uzmzGTqR83E,73680,74640,that skin
uzmzGTqR83E,74640,77200,like i mean if i'm comparing this
uzmzGTqR83E,77200,79840,to this you know the choice i have to go
uzmzGTqR83E,79840,81280,with
uzmzGTqR83E,81280,82560,i'm not sure if i can agree with that
uzmzGTqR83E,82560,85360,one so we may have to just uh
uzmzGTqR83E,85360,86720,eliminate you
uzmzGTqR83E,86720,88720,and someone's in get out of the locker
uzmzGTqR83E,88720,91280,now i saw what skin you ran in with if
uzmzGTqR83E,91280,92720,you don't come out with the thickest
uzmzGTqR83E,92720,96720,skin in five seconds you're done five
uzmzGTqR83E,96720,97840,four
uzmzGTqR83E,97840,99119,three
uzmzGTqR83E,99119,100400,two
uzmzGTqR83E,100400,101520,one
uzmzGTqR83E,101520,102799,oh okay
uzmzGTqR83E,102799,104960,what have you
uzmzGTqR83E,104960,106960,sorry i like what i'm seeing here i like
uzmzGTqR83E,106960,109439,what i'm seeing here all right got in
uzmzGTqR83E,109439,111759,our circles oh the pickaxe is kind of
uzmzGTqR83E,111759,114079,carrying we have seen thicker but it's
uzmzGTqR83E,114079,117200,not bad once again that's a
uzmzGTqR83E,117200,118399,not bad
uzmzGTqR83E,118399,120960,i i think i was an easy person oh my you
uzmzGTqR83E,120960,123840,really i mean it's the perfect emote
uzmzGTqR83E,123840,126000,i may just need to let it slide just
uzmzGTqR83E,126000,128560,this once and i think that may be the
uzmzGTqR83E,128560,131840,end of round two alright so for round
uzmzGTqR83E,131840,133760,number three i want to do something
uzmzGTqR83E,133760,135599,different and i want to see you guys
uzmzGTqR83E,135599,138640,create your own super villain so i want
uzmzGTqR83E,138640,141360,to see a bad guy but in fortnight
uzmzGTqR83E,141360,144400,we can't use any any already made
uzmzGTqR83E,144400,145840,super villains i don't want to see no
uzmzGTqR83E,145840,147599,jokers or anything like that i want you
uzmzGTqR83E,147599,149920,to come up with your very own super
uzmzGTqR83E,149920,151920,villain i want to see some creativity
uzmzGTqR83E,151920,153840,here five
uzmzGTqR83E,153840,155280,four
uzmzGTqR83E,155280,156720,three
uzmzGTqR83E,156720,158080,two
uzmzGTqR83E,158080,158879,one
uzmzGTqR83E,158879,161599,and these are quick time is officially
uzmzGTqR83E,161599,163760,up okay i'm making my way over to this
uzmzGTqR83E,163760,166560,side nice i'm look i'm liking what i'm
uzmzGTqR83E,166560,170879,seeing we've got raven here
uzmzGTqR83E,170879,173760,what have you got for me
uzmzGTqR83E,174480,176959,okay i mean unfortunately it's raven
uzmzGTqR83E,176959,179440,isn't a super villain pretty sure oh
uzmzGTqR83E,179440,180879,okay we've gotta we've got a show right
uzmzGTqR83E,180879,184319,now i i'm not i'm not getting it
uzmzGTqR83E,184319,186800,unfortunately
uzmzGTqR83E,186800,188319,oh god that guy's doing the same emote
uzmzGTqR83E,188319,189760,as me
uzmzGTqR83E,189760,191519,you don't you look like you're gonna
uzmzGTqR83E,191519,192879,save the world you're not gonna you're
uzmzGTqR83E,192879,194720,not gonna destroy it i do respect it
uzmzGTqR83E,194720,197040,though what have we got here i like it
uzmzGTqR83E,197040,199040,because it keeps the pickaxe in place i
uzmzGTqR83E,199040,202080,do like it i do like it but i'm once
uzmzGTqR83E,202080,204239,again i don't think i'm getting super
uzmzGTqR83E,204239,207120,villain especially with that backlink
uzmzGTqR83E,207120,208799,unfortunately
uzmzGTqR83E,208799,210080,so we got some
uzmzGTqR83E,210080,213200,flames so like a phoenix okay maybe she
uzmzGTqR83E,213200,215360,just roller skates into battle this is a
uzmzGTqR83E,215360,217040,tough one this is a tough one i'm very
uzmzGTqR83E,217040,219680,stumped oh you gotta be harsh man like i
uzmzGTqR83E,219680,221840,think i have i have to be harsh i'm
uzmzGTqR83E,221840,222879,sorry
uzmzGTqR83E,222879,226480,not bad or
uzmzGTqR83E,226480,228560,i'm sorry i'm sorry it's just not it's
uzmzGTqR83E,228560,230239,renegade raider i can't get past that
uzmzGTqR83E,230239,233680,fact oh i do like it i do like it
uzmzGTqR83E,233680,235519,okay we're gonna keep moving forward
uzmzGTqR83E,235519,238799,keep moving forward i do like this
uzmzGTqR83E,238799,240480,once again giving off super villain
uzmzGTqR83E,240480,241760,vibes
uzmzGTqR83E,241760,245280,yeah baby that's what i'm talking about
uzmzGTqR83E,245280,246239,hmm
uzmzGTqR83E,246239,248319,i mean oh
uzmzGTqR83E,248319,251040,i'm so sorry i'm so sorry hey this is a
uzmzGTqR83E,251040,254640,tough round it's creative but but you
uzmzGTqR83E,254640,257120,look you look like a superhero
uzmzGTqR83E,257120,258959,i would get them too
uzmzGTqR83E,258959,261120,i'm watching from a distance
uzmzGTqR83E,261120,263199,all right i'm getting them shot chat i'm
uzmzGTqR83E,263199,265199,snitching okay i think we've i think
uzmzGTqR83E,265199,267280,we've completed round three
uzmzGTqR83E,267280,269520,congratulations to everyone who survived
