vid,start,end,text
vhT-I3myPPI,30090,33190,[Music]
vhT-I3myPPI,48960,52020,[Music]
vhT-I3myPPI,103260,106329,[Music]
vhT-I3myPPI,127200,130470,nasra bookie
vhT-I3myPPI,130470,143419,[Music]
vhT-I3myPPI,146730,149500,[Music]
vhT-I3myPPI,149500,150070,[Applause]
vhT-I3myPPI,150070,166160,[Music]
vhT-I3myPPI,166160,167950,foreign
vhT-I3myPPI,167950,172719,[Music]
vhT-I3myPPI,188760,191879,[Music]
vhT-I3myPPI,202790,209889,[Music]
vhT-I3myPPI,265220,268279,[Music]
vhT-I3myPPI,301870,304939,[Music]
vhT-I3myPPI,345070,348130,[Music]
vhT-I3myPPI,358639,361430,so
vhT-I3myPPI,361430,412910,[Music]
vhT-I3myPPI,431320,434620,[Music]
vhT-I3myPPI,477110,480169,[Music]
vhT-I3myPPI,484480,487569,[Music]
vhT-I3myPPI,501500,504629,[Music]
vhT-I3myPPI,554570,557619,[Music]
vhT-I3myPPI,597900,608850,[Applause]
vhT-I3myPPI,613920,615360,but if anything
vhT-I3myPPI,615360,617440,deflects it
vhT-I3myPPI,617440,619040,yeah staying on his feet
vhT-I3myPPI,619040,620880,despite the sliding tackle
vhT-I3myPPI,620880,623920,of allah
