vid,start,end,text
vipCXMYRBlo,3040,5820,uh
vipCXMYRBlo,5820,12509,[Music]
vipCXMYRBlo,16129,45659,[Music]
vipCXMYRBlo,50399,53399,foreign
vipCXMYRBlo,54010,64080,[Music]
vipCXMYRBlo,64080,65920,my
vipCXMYRBlo,65920,73159,[Music]
vipCXMYRBlo,76400,78040,is
vipCXMYRBlo,78040,91530,[Music]
vipCXMYRBlo,94560,97560,foreign
vipCXMYRBlo,99870,122240,[Music]
vipCXMYRBlo,122240,125240,foreign
vipCXMYRBlo,128410,149840,[Music]
vipCXMYRBlo,149840,150900,foreign
vipCXMYRBlo,150900,172000,[Music]
vipCXMYRBlo,172000,174990,foreign
vipCXMYRBlo,174990,179059,[Music]
vipCXMYRBlo,181520,185200,[Laughter]
vipCXMYRBlo,185200,203280,[Music]
vipCXMYRBlo,203280,205990,[Applause]
vipCXMYRBlo,205990,215939,[Music]
vipCXMYRBlo,221280,223360,you
