vid,start,end,text
x91eztalC0c,10920,12640,"Hi, I'm Dr. Janice Wardrop."
x91eztalC0c,12840,14520,Deputy Head of School Education
x91eztalC0c,14760,18120,in the School of Management and Governance at UNSW Business School.
x91eztalC0c,18720,22000,I've been an education focused academic since 2017.
x91eztalC0c,22560,26119,And I'm the Education Focused Champion for the UNSW Business School.
x91eztalC0c,26360,29280,"In the Business School, we are constantly looking at ways"
x91eztalC0c,29280,32480,to transform our student learning experiences
x91eztalC0c,32800,35600,because we have such diverse cohorts of students
x91eztalC0c,36000,40160,that come on many different pathways to us.
x91eztalC0c,40440,43079,Whether that's straight from school as an undergraduate.
x91eztalC0c,43440,46120,"They may be, you know, working professionals"
x91eztalC0c,46120,48840,that are coming to us to do an MBA program.
x91eztalC0c,49760,52199,And so it's really important that we recognise
x91eztalC0c,52840,57160,"not only those pathways, but also where they're at on their life journey,"
x91eztalC0c,57440,61079,"what they're looking to achieve, and then that the program"
x91eztalC0c,61080,64400,they're in is going to actually support them to develop.
x91eztalC0c,64839,67479,To achieve their own goals and their own aims.
x91eztalC0c,67800,70560,The UNSW Business School expects
x91eztalC0c,70560,74720,"education focused academics to be passionate about teaching,"
x91eztalC0c,74960,77040,to be passionate about education
x91eztalC0c,77320,80520,and to be passionate about student experiences.
x91eztalC0c,81240,83720,How does this then operationalise?
x91eztalC0c,84080,86680,"It's that we are innovative in the classroom,"
x91eztalC0c,86960,92640,"that we are pursuing different ways of teaching, different ways of student learning,"
x91eztalC0c,92800,98560,"That we engage in innovations in teaching, and that it's about working"
x91eztalC0c,98560,102680,"then on strategic projects, specifically in that education"
x91eztalC0c,102720,105480,space that the faculty resource.
x91eztalC0c,106040,109280,"Things like mentoring others in the school,"
x91eztalC0c,109640,113840,taking on large program change leadership roles.
x91eztalC0c,113840,116759,All of these things that underpin
x91eztalC0c,116760,120400,the educational experience and the learning outcomes for our students.
x91eztalC0c,120720,124440,"For example, in our Bachelor of Commerce degree,"
x91eztalC0c,124640,129600,our integrated first year courses means that students are introduced from day one
x91eztalC0c,129600,133080,"to the messiness and complexity of the business world,"
x91eztalC0c,133440,136960,"rather than just being taught, you know, Accounting 101."
x91eztalC0c,137000,140680,So we've really changed that program so that students
x91eztalC0c,140680,144519,"understand that, you know, studying accounting"
x91eztalC0c,144520,150360,also means that that may have an impact on marketing in an organisation or human resources.
x91eztalC0c,150840,155840,"And so from the very first day starting that degree, students"
x91eztalC0c,155840,160000,are introduced to those relationships that they'll need to encounter
x91eztalC0c,160400,163200,when they actually then join their professional working lives.
x91eztalC0c,164120,166760,It's important that we bring authenticity to learning
x91eztalC0c,167280,171560,because we know the graduate employers are looking for much more
x91eztalC0c,171560,175560,than just really strong disciplinary expertise these days.
x91eztalC0c,176080,180240,They want students or they want graduates to arrive
x91eztalC0c,180240,183680,and hit the ground running when they employ them.
x91eztalC0c,184200,186560,So it's important that we give our students
x91eztalC0c,186920,191200,the opportunity to really build their confidence and their skills
x91eztalC0c,191640,196440,so that they arrive and can launch their careers really successfully.
x91eztalC0c,196800,200880,The student experience is enriched through these education focused roles.
x91eztalC0c,201360,205160,"By, you know, bringing diverse mindsets,"
x91eztalC0c,205160,208680,innovative teaching practices and authentic
x91eztalC0c,208680,213359,learning experiences into the classroom across all of our programs.
x91eztalC0c,213840,218080,"As an education focused academic at UNSW Business School,"
x91eztalC0c,218120,221599,it's a real privilege to be able to pursue my passion
x91eztalC0c,221640,223640,for education and student learning.
