vid,start,end,text
xFCpWQfUtfo,89,330,예
xFCpWQfUtfo,330,3570,[음악]
xFCpWQfUtfo,4000,6269,으 으
xFCpWQfUtfo,6269,12940,으 르 아 네 압니다
xFCpWQfUtfo,12940,15099,[음악]
xFCpWQfUtfo,15099,16250,re
xFCpWQfUtfo,16250,20340,[음악]
xFCpWQfUtfo,20340,23340,네
xFCpWQfUtfo,23920,25630,[음악]
xFCpWQfUtfo,25630,26350,5
xFCpWQfUtfo,26350,28380,으
xFCpWQfUtfo,30480,33630,난 0
xFCpWQfUtfo,38510,41460,we
xFCpWQfUtfo,41460,43730,be
xFCpWQfUtfo,43790,46790,too
xFCpWQfUtfo,49290,52490,[음악]
xFCpWQfUtfo,54820,59650,[음악]
xFCpWQfUtfo,64610,68310,[음악]
xFCpWQfUtfo,68870,70730,[박수]
xFCpWQfUtfo,70730,78159,[음악]
xFCpWQfUtfo,78159,80399,아 으
xFCpWQfUtfo,80399,82509,으
xFCpWQfUtfo,82509,84219,수 까지
xFCpWQfUtfo,84219,87990,빠 부탁 아 씨빨 b
xFCpWQfUtfo,89159,91440,아 으 르
xFCpWQfUtfo,91440,92880,[음악]
xFCpWQfUtfo,92880,95148,4
xFCpWQfUtfo,97710,99740,아
xFCpWQfUtfo,99890,101580,5w
xFCpWQfUtfo,101580,102920,5
xFCpWQfUtfo,102920,105130,co 5
xFCpWQfUtfo,105130,109270,[음악]
xFCpWQfUtfo,113070,114040,튜브
xFCpWQfUtfo,114040,115290,[음악]
xFCpWQfUtfo,115290,116240,와아아
xFCpWQfUtfo,116240,117300,[음악]
xFCpWQfUtfo,117300,119670,힘 힘
xFCpWQfUtfo,119670,123040,[음악]
xFCpWQfUtfo,123040,125140,oo
xFCpWQfUtfo,125140,126430,숙박
xFCpWQfUtfo,126430,127390,말이
xFCpWQfUtfo,127390,129539,응
xFCpWQfUtfo,130380,134500,[음악]
xFCpWQfUtfo,134510,136540,으
xFCpWQfUtfo,137140,141550,아 으
xFCpWQfUtfo,144610,147860,아 그저 아빠가 지 거다
xFCpWQfUtfo,147860,149770,아
