vid,start,end,text
xJIVI6rqKy4,8240,11240,is
xJIVI6rqKy4,16960,18640,obviously every single fight week is
xJIVI6rqKy4,18640,20160,similar but every single day is
xJIVI6rqKy4,20160,21840,different
xJIVI6rqKy4,21840,24640,started at like 9 00 a.m
xJIVI6rqKy4,24640,26720,had about four interviews worked out
xJIVI6rqKy4,26720,28080,real quick
xJIVI6rqKy4,28080,31279,media day for like four hours
xJIVI6rqKy4,31279,33040,i love the platform that we have here i
xJIVI6rqKy4,33040,35280,love that everyone is interested in this
xJIVI6rqKy4,35280,37440,in this card
xJIVI6rqKy4,37440,39200,did some interviews with new zealand
xJIVI6rqKy4,39200,41680,australia china holland
xJIVI6rqKy4,41680,43280,worldwide reach
xJIVI6rqKy4,43280,44640,this week thus far and i can't wait to
xJIVI6rqKy4,44640,46000,go out there and put on a show for all
xJIVI6rqKy4,46000,47120,those people no matter where they're
xJIVI6rqKy4,47120,49760,watching from
xJIVI6rqKy4,52320,54320,michael's fights from the start that he
xJIVI6rqKy4,54320,56719,was in the ufc are big fights
xJIVI6rqKy4,56719,57520,he
xJIVI6rqKy4,57520,59680,started it at fight island until now it
xJIVI6rqKy4,59680,60960,was never a
xJIVI6rqKy4,60960,62160,small fight
xJIVI6rqKy4,62160,63520,tony has been
xJIVI6rqKy4,63520,65280,an all-time gamer you know he's really
xJIVI6rqKy4,65280,69040,gay i know him for a long time
xJIVI6rqKy4,69040,70799,we try to treat everybody with respect
xJIVI6rqKy4,70799,73119,you know we don't underestimate anybody
xJIVI6rqKy4,73119,74799,that can say he's old and they can say
xJIVI6rqKy4,74799,76320,he's this and that by the end of the day
xJIVI6rqKy4,76320,77520,these two guys are gonna fight each
xJIVI6rqKy4,77520,80320,other and the best man win and i hope
xJIVI6rqKy4,80320,82960,it's my student that wins
xJIVI6rqKy4,82960,85200,oh
xJIVI6rqKy4,93470,96549,[Music]
xJIVI6rqKy4,98560,101119,i'm feeling pretty good i'm looking
xJIVI6rqKy4,101119,102960,forward to like shaking it out and kind
xJIVI6rqKy4,102960,104320,of like getting a sweat going right now
xJIVI6rqKy4,104320,107439,for the for the week
xJIVI6rqKy4,110799,112000,she's looking good
xJIVI6rqKy4,112000,113280,you know we're just gonna drill some
xJIVI6rqKy4,113280,114640,details and stuff like that tonight
xJIVI6rqKy4,114640,116799,nothing crazy but she looks good she's
xJIVI6rqKy4,116799,118320,ready she's intense you know she's
xJIVI6rqKy4,118320,121680,intense person just in general
xJIVI6rqKy4,121680,123360,we make a joke she's like the mom of the
xJIVI6rqKy4,123360,124880,team because she's the oldest she's the
xJIVI6rqKy4,124880,126960,og of the team and uh people look up to
xJIVI6rqKy4,126960,128399,her i know the girls on our team do for
xJIVI6rqKy4,128399,130319,sure and then everybody does her work
xJIVI6rqKy4,130319,132239,ethic and obviously what she's
xJIVI6rqKy4,132239,133920,accomplished she's been in the top ten
xJIVI6rqKy4,133920,136879,since the division started
xJIVI6rqKy4,139599,141520,i'm super excited for carla man it's
xJIVI6rqKy4,141520,145280,been a long long time coming
xJIVI6rqKy4,145840,147680,you know i felt like she beat some of
xJIVI6rqKy4,147680,150000,the best girls in the division and she
xJIVI6rqKy4,150000,151519,didn't complain you know when she got
xJIVI6rqKy4,151519,153680,overlooked i think a couple times
xJIVI6rqKy4,153680,154879,she didn't complain just put her head
xJIVI6rqKy4,154879,156400,down and kept working and now we're here
xJIVI6rqKy4,156400,157680,you know i'm excited to see her get that
xJIVI6rqKy4,157680,160920,belt back
xJIVI6rqKy4,170800,173959,[Applause]
xJIVI6rqKy4,196959,199360,what we so we're here for right
xJIVI6rqKy4,199360,200959,rolls we're just kind of moving around
xJIVI6rqKy4,200959,202560,we did some grappling in the beginning
xJIVI6rqKy4,202560,206000,and mainly just to get a squat
xJIVI6rqKy4,207040,208720,we're starting to sweat before we cut
xJIVI6rqKy4,208720,213000,weight tomorrow is our way cut day
xJIVI6rqKy4,213760,216799,she got an ice bath
xJIVI6rqKy4,218640,221280,i know she loves the ice bath
xJIVI6rqKy4,221280,224080,and justin
xJIVI6rqKy4,225360,226879,he is so on point with weight so we got
