vid,start,end,text
yCUBtGI-rng,1001,7940,"Ryder, we have a raccoon on the run.  Marshall, we're on our way.  Skye, we need eyes over the island."
yCUBtGI-rng,8074,10276,This puppy's gotta high.
yCUBtGI-rng,14513,16015,Phew!
yCUBtGI-rng,22389,27894,"Yeah, Hurricane Harrigan [INDISCERNIBLE]  Aloha. Are you friends of Marjorie and Marshall?"
yCUBtGI-rng,28027,35168,"They need [PH] cukua, help!  [PH] Cukua is on the way.  Ryder, I have a visual on Maynard."
yCUBtGI-rng,35902,39773,"Oh no, the island's volcano is erupting."
yCUBtGI-rng,47546,50250,Yikes! Maynard's in big trouble.
yCUBtGI-rng,53686,56790,"Marshall, help me with this palm tree."
yCUBtGI-rng,60093,66666,"What are they doing?  Dude, do you really think?  Yep! They're going surfing!"
yCUBtGI-rng,69068,73973,Wow! Wow!  Hang on Marshall.
yCUBtGI-rng,74107,76209,We're going to catch some air.
yCUBtGI-rng,80146,83083,Woo-hoo!  Yea-hoo!
yCUBtGI-rng,87220,92858,If we hit that log the tree will burn up.  We need some way to jump it.  What about a kick flip?
yCUBtGI-rng,92992,100100,"I haven't done one in years, but I'll give it a whirl!  Yeah!"
yCUBtGI-rng,105538,111511,"- Yeah! - They did it!  Scott, do you still see Mayor Humdinger?  Roger that."
yCUBtGI-rng,111644,118684,I can see his shiny metal pants.  Metal? That gives me an idea.  Rubble I need you and your electromagnets
yCUBtGI-rng,118818,123723,to stop a runaway mayor.  Rubble on the double.  We'll meet you at the top of the mountain.
yCUBtGI-rng,123856,125225,"Come on, Chase."
yCUBtGI-rng,129895,133333,"Ryder, Mayor Humdinger  is headed straight for a cliff."
yCUBtGI-rng,135100,139706,No problem.  Help me!
yCUBtGI-rng,143342,148181,This is going to be close.  Help!
yCUBtGI-rng,150650,152618,No!
yCUBtGI-rng,156889,162694,"Help! I'm falling. Help!  Open your eyes, Mayor, I got you."
yCUBtGI-rng,162828,167300,Huh?  Oh get me out of these things!
yCUBtGI-rng,167900,173540,"Uh oh...  Ahh!  Are you okay, Mayor Humdinger?"
yCUBtGI-rng,174340,180180,Yes.  Thanks for saving me from those horrible auto pants.  No problem.
yCUBtGI-rng,180313,185717,"Whenever your pants are out of control,  just yelp for help.  Ryder, there is one more thing."
yCUBtGI-rng,185851,188221,Can I get a lift back to the race?
yCUBtGI-rng,191790,198264,"I didn't get to finish my race, so I am back to win it.  Excuse me, Mayor Humdinger, but you tried to cheat."
yCUBtGI-rng,198397,204603,But I have learned my lesson  and I promise no cheating auto pants.  All right then.
yCUBtGI-rng,204737,209742,We have one contestant left.  Ha! That trophy is as good as mine.
yCUBtGI-rng,209876,213913,"Okay, on your marks, get set, go!"
yCUBtGI-rng,218150,223422,Ow!  Miss Marjorie!
yCUBtGI-rng,223556,229662,"Miss Marjorie,  you finished the course faster than anyone else."
yCUBtGI-rng,229962,232298,Congratulations.
yCUBtGI-rng,235701,241207,"Oh no! Little beaver, look out!  Welcome aboard!"
yCUBtGI-rng,241340,244476,"Little chompy, meet big chompy."
yCUBtGI-rng,249181,250883,"Ruff, extended!"
yCUBtGI-rng,254320,259557,"Mr Porter, are you okay in there?  I'm fine, but it kind of cramped"
yCUBtGI-rng,259691,265430,"with Daring Danny in here, too.  That's Daring Danny X, and a baby beaver."
yCUBtGI-rng,265564,269968,"Wow. Sounds crowded.  But don't worry, we'll get you all out."
yCUBtGI-rng,270736,276509,"Chase, that looks like a good spot.  Perfect! Ruff! Net!"
yCUBtGI-rng,284350,287053,Uh oh. Everybody look out!
yCUBtGI-rng,292291,297729,"Now I've seen everything.  Here, these will taste way better than me."
yCUBtGI-rng,304303,307540,Mmm! You're right.  You do build up an appetite in here.
yCUBtGI-rng,310376,312578,"Oh no, Miss Marjorie."
yCUBtGI-rng,316649,323755,"Miss Marjorie's going to slip on that banana peel.  We can't get to her in time.  We can't, but they can."
yCUBtGI-rng,323889,330797,Ruff! Megaphone!  Daring Danny X!  Gobble up Miss Marjorie!
yCUBtGI-rng,332397,336436,What!?  Do it! She'll wipe out if we don't help her.
yCUBtGI-rng,340072,341507,Apple?
yCUBtGI-rng,346245,348613,"Hey, we're not moving."
yCUBtGI-rng,353819,357490,"Okay then, how about hammer throw?"
yCUBtGI-rng,360926,366899,Uh oh.  My tongue's stuck!  Wow!
yCUBtGI-rng,370669,377376,"That was kind of fun!  Ryder, this is a disaster.  The Paw Patrol has to fix this."
yCUBtGI-rng,377510,385317,"Wee!  I know, what if we turn  Sports Day into Snow Sports Day?"
yCUBtGI-rng,385450,390623,"What do you say, Mayor Goodway?  Let the games begin again."
yCUBtGI-rng,393125,398598,"Welcome back everyone, back to the new  improved sports day."
yCUBtGI-rng,404270,413079,"Skye shows us there are more thn one way to get past a hurdle.  And the long jump is now a long, long slide."
yCUBtGI-rng,415581,422955,Woo-hoo! All right! Go pups!  The pups are really relaying belly style.
yCUBtGI-rng,423555,429261,"The baton!  And for our surprise main event, Rubble and Everest"
yCUBtGI-rng,429395,431897,are tearing up the half pipe!
yCUBtGI-rng,441406,445945,A triple double flip?  I gotta try that.
yCUBtGI-rng,446412,452184,We'll move Everest. You rule!  Sports day is the best time ever.
yCUBtGI-rng,452318,457289,"You pups rule!  Actually, Daring Danny X rules."
yCUBtGI-rng,457723,463129,Daring Danny rides again!  Wow!
yCUBtGI-rng,468634,473206,"Sounds like somebody is out there.  I got a signal that, but how?"
yCUBtGI-rng,474073,480780,"I know.  Preparing to raise the pup [PH] tag,  Ruff, ruff! Aqua drone!"
yCUBtGI-rng,488754,496929,"There it is! Awesome job, Zuma.  Hold on, my super sonar's picking up a sound"
yCUBtGI-rng,498530,501567,from the castle wall?
yCUBtGI-rng,504569,510709,"Go ahead, Zuma.  I think someone is sending a signal  from the casual basement.  You think it might be Chase?"
yCUBtGI-rng,510843,517015,"We'd better check it out.  Rocky, you and Marshall come with me.  Skye, Zuma and Rubble, head back"
yCUBtGI-rng,517149,522220,to the Mission Cruiser and wait to hear from us.  [dogs barking]
yCUBtGI-rng,525223,531130,"Rocky, use your radar scanner to see who's making that noise.  Ruff! Radar scanner!"
yCUBtGI-rng,539137,544009,It's Chase!  He's right on the other side of that wall.  How do we get him out?
yCUBtGI-rng,544142,549649,"I have an idea.  Rubble, we found Chase.  We need your mini miner."
yCUBtGI-rng,549982,552718,Rubble on the double!
yCUBtGI-rng,558824,564329,"Don't worry, Chase.  Rubble's on the case.  I just hope someone hears me."
yCUBtGI-rng,572738,579011,Wow!  Woo-hoo!  Chase!  You're safe.
yCUBtGI-rng,579644,581279,Chase!
yCUBtGI-rng,584683,586018,All set.
yCUBtGI-rng,593191,599898,"Hang on, Mayor!  This pup's gotta fly!"
yCUBtGI-rng,600332,606238,"Thanks, Skye!  Hi, Mayor Goodway.  Oh Ryder, thank you.  Okay, pups."
yCUBtGI-rng,606372,608374,We're coming in for a landing at the soccer field.
yCUBtGI-rng,613745,619151,"Grab a rope and pull.  Ruff, ruff!  Ruff, ruff!"
