vid,start,end,text
yiFm2-nKGqI,730,3600,[Music]
yiFm2-nKGqI,3600,7759,good morning guys and welcome back
yiFm2-nKGqI,12000,16040,the answer yes
yiFm2-nKGqI,16250,18400,[Music]
yiFm2-nKGqI,18400,21119,so today we're doing another daily vlog
yiFm2-nKGqI,21119,24800,you guys know the drill by now
yiFm2-nKGqI,24800,28199,i'm gonna shower
yiFm2-nKGqI,32000,34079,hey guys per usual we're doing another
yiFm2-nKGqI,34079,37440,vlog i hope you guys are excited
yiFm2-nKGqI,37440,38879,or not i don't know i'm going to give
yiFm2-nKGqI,38879,41440,you guys the little rundown something i
yiFm2-nKGqI,41440,43840,like to do is i'll go into the notes app
yiFm2-nKGqI,43840,46239,on my phone and then rank my to-do list
yiFm2-nKGqI,46239,48399,in order so i usually have like around
yiFm2-nKGqI,48399,50640,10 to 15 things to do that day and then
yiFm2-nKGqI,50640,52640,i just delete them once everyone is done
yiFm2-nKGqI,52640,55280,and it's really satisfying that way
yiFm2-nKGqI,55280,58160,anyways so this is the list for today
yiFm2-nKGqI,58160,61199,also do you guys like my shirt
yiFm2-nKGqI,61199,63680,rest in peace brangelina honestly
yiFm2-nKGqI,63680,66080,like it does affect me to this day so my
yiFm2-nKGqI,66080,68640,schedule for today is i have to deposit
yiFm2-nKGqI,68640,70560,a check and then i have to mail forms to
yiFm2-nKGqI,70560,72240,my investors then i have a doctor
yiFm2-nKGqI,72240,73920,appointment where i have to get my blood
yiFm2-nKGqI,73920,75759,drawn it gets better though because then
yiFm2-nKGqI,75759,78240,i have to go to sephora after sephora i
yiFm2-nKGqI,78240,80799,have a study room that i booked at my
yiFm2-nKGqI,80799,82400,school so i can
yiFm2-nKGqI,82400,84880,do a lot of homework that i absolutely
yiFm2-nKGqI,84880,86640,need to do today and then tonight i have
yiFm2-nKGqI,86640,89280,a little dance thing with my sorority
yiFm2-nKGqI,89280,90720,yeah so that's kind of my list for today
yiFm2-nKGqI,90720,93360,that's today's agenda i might vlog
yiFm2-nKGqI,93360,94799,tomorrow too we're gonna see because
yiFm2-nKGqI,94799,96240,tomorrow i'm getting my hair done which
yiFm2-nKGqI,96240,97920,i'm so excited for so first stop is
yiFm2-nKGqI,97920,99920,wells fargo i don't know how i feel
yiFm2-nKGqI,99920,102880,about vlogging in wells fargo actually i
yiFm2-nKGqI,102880,104880,do know how i feel and i don't want to
yiFm2-nKGqI,104880,106960,do it i feel like it's a weird place to
yiFm2-nKGqI,106960,109200,vlog i'm going to do it anyways for you
yiFm2-nKGqI,109200,111438,guys
yiFm2-nKGqI,111840,114880,um i'm here to positive check okay oh i
yiFm2-nKGqI,114880,118320,love you now thank you
