vid,start,end,text
z1I7nBwa9z4,820,14920,[Music]
z1I7nBwa9z4,14920,17490,what
z1I7nBwa9z4,17490,20630,[Applause]
z1I7nBwa9z4,28840,31840,wow
z1I7nBwa9z4,40000,42840,[Music]
z1I7nBwa9z4,42840,45840,uh
z1I7nBwa9z4,56840,59840,wow
z1I7nBwa9z4,64180,68159,[Music]
z1I7nBwa9z4,70210,80420,[Music]
z1I7nBwa9z4,84840,87840,uh
z1I7nBwa9z4,90170,92850,[Applause]
z1I7nBwa9z4,92850,94760,[Music]
z1I7nBwa9z4,94760,98670,[Applause]
z1I7nBwa9z4,98670,104130,[Music]
z1I7nBwa9z4,104130,111849,[Applause]
z1I7nBwa9z4,117000,125770,[Music]
z1I7nBwa9z4,126840,129840,uh
z1I7nBwa9z4,130289,132160,[Applause]
z1I7nBwa9z4,132160,139960,[Music]
z1I7nBwa9z4,140840,142520,oh
z1I7nBwa9z4,142520,146270,[Music]
z1I7nBwa9z4,165700,168770,[Music]
z1I7nBwa9z4,175070,182840,[Music]
z1I7nBwa9z4,182840,185840,oh
z1I7nBwa9z4,188550,192119,[Music]
z1I7nBwa9z4,196840,199840,ah
z1I7nBwa9z4,202640,205740,[Music]
z1I7nBwa9z4,208960,210840,[Music]
z1I7nBwa9z4,210840,213840,uh
z1I7nBwa9z4,215460,217280,[Applause]
z1I7nBwa9z4,217280,226090,[Music]
z1I7nBwa9z4,233920,238020,[Music]
z1I7nBwa9z4,238840,241840,oh
z1I7nBwa9z4,249690,252840,[Music]
z1I7nBwa9z4,252840,254080,uh
z1I7nBwa9z4,254080,257440,[Laughter]
z1I7nBwa9z4,257440,258450,[Music]
z1I7nBwa9z4,258450,262610,[Applause]
z1I7nBwa9z4,262700,276149,[Music]
z1I7nBwa9z4,280840,283840,ah
z1I7nBwa9z4,294840,295860,ah
z1I7nBwa9z4,295860,299620,[Applause]
z1I7nBwa9z4,299620,307048,[Music]
z1I7nBwa9z4,311610,319870,[Music]
z1I7nBwa9z4,319870,321050,[Applause]
z1I7nBwa9z4,321050,325080,[Music]
z1I7nBwa9z4,325080,328210,[Applause]
z1I7nBwa9z4,328210,349400,[Music]
z1I7nBwa9z4,350840,353160,three
z1I7nBwa9z4,353160,359830,[Music]
z1I7nBwa9z4,360720,363929,[Applause]
z1I7nBwa9z4,364840,367840,wow
z1I7nBwa9z4,369800,370380,[Music]
z1I7nBwa9z4,370380,371530,[Applause]
z1I7nBwa9z4,371530,375620,[Music]
z1I7nBwa9z4,379070,379420,[Music]
z1I7nBwa9z4,379420,385300,[Applause]
z1I7nBwa9z4,387660,406840,[Music]
z1I7nBwa9z4,406840,409440,so
z1I7nBwa9z4,409440,411520,you
