vid,start,end,text
z8o15iSOmZE,0,310,Hai
z8o15iSOmZE,310,15470,[Musik]
z8o15iSOmZE,15470,18529,seandainya kubisa
z8o15iSOmZE,18529,22160,ingin Kupetik Bintang
z8o15iSOmZE,22160,26779,untukmu aku persembahkan
z8o15iSOmZE,29119,31650,namun kau manusia
z8o15iSOmZE,31650,32960,[Musik]
z8o15iSOmZE,32960,35960,bukanlah Dewa
z8o15iSOmZE,35960,38930,yang kupunya Hanyalah
z8o15iSOmZE,38930,41570,Cinta
z8o15iSOmZE,41570,43610,kasih sayang
z8o15iSOmZE,43610,50610,aku hanyalah manusia biasa yang tak
z8o15iSOmZE,50610,54110,pernah lepas dari
z8o15iSOmZE,54110,55820,hilang aku
z8o15iSOmZE,55820,57739,mencoba
z8o15iSOmZE,57739,62109,merubah segalanya nya mungkin ada
z8o15iSOmZE,62109,65010,kesempatan
z8o15iSOmZE,65089,66270,[Tepuk tangan]
z8o15iSOmZE,66270,70080,Aku juga merasa
z8o15iSOmZE,70080,73890,ingin dicinta
z8o15iSOmZE,73890,78780,disanjung ibadus namanya
z8o15iSOmZE,78780,80670,[Musik]
z8o15iSOmZE,80670,84299,kalau memang ku salah
z8o15iSOmZE,84299,87690,berikan maut
z8o15iSOmZE,87690,92640,demi sumpah cinta yang pernah
z8o15iSOmZE,92640,95159,kita ucapkan
z8o15iSOmZE,95159,97050,aku
z8o15iSOmZE,97050,102810,hanyalah manusia biasa yang tak pernah
z8o15iSOmZE,102810,105509,lepas dari
z8o15iSOmZE,105509,107369,hilang aku
z8o15iSOmZE,107369,109319,mencoba
z8o15iSOmZE,109319,115229,merubah segalanya Bukit hanya
z8o15iSOmZE,115229,117869,sepahan
z8o15iSOmZE,117869,120670,pupuk ku Halo
z8o15iSOmZE,120670,123500,huhuhu
z8o15iSOmZE,123500,135819,[Musik]
z8o15iSOmZE,135819,143060,Nah aku hanyalah manusia biasa yang tak
z8o15iSOmZE,143060,146470,pernah lepas dari
z8o15iSOmZE,146470,150220,hilang ku mencoba
z8o15iSOmZE,150220,155769,merubah segalanya mungkin ada
z8o15iSOmZE,155769,157390,kesepakatan
z8o15iSOmZE,157390,164360,aku hanyalah manusia biasa yang tak
z8o15iSOmZE,164360,167860,pernah lepas dari
z8o15iSOmZE,167860,171579,hilang ku mencoba
z8o15iSOmZE,171579,177670,merubah segalanya Mungkin ada yang
z8o15iSOmZE,177670,183030,Sepatan aku Teguh
z8o15iSOmZE,184110,187169,[Musik]
