vid,start,end,text
zYjTsQNxDq8,160,5759,last time on game grumps they keep  saying speed of sound but like when has
zYjTsQNxDq8,5759,12400,he broken the sound barrier yeah  are you pro  you say anti huh this this might be one
zYjTsQNxDq8,12400,17920,of the last episodes where you speak  without noticeable brain damage my name  aaron
zYjTsQNxDq8,17920,25119,yes it is  apparently there wasn't enough uh desire  on the market for tuba based games what
zYjTsQNxDq8,25119,31119,about the playstation 3 i want to be  swole but i don't want to swole in  that's the great irony isn't it yeah do
zYjTsQNxDq8,31119,37680,you know where you store your pee tell  me all right  he may as well have farted in your face  as he passed by and to commemorate my
zYjTsQNxDq8,37680,43520,victory i will plant myself forehead  first into this wall
zYjTsQNxDq8,43520,49920,let's say i had a friend who was engaged  in a very serious game of sonic  generations right  and let's say i were to go up to that
zYjTsQNxDq8,49920,58120,friend's calves and tickle them gently  do you think he'd kiss me p do you think  you pay hey
zYjTsQNxDq8,58320,64559,we're the game grumps  hello and welcome back to game grumps  it's aaron
zYjTsQNxDq8,64559,70799,playing sonic generations  [Music]  oh god three boss gatekeys i already did
zYjTsQNxDq8,70799,76320,in that steam punky world i want to see  what this is  you can play the casino oh
zYjTsQNxDq8,76320,81840,you can play pinball here  use the flippers to i know how pinball's  playlist
zYjTsQNxDq8,81840,86880,what the  wow here we go you're playing pinball  dawg
zYjTsQNxDq8,86880,94159,oh so here's the thing i wanted to um  uh talk to you about that from  uh last time you remembered me too i had
zYjTsQNxDq8,94159,100960,forgotten and people would have been  pissed um  there's a youtube channel out there that
zYjTsQNxDq8,100960,106880,just shows videos of people who create  spy cameras out of animals
zYjTsQNxDq8,106880,112720,and  what yeah so like  spy cameras made to look like animals i
zYjTsQNxDq8,112720,118560,should say so there will be like a  badger um that looks very convincingly
zYjTsQNxDq8,118560,124479,like a badger um  maybe not a badger or an odd or  something like that um but
zYjTsQNxDq8,124479,130560,its eye is a camera and it like  infiltrates  the the little otter nests and is
zYjTsQNxDq8,130560,136160,accepted as one of their own because  they can't quite tell the difference  um and you're just not moving at all and
zYjTsQNxDq8,136160,143200,it is moving oh yeah it moves around  it's like remote controlled it's it's  pretty convincing and makes you wonder
zYjTsQNxDq8,143200,148800,what actual like governmental spy  technology there is out there  um
zYjTsQNxDq8,148800,156379,the birds aren't real  um  [Music]
zYjTsQNxDq8,158000,163280,so that that's  i don't know it's very interesting um
zYjTsQNxDq8,163280,169680,but like one i saw was a spy crab and i  was like oh aaron  everything is becoming crazy everything
zYjTsQNxDq8,169680,176959,becomes crap just like you said  since you said that i feel like i've  seen crabs everywhere yeah because
zYjTsQNxDq8,176959,183840,everything becomes crap okay yeah i  don't  i don't  this [ __ ] rules dude i love pinball
zYjTsQNxDq8,183840,189760,this is nice  this is really like putting me at ease  so yeah if anyone wants to watch those
zYjTsQNxDq8,189760,199159,videos on youtube they're pretty  interesting and you get to learn a lot  about the animal behavior  oh so the whole point of it is to like
zYjTsQNxDq8,199440,204720,yeah it's not to like spy on the animals  as in like  [ __ ] get dirt on their credit history
zYjTsQNxDq8,204720,210799,it's just  just try to learn about them yeah  badgers are notoriously bad at their
zYjTsQNxDq8,210799,216959,taxes oh god  [ __ ]  another 10 000 on wood
zYjTsQNxDq8,216959,223360,i should have known  i just don't eat wood i was thinking of  beavers i was singing beavers
zYjTsQNxDq8,223360,229840,i'm embarrassed  there we go  dude this is [ __ ] bunk whoever
zYjTsQNxDq8,229840,236560,designed this has never played a [ __ ]  pinball game before you just said a  second ago that this is wonderful and it  was relaxing yeah it's awesome but they
zYjTsQNxDq8,236560,242400,[ __ ] an integral part of pinball  mechanics up what was that there's  there's always right at the beginning
zYjTsQNxDq8,242400,248959,there's like these launch uh lights  right uh-huh see those three launch  lights i just lit up the fourth one okay
zYjTsQNxDq8,248959,255640,um yes you're supposed to be able to  cycle through them  with your paddles
zYjTsQNxDq8,256000,261759,because like if your ball  if your ball is heading for one that's  lit you're supposed to be able to like  cycle through them with your paddles so
zYjTsQNxDq8,261759,266800,that like it becomes unlit  i said but they didn't put that in this
zYjTsQNxDq8,266800,272160,aaron you're never unlit  bro i'm always 100 emoji
zYjTsQNxDq8,272160,279840,see i can't cycle through it  i should be able to and that makes you  angry yeah it pisses me right off okay
zYjTsQNxDq8,279840,286080,[ __ ] sonic can't even get pinball  [ __ ] right i think it's not a pinball  game  this is just like a fun little bonus
zYjTsQNxDq8,286080,293600,game what about sonic spinball dude  meant to bring joy to people's lives i'm  [ __ ] pissed dude
zYjTsQNxDq8,293919,301759,you remind me of like that guy there's  the museum of tolerance  uh in l.a and like there's that famous
zYjTsQNxDq8,301759,310000,thing where he he sees it and he's like  i hate that [ __ ]  [Laughter]  no that
zYjTsQNxDq8,310000,316160,so you don't tolerate the museum of  tolerance  did i do good i don't know if that's
zYjTsQNxDq8,316160,322160,good or not that was cool though yeah  yeah you sounded like you really enjoyed  yourself i love pinball
zYjTsQNxDq8,322160,329199,what the hell is going on here  oh hell yeah dude  dude this is some gamer [ __ ]
zYjTsQNxDq8,329199,334240,open the door  put the keys in open the door click  clack
