vid,start,end,text
zmgYlYw7Uwk,2240,4160,"-Nice ride, Aimes. -Thanks!"
zmgYlYw7Uwk,5160,6399,Who's this?
zmgYlYw7Uwk,7480,8680,"Maeve, that's Steve."
zmgYlYw7Uwk,9560,11520,"No, Aimee, the goat."
zmgYlYw7Uwk,16920,18880,"Otis, what's on your face?"
zmgYlYw7Uwk,18960,21490,It's a mustache. I've been growing it all summer.
zmgYlYw7Uwk,21840,24120,I forgot to tell you. I saw Maeve the other day.
zmgYlYw7Uwk,24212,26240,I don't need to know what Maeve is doing anymore.
zmgYlYw7Uwk,27480,29480,Here are the students currently attending
zmgYlYw7Uwk,29560,32480,"what has been dubbed the ""Sex School."""
zmgYlYw7Uwk,34561,36320,"Good morning, Moordale!"
zmgYlYw7Uwk,36400,38360,How is everyone feeling today?
zmgYlYw7Uwk,38440,39800,Really good!
zmgYlYw7Uwk,39880,41360,I am your new head teacher.
zmgYlYw7Uwk,42102,44200,It seems that there are some students here
zmgYlYw7Uwk,44280,47399,who get a kick out of giving us a bad name.
zmgYlYw7Uwk,48240,49680,It changes today.
zmgYlYw7Uwk,53480,54440,What?
zmgYlYw7Uwk,57920,61000,-I think I'm ready to… you know. -Really?
zmgYlYw7Uwk,61640,62960,"You're a poofter now, Groff?"
zmgYlYw7Uwk,64080,67800,There is a battle happening for the sexual health of our teenagers.
zmgYlYw7Uwk,68840,71759,I will get Moordale back on track.
zmgYlYw7Uwk,72312,73560,What is that?
zmgYlYw7Uwk,73640,74909,It's my shame sign.
zmgYlYw7Uwk,75240,77520,Sex will ruin your life.
zmgYlYw7Uwk,78280,79119,No!
zmgYlYw7Uwk,79200,81000,She can't be teaching this stuff. It's backwards.
zmgYlYw7Uwk,81080,84440,I'm not getting involved anymore. Things are easier when you don't care.
zmgYlYw7Uwk,84520,87439,I don't think you stopped caring. I think you had your heart broken.
zmgYlYw7Uwk,87520,89840,-What's he doing here? -She needed a lift.
zmgYlYw7Uwk,90202,91486,That's convenient.
zmgYlYw7Uwk,91640,94159,The quicker you and your fragile little peers
zmgYlYw7Uwk,94240,95799,"realize you're not that special,"
zmgYlYw7Uwk,96920,98080,the better.
zmgYlYw7Uwk,99160,101160,"Listen up, everyone. We're all gonna die."
zmgYlYw7Uwk,102760,103600,Sir!
zmgYlYw7Uwk,103680,105360,-Let's go! -Come on.
zmgYlYw7Uwk,105816,107800,"We live in completely different worlds, Aimee."
zmgYlYw7Uwk,107880,109799,I just want to be the old me again.
zmgYlYw7Uwk,109880,113000,"You may never be the old you, but that's okay."
zmgYlYw7Uwk,113366,114759,We can make things better.
zmgYlYw7Uwk,121400,124520,"I'm not good at talking, but I want to change."
zmgYlYw7Uwk,126720,129320,You shouldn't ever give someone the power to humiliate you.
zmgYlYw7Uwk,130039,131719,You're great just the way you are.
