vid,start,end,text
zvA7SUNj-VQ,32369,37680,[Music]
zvA7SUNj-VQ,45140,52180,[Music]
zvA7SUNj-VQ,54580,58070,[Music]
zvA7SUNj-VQ,68610,74320,[Music]  the magic chocolate collection
zvA7SUNj-VQ,78960,86400,bringing you the news from across sri  lanka and around the world  live from the news first center in
zvA7SUNj-VQ,86400,91920,colombo  good evening and welcome to the news at  10.
zvA7SUNj-VQ,91920,95078,[Music]
zvA7SUNj-VQ,96960,99960,first
zvA7SUNj-VQ,108880,116230,foreign  [Music]
zvA7SUNj-VQ,124490,132049,[Music]  news first  [Music]
zvA7SUNj-VQ,137120,142500,[Music]  i
zvA7SUNj-VQ,142500,145659,[Music]
zvA7SUNj-VQ,151400,154499,[Music]
zvA7SUNj-VQ,194560,200389,news first headlines  [Music]
zvA7SUNj-VQ,209599,215399,foreign  [Music]
zvA7SUNj-VQ,364479,367479,foreign
zvA7SUNj-VQ,497440,500610,[Music]
zvA7SUNj-VQ,767839,770839,foreign
zvA7SUNj-VQ,952560,955560,foreign
zvA7SUNj-VQ,963680,966680,foreign
zvA7SUNj-VQ,993279,996279,foreign
zvA7SUNj-VQ,1019900,1022980,[Music]
zvA7SUNj-VQ,1062880,1065880,foreign
zvA7SUNj-VQ,1120400,1123400,foreign
zvA7SUNj-VQ,1289760,1291840,foreign
zvA7SUNj-VQ,1296040,1303630,[Laughter]
zvA7SUNj-VQ,1336400,1339400,s
zvA7SUNj-VQ,1371840,1374840,foreign
zvA7SUNj-VQ,1420320,1423320,foreign
zvA7SUNj-VQ,1446000,1449049,[Music]
zvA7SUNj-VQ,1457760,1459840,foreign
zvA7SUNj-VQ,1597960,1600989,[Music]
zvA7SUNj-VQ,1649200,1652248,[Music]
zvA7SUNj-VQ,1694320,1697320,foreign
zvA7SUNj-VQ,1708559,1711559,foreign
zvA7SUNj-VQ,1718799,1721799,foreign
zvA7SUNj-VQ,1736080,1739080,foreign
zvA7SUNj-VQ,1741400,1746339,[Applause]
zvA7SUNj-VQ,1750550,1753640,[Applause]
zvA7SUNj-VQ,1793230,1796349,[Applause]
zvA7SUNj-VQ,1801919,1804919,foreign
zvA7SUNj-VQ,1820559,1823559,foreign
zvA7SUNj-VQ,1845400,1851829,[Applause]
zvA7SUNj-VQ,1890320,1893320,foreign
zvA7SUNj-VQ,1906710,1909799,[Music]
zvA7SUNj-VQ,1923200,1926299,[Applause]
zvA7SUNj-VQ,1940720,1943720,foreign
zvA7SUNj-VQ,1999600,2002600,foreign
zvA7SUNj-VQ,2022080,2025080,foreign
zvA7SUNj-VQ,2074560,2077560,foreign
zvA7SUNj-VQ,2092960,2095960,foreign
zvA7SUNj-VQ,2128160,2131160,foreign
zvA7SUNj-VQ,2139170,2142519,[Applause]
zvA7SUNj-VQ,2170000,2173000,foreign
zvA7SUNj-VQ,2265359,2268359,foreign
zvA7SUNj-VQ,2302720,2305720,foreign
zvA7SUNj-VQ,2346240,2349240,foreign
zvA7SUNj-VQ,2367839,2369920,i
zvA7SUNj-VQ,2385040,2388040,foreign
zvA7SUNj-VQ,2399920,2406669,foreign  [Music]
zvA7SUNj-VQ,2468360,2471499,[Music]
zvA7SUNj-VQ,2500400,2503400,foreign
zvA7SUNj-VQ,2535280,2537839,foreign
zvA7SUNj-VQ,2566360,2569519,[Music]
zvA7SUNj-VQ,2572270,2575329,[Applause]
zvA7SUNj-VQ,2590000,2593000,foreign
zvA7SUNj-VQ,2701520,2704520,foreign
zvA7SUNj-VQ,2730160,2733160,foreign
zvA7SUNj-VQ,2798960,2801960,foreign
zvA7SUNj-VQ,2827839,2830839,foreign
zvA7SUNj-VQ,2868380,2871439,[Music]
zvA7SUNj-VQ,2898720,2901720,is
zvA7SUNj-VQ,2911760,2914760,foreign
zvA7SUNj-VQ,2924160,2927160,foreign
zvA7SUNj-VQ,2932880,2935880,foreign
zvA7SUNj-VQ,2953040,2956040,foreign
zvA7SUNj-VQ,2968000,2971000,foreign
zvA7SUNj-VQ,2977280,2980280,foreign
zvA7SUNj-VQ,3006960,3009960,foreign
zvA7SUNj-VQ,3065520,3068520,foreign
zvA7SUNj-VQ,3106480,3109480,foreign
zvA7SUNj-VQ,3216400,3219400,foreign
zvA7SUNj-VQ,3246400,3249400,foreign
zvA7SUNj-VQ,3297200,3302470,[Laughter]
zvA7SUNj-VQ,3314559,3317559,foreign
zvA7SUNj-VQ,3331520,3334520,foreign
zvA7SUNj-VQ,3391370,3394790,[Music]
zvA7SUNj-VQ,3398480,3403160,[Music]  is
zvA7SUNj-VQ,3407690,3421530,[Music]
zvA7SUNj-VQ,3426330,3431519,[Music]
zvA7SUNj-VQ,3435040,3443610,[Music]
zvA7SUNj-VQ,3449330,3452409,[Music]
zvA7SUNj-VQ,3458400,3461400,foreign
zvA7SUNj-VQ,3463830,3467599,[Music]
zvA7SUNj-VQ,3474160,3477160,foreign
zvA7SUNj-VQ,3485510,3488579,[Music]
zvA7SUNj-VQ,3496799,3499799,foreign
zvA7SUNj-VQ,3506970,3512859,[Music]
zvA7SUNj-VQ,3524020,3527099,[Music]
zvA7SUNj-VQ,3554079,3557079,me
zvA7SUNj-VQ,3567050,3571319,[Music]  foreign
zvA7SUNj-VQ,3576160,3578240,you
