vid,start,end,text
0Oy6vN-m1mY,250,640,[Applause]
0Oy6vN-m1mY,640,3639,hmm
0Oy6vN-m1mY,5440,8629,[Applause]
0Oy6vN-m1mY,22000,24640,so
0Oy6vN-m1mY,24640,29420,[Music]
0Oy6vN-m1mY,31439,34439,um
0Oy6vN-m1mY,41650,44710,[Music]
0Oy6vN-m1mY,46910,56960,[Music]
0Oy6vN-m1mY,56960,58020,uh
0Oy6vN-m1mY,58020,73830,[Music]
0Oy6vN-m1mY,73830,85300,[Applause]
0Oy6vN-m1mY,85300,88400,[Music]
0Oy6vN-m1mY,99270,102450,[Music]
0Oy6vN-m1mY,105410,108479,[Music]
0Oy6vN-m1mY,108479,111290,okay
0Oy6vN-m1mY,111290,115510,[Music]
0Oy6vN-m1mY,118040,122079,[Music]
0Oy6vN-m1mY,128679,131808,[Music]
0Oy6vN-m1mY,138000,140730,everywhere i go bring the beatbox
0Oy6vN-m1mY,140730,143940,[Applause]
0Oy6vN-m1mY,145590,149668,[Music]
0Oy6vN-m1mY,158260,161310,[Music]
0Oy6vN-m1mY,164800,173809,[Music]
0Oy6vN-m1mY,179350,183350,[Music]
0Oy6vN-m1mY,184070,185810,[Applause]
0Oy6vN-m1mY,185810,188889,[Music]
0Oy6vN-m1mY,190900,194159,[Music]
0Oy6vN-m1mY,194159,196980,everywhere i go bring the big box
0Oy6vN-m1mY,196980,215830,[Music]
0Oy6vN-m1mY,217860,238210,[Music]
0Oy6vN-m1mY,242690,260509,[Music]
0Oy6vN-m1mY,263120,266120,doggies
0Oy6vN-m1mY,272930,276129,[Music]
0Oy6vN-m1mY,279360,282450,bring the big box
0Oy6vN-m1mY,282450,295840,[Applause]
0Oy6vN-m1mY,295840,297919,you
