vid,start,end,text
0aJm0mxTdFg,80,2480,hey as a food content creator i've been
0aJm0mxTdFg,2480,4799,so ashamed of my messy fridge i always
0aJm0mxTdFg,4799,7040,wish i had the pristine clean fridges
0aJm0mxTdFg,7040,8880,from the tiktok videos but mine has been
0aJm0mxTdFg,8880,10800,looking like this for so long so this
0aJm0mxTdFg,10800,12960,week i decided to give my messy fridge a
0aJm0mxTdFg,12960,15120,makeover to be honest with you i've been
0aJm0mxTdFg,15120,17039,generating a lot of food waste largely
0aJm0mxTdFg,17039,19039,because i was so unorganized and
0aJm0mxTdFg,19039,20640,couldn't keep track of what groceries i
0aJm0mxTdFg,20640,22640,had too much of and oftentimes i'd have
0aJm0mxTdFg,22640,24960,to throw out what went bad and i'm not
0aJm0mxTdFg,24960,26880,proud of it and i wanted to fix this
0aJm0mxTdFg,26880,29279,once and for all so i emptied out my
0aJm0mxTdFg,29279,31920,fridge took out all the shelves sanitize
0aJm0mxTdFg,31920,34399,the inside sanitize the shelves and
0aJm0mxTdFg,34399,36000,bought some containers to help me
0aJm0mxTdFg,36000,37920,compartmentalize and easily take out
0aJm0mxTdFg,37920,40239,items in the back of my fridge and in
0aJm0mxTdFg,40239,44519,the end i finally did it
0aJm0mxTdFg,44559,46800,just for comparison this is a before and
0aJm0mxTdFg,46800,49680,after and then i also installed some led
0aJm0mxTdFg,49680,51280,lights whenever i needed to film more
0aJm0mxTdFg,51280,52879,content and i was happier than when i
0aJm0mxTdFg,52879,54800,lit my christmas tree last winter follow
0aJm0mxTdFg,54800,56399,to see the final first stock video i
0aJm0mxTdFg,56399,59440,made with my new fridge
