vid,start,end,text
0wEXExVkUE0,0,2850,hoi allemaal en welkom bij je video wij
0wEXExVkUE0,2850,7520,zijn net aangekomen is meer
0wEXExVkUE0,7570,11250,wij zijn opgehaald door een gastvrije me
0wEXExVkUE0,11250,13020,hadden gewonnen die ons van dingen zijn
0wEXExVkUE0,13020,14809,ze dan
0wEXExVkUE0,14809,16430,liefdes hebben vanuit danny's naar alle
0wEXExVkUE0,16430,18270,chapter vandaag
0wEXExVkUE0,18270,20160,gecheckt in ichat er bij ons moeten naar
0wEXExVkUE0,20160,21690,terug naar binnen schreeuw van moesten
0wEXExVkUE0,21690,22580,van
0wEXExVkUE0,22580,24980,daarna naar de video
0wEXExVkUE0,24980,27349,met als jullie weten ben ik maanden
0wEXExVkUE0,27349,29240,bijna een jaar al bezig met het maken
0wEXExVkUE0,29240,31180,van het haar shampoo repair conditioner
0wEXExVkUE0,31180,33440,en
0wEXExVkUE0,33440,36440,alles wat er bij kwam kijken dit mij
0wEXExVkUE0,36440,40789,zoveel tijd en energie gekost en fijne
0wEXExVkUE0,40789,44960,lieten we nu op 95 als als 90%
0wEXExVkUE0,44960,47629,5% te gaan dan de steden already en
0wEXExVkUE0,47629,50400,hopelijk gaan we binnenkort
0wEXExVkUE0,50400,52500,in een product te lanceren
0wEXExVkUE0,52500,55580,hey en ja en relax zouden kunnen zijn we
0wEXExVkUE0,55580,58250,zijn er over een minuut dus ik ben niet
0wEXExVkUE0,58250,60680,mee hun plek spannend moest het wel
0wEXExVkUE0,60680,62360,netjes mee gaat
0wEXExVkUE0,62360,64519,dus ook geluk gewoon kledder
0wEXExVkUE0,64519,66740,en de kids ook
0wEXExVkUE0,66740,68920,het
0wEXExVkUE0,69270,71570,van
0wEXExVkUE0,72370,74880,ik heb
0wEXExVkUE0,78440,81489,[Muziek]
0wEXExVkUE0,86810,89590,weg zit ja
0wEXExVkUE0,96700,99240,spannend
0wEXExVkUE0,100360,102750,kom
0wEXExVkUE0,123720,127600,jongens we zijn aangekomen nu indonesia
0wEXExVkUE0,127600,129880,hoi wij zijn wij zijn hier bij de hoe je
0wEXExVkUE0,129880,132520,deze monnik weer van kom bij de aquaman
0wEXExVkUE0,132520,134500,in dany's leuke zijn er eindelijk naar
0wEXExVkUE0,134500,136090,drie en half uur eten zelfs langer en
0wEXExVkUE0,136090,138959,ook vier uur over gedaan
0wEXExVkUE0,139120,140650,ja maar bij geen boodschappen doen we
0wEXExVkUE0,140650,141700,genaamd micros me gaan naar de
0wEXExVkUE0,141700,143500,supermarkt monteurs hebben wij niks we
0wEXExVkUE0,143500,145720,hebben niks hebt toch alles en antje en
0wEXExVkUE0,145720,146980,zo gegeven
0wEXExVkUE0,146980,149110,oh ik was op zoek een goede nagelstudio
0wEXExVkUE0,149110,152140,in opeens kom ik nieuw one nail art
0wEXExVkUE0,152140,157500,bart tegen hier bij de aquaman
0wEXExVkUE0,157610,159230,ze hebben hier ook een h&m
0wEXExVkUE0,159230,161860,dat is ook wel interessant
0wEXExVkUE0,161890,166420,het is het mijn bruine
0wEXExVkUE0,167700,168450,het moet doen
0wEXExVkUE0,168450,170319,[Muziek]
0wEXExVkUE0,170319,172269,ik zweer het je zijn is gewoon een kind
0wEXExVkUE0,172269,175689,die heeft zoveel energie en soms is hij
0wEXExVkUE0,175689,178090,zo wilt dat ik gewoon bijna een
0wEXExVkUE0,178090,180129,hartaanval krijgen arbeids integendeel
0wEXExVkUE0,180129,183519,veel rustiger maar een jongen echt
0wEXExVkUE0,183519,186879,bekend geen gevaar
0wEXExVkUE0,186879,190000,we zijn meter of zo belandt
0wEXExVkUE0,190000,191950,nee de gamma niet kijken
0wEXExVkUE0,191950,193420,nee daar hebben we niks nodig lijkt
0wEXExVkUE0,193420,194739,beetje op sligro
0wEXExVkUE0,194739,197129,makro
0wEXExVkUE0,200829,204900,wij hebben hier geen micros ook
0wEXExVkUE0,205689,208680,jas kan je
0wEXExVkUE0,208829,211439,eenmaal nummer en dan
0wEXExVkUE0,211439,215519,noemen en wat mijn
0wEXExVkUE0,215519,221159,geloof je wat vindt jongens olie
0wEXExVkUE0,223140,226180,[Muziek]
0wEXExVkUE0,227450,229490,zodus groot
0wEXExVkUE0,229490,234050,en er zitten wel meer dan 0 dus mocht
0wEXExVkUE0,237060,239450,moest bak chips zullen wij halen
0wEXExVkUE0,239450,241340,maar op
0wEXExVkUE0,241340,244340,nee
0wEXExVkUE0,250190,255340,nee zak dat is een zakje baby
0wEXExVkUE0,255340,257130,[Muziek]
0wEXExVkUE0,257130,258060,kauwgom
0wEXExVkUE0,258060,259670,pak me
0wEXExVkUE0,259670,263010,zijn in hebben
0wEXExVkUE0,263010,264960,kroes haar
0wEXExVkUE0,264960,267350,frietjes
0wEXExVkUE0,267390,271820,ritjes dingen mee plastic rietjes voor
0wEXExVkUE0,271820,273630,hallo
0wEXExVkUE0,273630,275950,het blij ben het plesk critici
0wEXExVkUE0,275950,287220,[Muziek]
0wEXExVkUE0,287220,289490,brad
0wEXExVkUE0,291360,293810,nieuw
0wEXExVkUE0,295460,296120,goed
0wEXExVkUE0,296120,298800,[Muziek]
0wEXExVkUE0,298800,300409,niet meer
0wEXExVkUE0,300409,302649,file
0wEXExVkUE0,304080,308268,[Muziek]
0wEXExVkUE0,308630,311140,hoe cool
0wEXExVkUE0,315670,318890,oh mijn god zijn de hele hele buurt is
0wEXExVkUE0,318890,321560,nu wakker en ga lekker ontbijten
0wEXExVkUE0,321560,323330,moest is met de kids naar de bergen
0wEXExVkUE0,323330,324940,racet naar waar
0wEXExVkUE0,324940,328070,jim iets en ik heb gesnurk hey makker
0wEXExVkUE0,328070,329990,handcrème ik ben zo benieuwd naar dus
0wEXExVkUE0,329990,333910,kan ik ze terug om metingen uit
0wEXExVkUE0,334150,338000,en ik heb gehaald maar mijn kind jou of
0wEXExVkUE0,338000,338540,niet
0wEXExVkUE0,338540,342640,ga je mij opeten en hij zat
0wEXExVkUE0,342640,346220,heb ik allemaal vleuten mijn t-shirt
0wEXExVkUE0,346220,348350,nee dat klopt dat onze pokken nog moest
0wEXExVkUE0,348350,351380,gaat zo trainen en wij gaan zo mee
0wEXExVkUE0,351380,353540,richting aquaman hoe streed bij haar
0wEXExVkUE0,353540,355150,kwam al
0wEXExVkUE0,355150,357710,dat blijkt dat is voor de mensen die
0wEXExVkUE0,357710,359480,niet weten nieuwe mal in dany's me en
0wEXExVkUE0,359480,361850,daar gaan wij heen daar zijn wij alleen
