vid,start,end,text
1_r0mhnxGN0,260,2750,[Music]
1_r0mhnxGN0,6560,9559,oh
1_r0mhnxGN0,10370,13570,[Applause]
1_r0mhnxGN0,17040,27860,[Music]
1_r0mhnxGN0,28320,30080,and he's got the nicolas
1_r0mhnxGN0,30080,45840,[Music]
1_r0mhnxGN0,45840,49270,oh it is a three-pointer
1_r0mhnxGN0,49270,53359,[Music]
1_r0mhnxGN0,60160,61740,yes
1_r0mhnxGN0,61740,83819,[Music]
1_r0mhnxGN0,84240,85330,you
1_r0mhnxGN0,85330,132239,[Music]
1_r0mhnxGN0,132239,135380,lewis does a good job
1_r0mhnxGN0,135380,151289,[Music]
1_r0mhnxGN0,155720,161899,[Music]
1_r0mhnxGN0,162319,163490,foreign
1_r0mhnxGN0,163490,180639,[Music]
1_r0mhnxGN0,182000,185000,oh
1_r0mhnxGN0,186690,189759,[Applause]
1_r0mhnxGN0,208879,212440,looking to the outside
1_r0mhnxGN0,214000,217159,your way
1_r0mhnxGN0,218480,248329,[Music]
1_r0mhnxGN0,248670,251950,[Applause]
1_r0mhnxGN0,251950,265139,[Music]
1_r0mhnxGN0,265280,268280,foreign
1_r0mhnxGN0,272479,274770,i mean look at this
1_r0mhnxGN0,274770,305220,[Music]
1_r0mhnxGN0,305680,307759,you
