vid,start,end,text
2-idWgtIcnc,240,4400,[Music]
2-idWgtIcnc,4400,5680,hello friends welcome to meridian
2-idWgtIcnc,5680,7600,overseas today we have with us ms disha
2-idWgtIcnc,7600,10000,gupta from birmingham city university
2-idWgtIcnc,10000,12960,regional manager south asia and we're
2-idWgtIcnc,12960,14880,going to discuss about why you should
2-idWgtIcnc,14880,17119,study in uk why vsu and what are the
2-idWgtIcnc,17119,20640,opportunities and things like this so
2-idWgtIcnc,20640,21760,welcome
2-idWgtIcnc,21760,22960,and
2-idWgtIcnc,22960,24960,it has always been a pleasure to speak
2-idWgtIcnc,24960,26960,to you and provide information to our
2-idWgtIcnc,26960,29199,students especially uh coming from
2-idWgtIcnc,29199,30800,bright authentic
2-idWgtIcnc,30800,32480,uh university
2-idWgtIcnc,32480,34960,person so there's no miscommunication
2-idWgtIcnc,34960,36960,there is no misinformation for the
2-idWgtIcnc,36960,39600,students so i'll straightaway ask you
2-idWgtIcnc,39600,40480,the
2-idWgtIcnc,40480,42239,most important question which all the
2-idWgtIcnc,42239,44399,parents are asking me why
2-idWgtIcnc,44399,46960,a student should go abroad and study and
2-idWgtIcnc,46960,48960,not here in india
2-idWgtIcnc,48960,51600,i think the best thing that comes to my
2-idWgtIcnc,51600,54600,mind
2-idWgtIcnc,65000,68079,[Music]
2-idWgtIcnc,70479,72880,criteria is suiting you and fee
2-idWgtIcnc,72880,76400,structure is kind of flexible again
2-idWgtIcnc,76400,79920,it is very flexible right now
2-idWgtIcnc,79920,82080,because education is easy which is going
2-idWgtIcnc,82080,83360,to live with you or be with you
2-idWgtIcnc,83360,85920,throughout i have been witnessing this
2-idWgtIcnc,85920,87600,the finals part that
2-idWgtIcnc,87600,89200,indian universities are more expensive
2-idWgtIcnc,89200,91600,than uk universities sure
2-idWgtIcnc,91600,94079,i cannot name anyone but mba fees is
2-idWgtIcnc,94079,96400,around 20 likes absolutely plus
2-idWgtIcnc,96400,97920,donations
2-idWgtIcnc,97920,100640,so uh considering all of that angelic
2-idWgtIcnc,100640,102479,bacha brought jatha the kind of
2-idWgtIcnc,102479,104799,confidence that they get the kind of
2-idWgtIcnc,104799,106479,independence that comes into them the
2-idWgtIcnc,106479,108880,kind of uh you know exposure that they
2-idWgtIcnc,108880,111520,get more india
2-idWgtIcnc,111520,114560,so i think the best way to sum it up is
2-idWgtIcnc,114560,117439,why not you ask yourself a question of
2-idWgtIcnc,117439,120000,why would you not want to go abroad when
2-idWgtIcnc,120000,122159,you are given an opportunity which is so
2-idWgtIcnc,122159,124079,easily available and which is going to
2-idWgtIcnc,124079,128640,offer you so much then why not right
2-idWgtIcnc,128640,130879,so that's the reason so it's cost
2-idWgtIcnc,130879,133520,effective very nice gives you a lot of
2-idWgtIcnc,133520,135680,bigger perspective in life give you
2-idWgtIcnc,135680,137440,knowledge of culture and things like
2-idWgtIcnc,137440,140000,that i can go on because i have studied
2-idWgtIcnc,140000,142959,there haven't studied there we have
2-idWgtIcnc,142959,144959,mama has been with birmingham city
2-idWgtIcnc,144959,148400,university for uh so long now and we can
2-idWgtIcnc,148400,150400,see the difference every day students
2-idWgtIcnc,150400,152400,are struggling here because they do not
2-idWgtIcnc,152400,154560,have that kind of exposure in their life
2-idWgtIcnc,154560,155680,and
2-idWgtIcnc,155680,157040,they have the talent they have
2-idWgtIcnc,157040,158959,everything but they do not know how to
2-idWgtIcnc,158959,160959,place it at the right direction right
2-idWgtIcnc,160959,163519,and i think that comes by studying
2-idWgtIcnc,163519,166000,abroad absolutely i always give the
2-idWgtIcnc,166000,167840,example that if you come from a small
2-idWgtIcnc,167840,169920,town here and if you go to mumbai or
2-idWgtIcnc,169920,172080,delhi you are a different person within
2-idWgtIcnc,172080,174080,a year so imagine if you go to a
2-idWgtIcnc,174080,175599,different country you will be
2-idWgtIcnc,175599,178080,transformed like anything absolutely
2-idWgtIcnc,178080,179120,so
2-idWgtIcnc,179120,181599,when we are thinking of studying abroad
2-idWgtIcnc,181599,184159,especially in uk
2-idWgtIcnc,184159,186319,there's a university birmingham city
2-idWgtIcnc,186319,188319,university so you are representing that
2-idWgtIcnc,188319,189200,right
2-idWgtIcnc,189200,189920,uh
2-idWgtIcnc,189920,191200,do you what do you want to say to
2-idWgtIcnc,191200,192720,students why they should select
2-idWgtIcnc,192720,194720,birmingham city university and how does
2-idWgtIcnc,194720,196560,it help in terms of
2-idWgtIcnc,196560,198400,fees culture
2-idWgtIcnc,198400,200560,how do the students grow there
2-idWgtIcnc,200560,201599,what does
2-idWgtIcnc,201599,203360,this university brings which is
2-idWgtIcnc,203360,205920,different from any other university
2-idWgtIcnc,205920,208879,to begin with i will say first thing
2-idWgtIcnc,208879,210720,very important is the location
2-idWgtIcnc,210720,213200,birmingham a very very diverse and
2-idWgtIcnc,213200,215440,multical multicultural city
2-idWgtIcnc,215440,219280,students get an experience of being and
2-idWgtIcnc,219280,222080,exploring the uk culture while being in
2-idWgtIcnc,222080,224879,the second largest city of uk which is
2-idWgtIcnc,224879,227360,extremely student friendly and pocket
2-idWgtIcnc,227360,228959,friendly in the same language at the
2-idWgtIcnc,228959,232799,same time because it is a city which you
2-idWgtIcnc,232799,234560,can actually say is built keeping
2-idWgtIcnc,234560,236319,students in mind everything is very
2-idWgtIcnc,236319,239760,easily available out there
2-idWgtIcnc,251280,254400,will cost him around 50 60 pounds easily
2-idWgtIcnc,254400,255680,yeah it's
2-idWgtIcnc,255680,257600,same lunch same quality of food same
2-idWgtIcnc,257600,259120,number of friends in birmingham it's not
2-idWgtIcnc,259120,261280,going to cost you more than 30 pounds so
2-idWgtIcnc,261280,263040,that's the difference in uh you know
2-idWgtIcnc,263040,265120,expenditure when we talk about so in
2-idWgtIcnc,265120,266960,those manners birmingham is an amazing
2-idWgtIcnc,266960,269919,city i'll add one thing here i was just
2-idWgtIcnc,269919,271520,checking the student competition couple
