vid,start,end,text
22lBZpuyZxA,20000,21699,Allo allo
22lBZpuyZxA,21773,24000,allo my life where you at
22lBZpuyZxA,24000,26452,allo my youth where are you
22lBZpuyZxA,26452,29332,allo my precious
22lBZpuyZxA,29592,31584,Allo allo
22lBZpuyZxA,31584,33787,give my best to my love
22lBZpuyZxA,33787,36383,living between strangers
22lBZpuyZxA,36383,39238,don’t know where to go
22lBZpuyZxA,39461,41362,Allo allo
22lBZpuyZxA,41362,43781,allo my life where you at
22lBZpuyZxA,43782,46174,allo my youth where are you
22lBZpuyZxA,46174,48974,allo my precious
22lBZpuyZxA,49290,51218,Allo allo
22lBZpuyZxA,51218,53454,give my best to my love
22lBZpuyZxA,53455,55929,living between strangers
22lBZpuyZxA,55929,58760,don’t know where to go
22lBZpuyZxA,59161,61050,allo my darling
22lBZpuyZxA,61050,63232, I know I’ve been gone for so long
22lBZpuyZxA,63278,65653,life messed with my grey hair
22lBZpuyZxA,65653,68158,one grey hair turned into so many grey hairs
22lBZpuyZxA,68883,70578,they didn’t appreciate my kindness
22lBZpuyZxA,70578,73082,people praying on my downfall
22lBZpuyZxA,73082,75551,and the rabbit turned out to be my wolf
22lBZpuyZxA,75551,77753,and we went through disappointments
22lBZpuyZxA,78777,80396,Allo my darling
22lBZpuyZxA,80396,82884,what made young people flee the country
22lBZpuyZxA,82884,85312,drowning in the sea
22lBZpuyZxA,85312,87542,between the long waves
22lBZpuyZxA,88481,90397,and a wild pigeon
22lBZpuyZxA,90397,97123,lost and feeling home sick
22lBZpuyZxA,98334,100186,Allo allo
22lBZpuyZxA,100186,102590,allo my life where you at
22lBZpuyZxA,102590,104760,allo my youth where are you
22lBZpuyZxA,104947,107580,allo my precious
22lBZpuyZxA,108000,109925,Allo allo
22lBZpuyZxA,109925,112309,give my best to my love
22lBZpuyZxA,112309,114768,living between strangers
22lBZpuyZxA,114768,117722,don’t know where to go
22lBZpuyZxA,137547,139295,Allo our youth
22lBZpuyZxA,139296,141619,left because of hopelessness
22lBZpuyZxA,141619,144034,can’t tell a friend 
22lBZpuyZxA,144034,146828,from an enemy
22lBZpuyZxA,146884,149061,we loved our country
22lBZpuyZxA,149061,151519, it didn’t love us back
22lBZpuyZxA,151519,156157,humanity is not appreciated
22lBZpuyZxA,157160,158816,Allo my darling
22lBZpuyZxA,158816,161321,home is far away
22lBZpuyZxA,161432,163723,lost in my thoughts
22lBZpuyZxA,163723,166000,from a place to another
22lBZpuyZxA,166892,168455,finding a new life
22lBZpuyZxA,168660,171019,things will get better
22lBZpuyZxA,171019,173311,it’s a matter of time until I’m back
22lBZpuyZxA,173450,175680,to planting flowers and a blooming field
22lBZpuyZxA,176719,178319,Allo allo
22lBZpuyZxA,178319,180790,allo my life where you at
22lBZpuyZxA,180790,183241,allo my youth where are you
22lBZpuyZxA,183242,186098,allo my precious
22lBZpuyZxA,186472,188305,Allo allo
22lBZpuyZxA,188305,190575,give my best to my love
22lBZpuyZxA,190575,193041,living between strangers
22lBZpuyZxA,193041,195955,don’t know where to go
22lBZpuyZxA,196304,198072,Allo allo
22lBZpuyZxA,198072,200411,allo my life where you at
22lBZpuyZxA,200411,202862,allo my youth where are you
22lBZpuyZxA,202862,205477,allo my precious
22lBZpuyZxA,206078,207957,Allo allo
22lBZpuyZxA,207957,210148,give my best to my love
22lBZpuyZxA,210148,212646,living between strangers
22lBZpuyZxA,212646,215485,don’t know where to go
