vid,start,end,text
2dbupGVu0As,80,2800,when you open up one of these oreos
2dbupGVu0As,2800,4960,they're so thin like i know that there
2dbupGVu0As,4960,7839,are oreo thins but like these guys it's
2dbupGVu0As,7839,9599,like i'm eating a chocolate wafer and
2dbupGVu0As,9599,12240,there's maybe a fraction of cream in
2dbupGVu0As,12240,13679,there and then i open up double stuff
2dbupGVu0As,13679,16240,and i'm like oh look at that thick layer
2dbupGVu0As,16240,18640,of cream in there i want that thickness
2dbupGVu0As,18640,21199,inside my
2dbupGVu0As,22080,23039,nope
2dbupGVu0As,23039,24480,don't say that
2dbupGVu0As,24480,26640,i should not have said that
2dbupGVu0As,26640,28800,that was a mistake mistakes were made
2dbupGVu0As,28800,33079,friends lots of mistakes were made
2dbupGVu0As,36450,42129,[Music]
2dbupGVu0As,44079,46640,hello internet welcome to food theory
2dbupGVu0As,46640,49360,where today is a delicious day because
2dbupGVu0As,49360,52079,we've got a lot of oreos set to test uh
2dbupGVu0As,52079,54239,you'll see around me we have oreos of
2dbupGVu0As,54239,56160,all different shapes and sizes we've got
2dbupGVu0As,56160,59199,everything from your oreo minis to your
2dbupGVu0As,59199,62239,thin boy oreos all the way
2dbupGVu0As,62239,65439,to your thick boy oreos and your thicker
2dbupGVu0As,65439,66960,boy oreos
2dbupGVu0As,66960,68880,all in an effort to see
2dbupGVu0As,68880,72320,is a double stuff oreo truly double the
2dbupGVu0As,72320,74960,stuff as your basic one to me there is
2dbupGVu0As,74960,76799,absolutely no way
2dbupGVu0As,76799,79600,that this is twice
2dbupGVu0As,79600,82080,this no way and so i'm determined to
2dbupGVu0As,82080,83759,prove it and then from there we're also
2dbupGVu0As,83759,85759,exploring different types of oreos how
2dbupGVu0As,85759,88080,do oreo minis factor in how do oreo
2dbupGVu0As,88080,90880,thins factor in what about golden oreos
2dbupGVu0As,90880,93119,these guys are kind of also rams of the
2dbupGVu0As,93119,95680,oreo family are they any different i
2dbupGVu0As,95680,97920,threw in some mints just because the
2dbupGVu0As,97920,99439,minty oreos
2dbupGVu0As,99439,100799,it's not so much whether i'm curious
2dbupGVu0As,100799,102000,about how much stuffing is inside i just
2dbupGVu0As,102000,103600,wanted an excuse to buy these because
2dbupGVu0As,103600,104799,when you're talking about alternative
2dbupGVu0As,104799,106320,oreo flavors these are the best and then
2dbupGVu0As,106320,107759,lastly of course we're getting to the
2dbupGVu0As,107759,110479,big boys the mega stuffs and the more
2dbupGVu0As,110479,112320,stuffs if we were to classify these are
2dbupGVu0As,112320,114880,these what triple stuff oreo quadruple
2dbupGVu0As,114880,117360,stuff oreo because it's not mega stuff
2dbupGVu0As,117360,119840,mega means million stuff and that's i
2dbupGVu0As,119840,121840,don't know it's false advertising and
2dbupGVu0As,121840,123200,i'm not the only person who's been
2dbupGVu0As,123200,124399,curious about this other people have
2dbupGVu0As,124399,126960,done this experiment to varying results
2dbupGVu0As,126960,129200,take it away vo matpat back in 2013
2dbupGVu0As,129200,130879,nabisco came under fire when dan
2dbupGVu0As,130879,132640,anderson a high school math teacher in
2dbupGVu0As,132640,134319,queensbury new york decided to bring
2dbupGVu0As,134319,136160,some oreos to school for a hands-on
2dbupGVu0As,136160,138000,class activity his class found that
2dbupGVu0As,138000,140400,oreo's double stuff cookies were not in
2dbupGVu0As,140400,141840,fact what they claimed according to
2dbupGVu0As,141840,143520,their measurements the so-called double
2dbupGVu0As,143520,147040,stuff cookies were more like oreos 1.86
2dbupGVu0As,147040,148720,stuff cookies he shared the results on
2dbupGVu0As,148720,150319,his blog and got picked up by the news
2dbupGVu0As,150319,152560,weeks after business insider did their
2dbupGVu0As,152560,154160,own video investigation and found that
2dbupGVu0As,154160,157040,double stuff oreos were closer to 1.91
2dbupGVu0As,157040,159440,stuff not quite as low as dan anderson's
2dbupGVu0As,159440,160879,high school math class measured but
2dbupGVu0As,160879,163440,still shy of truly being double the
2dbupGVu0As,163440,165680,stuff now that might seem like a small
2dbupGVu0As,165680,167200,thing to get all worked up over but
2dbupGVu0As,167200,168959,remember that we live in a world where
2dbupGVu0As,168959,170959,subway ended up paying half a million
2dbupGVu0As,170959,172480,dollars to settle a lawsuit over the
2dbupGVu0As,172480,174160,fact that their foot long sandwiches
2dbupGVu0As,174160,176640,were sometimes only 11 inches long which
2dbupGVu0As,176640,178640,is probably why nabisco made official
2dbupGVu0As,178640,180159,statements in the aftermath of both of
2dbupGVu0As,180159,181360,these stories asserting that their
2dbupGVu0As,181360,183360,double stuffed oreos were exactly what
2dbupGVu0As,183360,185200,they claimed to be so that is what we're
2dbupGVu0As,185200,186720,here today to do to look at whether the
2dbupGVu0As,186720,188640,double stuff oreo truly has double the
2dbupGVu0As,188640,191040,stuffing as a single stuff oreo i i
2dbupGVu0As,191040,193200,can't imagine that that's the case but
2dbupGVu0As,193200,194560,we'll find out today you might think
2dbupGVu0As,194560,196400,that we're just going to be weighing the
2dbupGVu0As,196400,198239,cream but because it's a little bit
2dbupGVu0As,198239,200000,difficult to get all of the cream and
2dbupGVu0As,200000,201280,get it nice and standardized we're
2dbupGVu0As,201280,202480,actually going to be wearing the full
2dbupGVu0As,202480,205519,cookie and then the cookies without the
2dbupGVu0As,205519,207360,cream that way we're getting a standard
2dbupGVu0As,207360,209760,of a measured as we can that also allows
2dbupGVu0As,209760,211040,us in the event that we're having a hard
2dbupGVu0As,211040,213760,time getting rid of all the queen queen
2dbupGVu0As,213760,216080,the queen where's the queen filling the
2dbupGVu0As,216080,217680,other thing that this is nice to have is
2dbupGVu0As,217680,219280,if we have a hard time separating out
2dbupGVu0As,219280,221760,the cream it allows us to do things like
2dbupGVu0As,221760,223680,maybe melt it off or maybe do other
2dbupGVu0As,223680,225680,things to really get all that cream off
2dbupGVu0As,225680,227680,the cookies that melting the cream off
2dbupGVu0As,227680,229519,idea yeah i just tossed that out as a
2dbupGVu0As,229519,231360,random thought while we were recording i
2dbupGVu0As,231360,233439,would later come to regret that decision
2dbupGVu0As,233439,236080,so here's cookie number one of the great
2dbupGVu0As,236080,237920,double stuff cookie experiment here we
2dbupGVu0As,237920,240720,go
2dbupGVu0As,240720,242640,11.4
2dbupGVu0As,242640,244319,and now what we do
2dbupGVu0As,244319,246159,is we're just going to twist
2dbupGVu0As,246159,247680,got cream on both sides so we're going
2dbupGVu0As,247680,250450,to scrape it off oh yeah this is
2dbupGVu0As,250450,252799,[Music]
2dbupGVu0As,252799,255439,it's it's close
2dbupGVu0As,255439,257120,it's just like buried in the nooks and
2dbupGVu0As,257120,258479,crannies
2dbupGVu0As,258479,261440,that's the problem here
2dbupGVu0As,262720,264720,now obviously that's adding weight to
2dbupGVu0As,264720,266560,the cookie so i'm only doing that for
2dbupGVu0As,266560,268400,comedic effect yes
2dbupGVu0As,268400,270080,i see you all you science nerds you're
2dbupGVu0As,270080,271520,like the moisture is making the cookie
2dbupGVu0As,271520,273120,heavier i get it
2dbupGVu0As,273120,275600,i get it it's a joke
2dbupGVu0As,275600,278639,it's a joke i know my saliva is heavy
2dbupGVu0As,278639,280160,i've got the heavy saliva in the
2dbupGVu0As,280160,282720,business
2dbupGVu0As,282720,284240,so sorry
2dbupGVu0As,284240,286880,8.2 okay so initially i was dissatisfied
2dbupGVu0As,286880,288080,with the amount of scraping i was having
2dbupGVu0As,288080,289280,to do to get all the cream out of the
2dbupGVu0As,289280,291280,nooks and crannies and thus the great
2dbupGVu0As,291280,293360,hair dryer experiment began so we're
2dbupGVu0As,293360,295840,trying plan b
2dbupGVu0As,295840,297280,hair dryer
2dbupGVu0As,297280,299360,it's going to melt right
2dbupGVu0As,299360,300160,right
2dbupGVu0As,300160,301360,sure
2dbupGVu0As,301360,303600,let's find out together friends
2dbupGVu0As,303600,306560,for science
2dbupGVu0As,307840,310479,it's hot i'll give it that
2dbupGVu0As,310479,312240,oh yeah you can see it melting my poor
2dbupGVu0As,312240,313919,fingers
2dbupGVu0As,313919,318639,it's hot on my fingers set it on a plate
2dbupGVu0As,320400,322800,set it on the plate they say
2dbupGVu0As,322800,325360,don't burn your fingers they say
2dbupGVu0As,325360,328000,just blew it off jason as you can
2dbupGVu0As,328000,329680,probably tell the hairdryer method was
2dbupGVu0As,329680,331840,not long for this world not only was it
2dbupGVu0As,331840,333600,bad for my sensitive thingies it was
2dbupGVu0As,333600,335440,also just liquefying the cream causing
2dbupGVu0As,335440,337360,it to seep deeper into the chocolate
2dbupGVu0As,337360,339440,wafer that being said it did come with
2dbupGVu0As,339440,342160,one upside
2dbupGVu0As,342240,343060,oh yeah
2dbupGVu0As,343060,346209,[Music]
2dbupGVu0As,346639,348160,never have oreos that you're left out in
2dbupGVu0As,348160,349759,the car
2dbupGVu0As,349759,351039,and they're nice and warm and a little
2dbupGVu0As,351039,351960,melty
2dbupGVu0As,351960,353600,[Music]
2dbupGVu0As,353600,355919,that might be peak oreo where's melty
2dbupGVu0As,355919,357199,oreo flavor
2dbupGVu0As,357199,358880,that was awesome in the end we scrapped
2dbupGVu0As,358880,360319,the hairdryer and settled on more
2dbupGVu0As,360319,362720,traditional cream separation methods and
2dbupGVu0As,362720,365199,uh if it wasn't obvious yet after a few
