vid,start,end,text
2ywCAiu9hI0,4760,7849,[Music]
2ywCAiu9hI0,9200,12200,oh
2ywCAiu9hI0,12410,27859,[Music]
2ywCAiu9hI0,28840,30720,oh
2ywCAiu9hI0,30720,33000,hi ninjas how are you guys doing it's
2ywCAiu9hI0,33000,35680,oklahoma aka sphere for color prime back
2ywCAiu9hI0,35680,37680,for oil entertainment if the first time
2ywCAiu9hI0,37680,39200,joining me almost david welcome please
2ywCAiu9hI0,39200,40399,do make sure that i subscribe and
2ywCAiu9hI0,40399,42399,obviously hit the bell i absolutely love
2ywCAiu9hI0,42399,43920,you and don't forget follow me on
2ywCAiu9hI0,43920,46000,instagram tech talking twitter is that
2ywCAiu9hI0,46000,48399,boldly oh i mean now many just before we
2ywCAiu9hI0,48399,50800,get into this video today i want to go
2ywCAiu9hI0,50800,52559,ahead and actually say guys i'm sure
2ywCAiu9hI0,52559,54559,that there's actually sort of like a
2ywCAiu9hI0,54559,57520,banner here or yeah you know that
2ywCAiu9hI0,57520,60480,actually has um phone numbers and you
2ywCAiu9hI0,60480,62719,know everything so i've seen that i'm
2ywCAiu9hI0,62719,64559,getting a lot of questions about oh i
2ywCAiu9hI0,64559,65920,mean i want to do a shout out what
2ywCAiu9hI0,65920,67600,should i do so basically this is what
2ywCAiu9hI0,67600,70880,you do you simply
2ywCAiu9hI0,70880,73840,pay you make a payment of 380 after
2ywCAiu9hI0,73840,75840,making the payment you send proof of
2ywCAiu9hI0,75840,77759,payment to the whatsapp numbers of the
2ywCAiu9hI0,77759,80880,numbers that are here and um after that
2ywCAiu9hI0,80880,84560,you send a 30 second clip a video of you
2ywCAiu9hI0,84560,86240,advertising your channel you can
2ywCAiu9hI0,86240,88640,literally go as well as you want as long
2ywCAiu9hI0,88640,90720,as there's no background music and then
2ywCAiu9hI0,90720,92720,i'm gonna go ahead and place that video
2ywCAiu9hI0,92720,95520,in my video and that is it so there's
2ywCAiu9hI0,95520,97119,really nothing much you guys because i'm
2ywCAiu9hI0,97119,98560,saying that i'm getting a lot of
2ywCAiu9hI0,98560,101439,questions emails dms whatsapp um it's
2ywCAiu9hI0,101439,102880,simply that all you need is that there
2ywCAiu9hI0,102880,105680,is a con video clip you also just need
2ywCAiu9hI0,105680,108640,to pay 380 and send proof of payment and
2ywCAiu9hI0,108640,111600,we're done okay i'll take it from there
2ywCAiu9hI0,111600,113759,anyway just go ahead and get into this
2ywCAiu9hI0,113759,115759,chande darling okay
2ywCAiu9hI0,115759,117759,miss xo has been trending she was
2ywCAiu9hI0,117759,119840,trending and she was trending for her
2ywCAiu9hI0,119840,123600,high valued woman um video now i'm not
2ywCAiu9hI0,123600,125520,even going to lie you guys i've never
2ywCAiu9hI0,125520,128160,watched the video i'm just not the
2ywCAiu9hI0,128160,131120,target market for miss xo's channel
2ywCAiu9hI0,131120,132720,um and there's absolutely nothing wrong
2ywCAiu9hI0,132720,134560,with that um she does have her own
2ywCAiu9hI0,134560,136560,target market and it's quite a lot of
2ywCAiu9hI0,136560,137920,people she does have over a hundred
2ywCAiu9hI0,137920,139680,thousand subscribers so congratulations
2ywCAiu9hI0,139680,141840,girl i know you really wanted to read
