vid,start,end,text
3GNoelvk6S4,0,2159,I've added up to here with this
3GNoelvk6S4,2159,3720,with what
3GNoelvk6S4,3720,6060,with this being old enough to remember
3GNoelvk6S4,6060,8400,when OnePlus stood for well-designed
3GNoelvk6S4,8400,10500,phones with clean software at rock
3GNoelvk6S4,10500,13139,bottom prices it's been painful for me
3GNoelvk6S4,13139,14759,watching their slow descent into
3GNoelvk6S4,14759,16920,mediocrity and it's high time that I
3GNoelvk6S4,16920,19619,share my thoughts the one time Flagship
3GNoelvk6S4,19619,21300,killer has been plagued by hardware
3GNoelvk6S4,21300,24300,issues software glitches and most
3GNoelvk6S4,24300,26580,damningly lackluster support for the
3GNoelvk6S4,26580,28740,Enthusiast users who made them what they
3GNoelvk6S4,28740,32099,are today what the heck happened I used
3GNoelvk6S4,32099,34920,to rely on OnePlus as my recommendation
3GNoelvk6S4,34920,38280,go-to for friends and family alike the
3GNoelvk6S4,38280,40920,one company other than that one that I
3GNoelvk6S4,40920,43320,could count on for years of intuitive
3GNoelvk6S4,43320,44760,software updates and trouble-free
3GNoelvk6S4,44760,47820,operation then in the last couple of
3GNoelvk6S4,47820,49440,years I've ended up in the doghouse
3GNoelvk6S4,49440,52379,twice over OnePlus recommendations first
3GNoelvk6S4,52379,54719,with my son which is bad enough then
3GNoelvk6S4,54719,58500,with my wife which is much much worse so
3GNoelvk6S4,58500,60120,now to make it up to her I'm gonna have
3GNoelvk6S4,60120,61739,to buy her something nice
3GNoelvk6S4,61739,64559,with this money from our sponsor build
3GNoelvk6S4,64559,66900,redox build Redux makes it easy to
3GNoelvk6S4,66900,68760,configure your new build with support
3GNoelvk6S4,68760,70680,guides to help you along the way they
3GNoelvk6S4,70680,72600,also offer competitive pricing as
3GNoelvk6S4,72600,74640,compared to building a PC yourself so
3GNoelvk6S4,74640,77759,head to build redux.com Linus and start
3GNoelvk6S4,77759,80280,your new build today while I've been
3GNoelvk6S4,80280,82380,personally frustrated for a while it was
3GNoelvk6S4,82380,83700,in exchange with our good friend Steve
3GNoelvk6S4,83700,85560,from Gamer's Nexus that pushed me from
3GNoelvk6S4,85560,87479,I'm not recommending these to friends
3GNoelvk6S4,87479,90180,anymore to I need to make a video about
3GNoelvk6S4,90180,92880,this it appears that certain models of
3GNoelvk6S4,92880,94920,OnePlus phones have been afflicted by a
3GNoelvk6S4,94920,96960,strange bug that causes their storage to
3GNoelvk6S4,96960,99540,fill up at an alarming rate intriguing
3GNoelvk6S4,99540,101700,now the obvious solution would be to
3GNoelvk6S4,101700,103740,delete some cat pictures but if user
3GNoelvk6S4,103740,106200,reports are anything to go by not even a
3GNoelvk6S4,106200,108060,complete Purge of precious memories of
3GNoelvk6S4,108060,109860,snowball 1 is enough to free up the
3GNoelvk6S4,109860,112920,space and in fact there's no indication
3GNoelvk6S4,112920,116100,within the UI of what is consuming all
3GNoelvk6S4,116100,118619,of the storage even factory resetting
3GNoelvk6S4,118619,121680,these devices yielded no improvement so
3GNoelvk6S4,121680,123780,to diagnose what's going on here we need
3GNoelvk6S4,123780,126659,to go to the device logs logs are a
3GNoelvk6S4,126659,128640,record of diagnostic data and they can
3GNoelvk6S4,128640,130500,include information about operating
3GNoelvk6S4,130500,133140,system updates app crashes physical
3GNoelvk6S4,133140,134940,errors anything that could help to
3GNoelvk6S4,134940,136379,troubleshoot a device that isn't
3GNoelvk6S4,136379,139319,functioning correctly only we've got a
3GNoelvk6S4,139319,140099,problem
3GNoelvk6S4,140099,142680,this log data on Android isn't available
3GNoelvk6S4,142680,146340,to end users at least not out of the box
3GNoelvk6S4,146340,148800,thankfully OnePlus has still got one
3GNoelvk6S4,148800,150780,thing right they are one of the only
3GNoelvk6S4,150780,152879,Android phone makers who still allow
3GNoelvk6S4,152879,154920,adventurous users to Tinker under
3GNoelvk6S4,154920,157620,Android's Hood by rooting their device
3GNoelvk6S4,157620,160140,this process comes with enough risk that
3GNoelvk6S4,160140,162000,most manufacturers will actually void
3GNoelvk6S4,162000,164160,your warranty just for attempting it but
3GNoelvk6S4,164160,166379,it also has some benefits including
3GNoelvk6S4,166379,169019,granting complete access to the phone's
3GNoelvk6S4,169019,171120,file system and it was in these
3GNoelvk6S4,171120,173160,typically hidden system folders that a
3GNoelvk6S4,173160,175200,few Brave enthusiasts came across some
3GNoelvk6S4,175200,178500,modem log files or dumps that were
3GNoelvk6S4,178500,181080,pretty suspicious for starters they were
3GNoelvk6S4,181080,183060,big hundreds of megabytes in some cases
3GNoelvk6S4,183060,186599,which is a lot of text but your phone
3GNoelvk6S4,186599,189720,generating big log dumps isn't itself a
3GNoelvk6S4,189720,191700,problem it's when it doesn't clean up
3GNoelvk6S4,191700,194159,after itself and that's exactly what
3GNoelvk6S4,194159,196560,happened here affected users discovered
3GNoelvk6S4,196560,199739,that onepluses historically well-managed
3GNoelvk6S4,199739,203159,oxygen OS was simply leaving these logs
3GNoelvk6S4,203159,205319,to pile up until there was no storage
3GNoelvk6S4,205319,208440,left for anything else well great now
3GNoelvk6S4,208440,209879,that we know what the problem is it's an
3GNoelvk6S4,209879,213840,easy fix right not exactly while rooting
3GNoelvk6S4,213840,216900,is an option for OnePlus users it comes
