vid,start,end,text
40UGS6kd9Wg,160,2000,american model and television
40UGS6kd9Wg,2000,4560,personality haley baldwin bieber seems
40UGS6kd9Wg,4560,6720,to have gotten herself into some trouble
40UGS6kd9Wg,6720,8960,over the launch of her new skincare line
40UGS6kd9Wg,8960,11519,called road before starting the line she
40UGS6kd9Wg,11519,13120,said that she had always dreamed of
40UGS6kd9Wg,13120,15040,starting her online but didn't get
40UGS6kd9Wg,15040,16880,serious about it until the last couple
40UGS6kd9Wg,16880,19039,years making time to meet with chemists
40UGS6kd9Wg,19039,21199,and dermatologists and test out the
40UGS6kd9Wg,21199,23519,samples with family and friends she had
40UGS6kd9Wg,23519,25519,a sit-down interview with people and
40UGS6kd9Wg,25519,27920,said the following what sets rhode apart
40UGS6kd9Wg,27920,30240,is we're putting out a very curated
40UGS6kd9Wg,30240,32800,edited line of essentials our philosophy
40UGS6kd9Wg,32800,35520,is making one of everything really good
40UGS6kd9Wg,35520,37840,for me that spans across all things in
40UGS6kd9Wg,37840,40239,my life from beauty to how i edit my
40UGS6kd9Wg,40239,42640,wardrobe it's like that one really good
40UGS6kd9Wg,42640,44879,pair of jeans you're always reaching for
40UGS6kd9Wg,44879,46960,that one really good blazer you keep
40UGS6kd9Wg,46960,48640,going back to that's how i look at
40UGS6kd9Wg,48640,50800,skincare as well the one really good
40UGS6kd9Wg,50800,53120,moisturizer you keep reaching for the
40UGS6kd9Wg,53120,55039,debut started with three products
40UGS6kd9Wg,55039,57280,available on their website all for under
40UGS6kd9Wg,57280,59359,thirty dollars haley's saying that she
40UGS6kd9Wg,59359,61600,wanted to make the makeup available for
40UGS6kd9Wg,61600,64158,everyone saying it was a party everyone
40UGS6kd9Wg,64158,66400,was invited to but it looks like that
40UGS6kd9Wg,66400,68560,party might just get crashed by a
40UGS6kd9Wg,68560,70720,nine-year-old fashion line that shares
40UGS6kd9Wg,70720,73360,the exact same name the co-founders of
40UGS6kd9Wg,73360,75520,the company perna katau and phoebe
40UGS6kd9Wg,75520,77680,vickers are suing her for trademark
40UGS6kd9Wg,77680,79680,infringement due to the companies
40UGS6kd9Wg,79680,81520,sharing the same name according to the
40UGS6kd9Wg,81520,83360,court filings they said that since
40UGS6kd9Wg,83360,85920,launching the company in 2013 they have
40UGS6kd9Wg,85920,88080,dedicated themselves to growing and
40UGS6kd9Wg,88080,90240,nurturing the road brand through much
40UGS6kd9Wg,90240,92479,personal sacrifice and hardship it is
