vid,start,end,text
4o9QYjPaj4Q,6116,7183,What's this?
4o9QYjPaj4Q,7183,8116,Be careful! It contains electricity!
4o9QYjPaj4Q,8666,9383,(Encyclopedia of Foods)
4o9QYjPaj4Q,9400,11766,"Woo, it's called electric eel, which is yummy and nutritious."
4o9QYjPaj4Q,11783,14283,"Wow, so what are we waiting for? Let's cook it right now!"
4o9QYjPaj4Q,16000,17783,"Wow, it smells good!"
4o9QYjPaj4Q,23116,23648,You... you... 
4o9QYjPaj4Q,30600,33016,I'll never eat electric eel again.
4o9QYjPaj4Q,36433,37516,"You want to fool me again? Show me what you can do, kid!"
4o9QYjPaj4Q,40183,40933,Wanna exchange food with me?
4o9QYjPaj4Q,41733,42500,Why not?
4o9QYjPaj4Q,50799,52516,Fake pork! It's plastic.
4o9QYjPaj4Q,57350,59399,"Ay, I can eat my pork alone finally."
4o9QYjPaj4Q,71583,73583,It's so great eating alone!
4o9QYjPaj4Q,75616,78183,Grandpa has a bad appetite recently. This lemon chicken is specially made for him.
4o9QYjPaj4Q,79016,82116,"Emm... Your lemon chicken doesn't look good, maybe it's better to add a little chili jam."
4o9QYjPaj4Q,82150,83366,No way!
4o9QYjPaj4Q,83549,85950,Haiya! So can I just add a little vinegar and sesame oil?
4o9QYjPaj4Q,85983,86633,"Well, as you like."
4o9QYjPaj4Q,87900,89266,What have you done? I made it for grandpa!
4o9QYjPaj4Q,89266,90366,What did you make for me?
4o9QYjPaj4Q,91266,92715,"Grandpa, Songsong just made this for you."
4o9QYjPaj4Q,95466,97933,"Emmm, not so good. I need more chili."
4o9QYjPaj4Q,107083,108650,Do you really have no appetite?
4o9QYjPaj4Q,108666,110083,I have an appetite after eating chili!
4o9QYjPaj4Q,110783,114482,"Ermao! Our neighbor Mr. Wong found an oversized pearl, huge and valuable. He sold it 5 million!!"
4o9QYjPaj4Q,114799,116566,"OMG, really? So what are we waiting for?!"
4o9QYjPaj4Q,117583,119816,Why always bad luck.
4o9QYjPaj4Q,119849,121849,It's my turn.
4o9QYjPaj4Q,127116,130065,"It's the last one, bro. So it's our last hope."
4o9QYjPaj4Q,136283,137416,"Do you believe in Ultraman, bro?"
4o9QYjPaj4Q,148099,150099,"You like spicy, right? Let's see how much chili you can eat!"
4o9QYjPaj4Q,150766,152133,"Are you making Hotpot, bro?"
4o9QYjPaj4Q,152150,153349,Yes yes...
4o9QYjPaj4Q,153966,156516,It's too flat! You need more spices.
4o9QYjPaj4Q,156566,158849,Em... now it's better!
4o9QYjPaj4Q,159716,162000,I don't believe it! Maybe I should add more?
4o9QYjPaj4Q,168849,171333,"Ermao, there are more foods in the kitchen, you can take them all."
4o9QYjPaj4Q,171333,172015,No problem.
4o9QYjPaj4Q,172550,174066,Let‘s add more super paprika!
4o9QYjPaj4Q,174766,175966,I'm coming! Time to eat!
4o9QYjPaj4Q,178500,180150,Wow! This one is too good!
4o9QYjPaj4Q,181783,183250,Let's play tug of war today!
4o9QYjPaj4Q,183266,184050,Agreed! 
4o9QYjPaj4Q,186783,188199,So I can have all the lamb chops!
4o9QYjPaj4Q,188216,189250,No! I wasn't ready!
4o9QYjPaj4Q,189250,190566,"Okey okey, so we play again!"
4o9QYjPaj4Q,191150,193150,"Look, Bro, there is a beautiful girl!"
4o9QYjPaj4Q,195150,197150,I'm the winner again!
4o9QYjPaj4Q,197183,199183,You must have cheated! I'll call grandpa to be the referee.
4o9QYjPaj4Q,199616,201099,Do you think grandpa can help?
4o9QYjPaj4Q,201849,202500,Go!
4o9QYjPaj4Q,204550,205833,Haha! This is destined!
4o9QYjPaj4Q,216300,218849,This is sheep suet. Do you dare to eat?
4o9QYjPaj4Q,219216,220750,"You are not my boss, why should I listen to you?"
4o9QYjPaj4Q,221483,222449,No problem! I try it right now!
4o9QYjPaj4Q,222516,224800,(Sheep suet with chili oil)
4o9QYjPaj4Q,228683,230566,(Sheep suet with mustard)
4o9QYjPaj4Q,235016,237166,I don't believe! I will never admit defeat!
4o9QYjPaj4Q,240650,242500,It's not the human being's food!
4o9QYjPaj4Q,246616,250683,"Ah, my clothes! You must buy me a new one!"
4o9QYjPaj4Q,251050,252699,Time to eat!
4o9QYjPaj4Q,254716,256233,The lamb is mine!
4o9QYjPaj4Q,256250,260199,"What are you worry about? I won't fool you today. But I haven't finished our work yet, let's do it before eating."
4o9QYjPaj4Q,267916,272698,"Hahaha, you can't go down now, can you? Wow, this lamb smells so good!"
4o9QYjPaj4Q,279583,281016,You bastard!
4o9QYjPaj4Q,283550,285349,"Help me, bro! Cook something to treat my constipation!"
4o9QYjPaj4Q,285350,287949,What a strange request. No problem!
4o9QYjPaj4Q,288016,297432,"First, cook a little fermented tofu. Then some banana. Finally, pour some coriander juice."
4o9QYjPaj4Q,297566,301416,"Hahaha, the special dishes for you!"
4o9QYjPaj4Q,305016,307332,How do you feel? Does it work?
4o9QYjPaj4Q,307383,308166,Yes yes!
4o9QYjPaj4Q,315250,316383,Wow!
4o9QYjPaj4Q,316416,318965,"If you can eat 10 trotters at once, you can get a free pig."
4o9QYjPaj4Q,318983,322883,Sounds good deal! It's so easy!
4o9QYjPaj4Q,326183,328500,Ah!!! I surrender!!! It's too spicy!
4o9QYjPaj4Q,328550,332283,"Hahaha, because this is my special chili! No one can stand it!"
4o9QYjPaj4Q,341083,343433,Your special chili sucks! It's not spicy at all.
4o9QYjPaj4Q,344316,345850,Give me the pig quickly! 
4o9QYjPaj4Q,345850,347050,"OK ok, take it!"
4o9QYjPaj4Q,348149,350465,Are you kidding me??!!
4o9QYjPaj4Q,350866,353416,Such a good chicken thigh! I need to hide it.
4o9QYjPaj4Q,354550,356198,I don't believe Ermao can find it.
4o9QYjPaj4Q,358616,360566,"Hahaha, you wanna eat alone? No way!"
4o9QYjPaj4Q,363250,365216,(Video Camera)
4o9QYjPaj4Q,365683,368033,Finally you've been fooled by me hahaha!
4o9QYjPaj4Q,375383,377466,Let's wait and see! I'll never lose again!
4o9QYjPaj4Q,377816,379699,Let me go! Let me go!
4o9QYjPaj4Q,379750,382533,How do you grab my food now? I'm going to eat alone haha.
4o9QYjPaj4Q,383216,384816,"Grandson, come to help!"
4o9QYjPaj4Q,384816,385399,I'm on way!
4o9QYjPaj4Q,394783,398133,"Hahahahaha, you wanna eat alone? Impossible!"
4o9QYjPaj4Q,409850,412316,Ermao!! Never again!!
4o9QYjPaj4Q,412633,414233,Eating foie gras!
4o9QYjPaj4Q,414766,417449,You hillbilly! You don't know how to eat foie gras. Let me show you the right way.
4o9QYjPaj4Q,420366,422733,You see? It's how we eat foie gras in French way.
4o9QYjPaj4Q,422733,425250,You look like a joker. I'm sure mine tastes better.
4o9QYjPaj4Q,425300,427300,"You know nothing about food, idiot."
4o9QYjPaj4Q,433000,434949,Do you want to know what money tastes like?
4o9QYjPaj4Q,436800,439783,"Wow, the flavor of money~~"
4o9QYjPaj4Q,439933,441816,"It cost 100 dollars,  don't forget to give me money!"
4o9QYjPaj4Q,441816,447183,"Don't try to fool me, foie gras is not that expensive."
