vid,start,end,text
5JATGoxXX4o,0,2159,so it's been three days since the m2
5JATGoxXX4o,2159,5359,macbook pro came out and we have done a
5JATGoxXX4o,5359,8320,ton of tests and comparisons and put out
5JATGoxXX4o,8320,11200,multiple videos in this one i want to
5JATGoxXX4o,11200,13679,give you guys a short video about the
5JATGoxXX4o,13679,17440,good the bad and the outright ugly about
5JATGoxXX4o,17440,21439,this laptop and my perspective for real
5JATGoxXX4o,21439,24480,world use with this laptop instead of
5JATGoxXX4o,24480,27519,just benchmarks now the first thing for
5JATGoxXX4o,27519,29519,a positive that i want to talk about is
5JATGoxXX4o,29519,31519,the webcam now a lot of people have
5JATGoxXX4o,31519,33680,really hated on apple for sticking with
5JATGoxXX4o,33680,36480,the 720p webcam and i agree they should
5JATGoxXX4o,36480,39600,have put a 1080p in but it does look
5JATGoxXX4o,39600,41840,better now the weird thing is is that
5JATGoxXX4o,41840,44000,it's only better because of software
5JATGoxXX4o,44000,45680,they tweaked the algorithm for the noise
5JATGoxXX4o,45680,48160,reduction they added better contrast or
5JATGoxXX4o,48160,50160,else that's what it looks like now with
5JATGoxXX4o,50160,52399,that the 14 inch and 16 inch and even
5JATGoxXX4o,52399,54879,the upcoming m2 macbook air are still
5JATGoxXX4o,54879,57600,going to look more detailed sharper less
5JATGoxXX4o,57600,58480,noise
5JATGoxXX4o,58480,60239,but at least they've done the software
5JATGoxXX4o,60239,62559,fix which they should do to the previous
5JATGoxXX4o,62559,65280,ones to make it look a little bit better
5JATGoxXX4o,65280,67760,now the second thing that i noticed is
5JATGoxXX4o,67760,70080,the speakers now in my comparison
5JATGoxXX4o,70080,72560,against the m1 macbook pro i said that
5JATGoxXX4o,72560,74960,they sound about the same i couldn't
5JATGoxXX4o,74960,77200,hear much of a difference but then some
5JATGoxXX4o,77200,78799,of you guys called it out and said that
5JATGoxXX4o,78799,81280,no in fact the m1 has better dynamics it
5JATGoxXX4o,81280,84240,sounds better and the truth is when we
5JATGoxXX4o,84240,86240,were listening i told him that i thought
5JATGoxXX4o,86240,88000,that the bass was better on the m1 and
5JATGoxXX4o,88000,89759,it sounded slightly louder it just
5JATGoxXX4o,89759,91759,didn't make sense why that would happen
5JATGoxXX4o,91759,94240,and because i was unsure i was just
5JATGoxXX4o,94240,96000,leaving it up to you guys but you guys
5JATGoxXX4o,96000,98640,spoke and with that when we monitored in
5JATGoxXX4o,98640,100799,final cut it did show about a two
5JATGoxXX4o,100799,104880,decibels louder kind of volume on the m1
5JATGoxXX4o,104880,107360,model so i don't know why the m2 doesn't
5JATGoxXX4o,107360,109920,sound as good the m1 already was the
5JATGoxXX4o,109920,112640,worst sounding macbook out of the full
5JATGoxXX4o,112640,115439,lineup so that is definitely unfortunate
5JATGoxXX4o,115439,118560,now the next thing is the fan
5JATGoxXX4o,118560,121280,now this thing when you're using it day
5JATGoxXX4o,121280,122320,to day
5JATGoxXX4o,122320,125360,it almost seems like a macbook air that
5JATGoxXX4o,125360,126799,is fanless
5JATGoxXX4o,126799,129759,you don't hear it unless you're doing
5JATGoxXX4o,129759,132560,heavy rendering for a very long time and
5JATGoxXX4o,132560,134000,i'm not talking about running a couple
5JATGoxXX4o,134000,136400,runs of cinebench it still is silent
5JATGoxXX4o,136400,138720,apple let this thing heat up the most we
5JATGoxXX4o,138720,140879,recorded is 104 on screen but actually
5JATGoxXX4o,140879,142480,hit 105
5JATGoxXX4o,142480,144480,and they didn't care the fans only
5JATGoxXX4o,144480,146800,barely started to ram up ramp up there
5JATGoxXX4o,146800,148319,so they're treating it more like a
5JATGoxXX4o,148319,150800,macbook air instead of a pro whereas the
5JATGoxXX4o,150800,154080,m1 pro even though it uses less power
5JATGoxXX4o,154080,156720,and less wattage and has less heat the
5JATGoxXX4o,156720,160000,fans actually ramp up quicker now that
5JATGoxXX4o,160000,162239,is a positive if you don't want to hear
5JATGoxXX4o,162239,163599,the fans day to day if you have a
5JATGoxXX4o,163599,166319,previous intel model and you're annoyed
5JATGoxXX4o,166319,168319,of it well this is going to be way
5JATGoxXX4o,168319,169920,better it's a great experience not
5JATGoxXX4o,169920,171680,hearing that fan but for those of you
5JATGoxXX4o,171680,174400,guys that are concerned about the high
5JATGoxXX4o,174400,175280,heat
5JATGoxXX4o,175280,177440,that the chip gets and how hot it gets
5JATGoxXX4o,177440,179680,well you could download tg fan pro and
5JATGoxXX4o,179680,181920,you can change the settings yourself to
5JATGoxXX4o,181920,183680,have it spin up a little bit earlier
