vid,start,end,text
9WM0GG27oo8,0,6080,[Music]
9WM0GG27oo8,8320,15679,hey  look at where i'm at now right now i'm  at cares in burien washington yeah
9WM0GG27oo8,15679,21279,c a r e s  cares yeah
9WM0GG27oo8,21279,26480,cares is an animal shelter yeah this is  where the animals live until maybe
9WM0GG27oo8,26480,32719,someone like you comes down to then  adopt the pet these pets need a new home
9WM0GG27oo8,32719,39130,let's see what pets are inside  [Music]
9WM0GG27oo8,41840,48719,do you see this dog yeah this is a  really small dog it's kind of like a  baby dog
9WM0GG27oo8,48719,54000,yeah really small dogs like this these  are called puppies
9WM0GG27oo8,54000,71150,here you go  [Music]
9WM0GG27oo8,71760,76799,oh this is sapphire  oh she's such a cute kitty
9WM0GG27oo8,76799,84340,hey sapphire  how are you  [Music]  oh she's so soft
9WM0GG27oo8,84340,90880,[Music]  this is cuddles
9WM0GG27oo8,90880,98200,she loves to cuddle  oh she's so soft and she loves to play
9WM0GG27oo8,99430,102949,[Music]
9WM0GG27oo8,111439,118000,wow that was so much fun spending some  time at my local animal shelter well hey
9WM0GG27oo8,118000,124320,even if you can't adopt a pet you can  still come down and volunteer your time
9WM0GG27oo8,124320,129520,yeah you can come on down and pet the  pets maybe they'll even let you walk a
9WM0GG27oo8,129520,134560,pooch  or play with a cat in the little cat  room
9WM0GG27oo8,134560,149310,well that was so much fun  [Music]
9WM0GG27oo8,149440,155760,check it out right now i'm at pause and  relax in berrien washington yeah it's a
9WM0GG27oo8,155760,163840,daycare oh i know does that feel good  yeah a daycare that has a playground you
9WM0GG27oo8,163840,170080,know a playground that you get to play  at yeah this is a doggy playground and
9WM0GG27oo8,170080,178319,lionel and i are playing here hey i have  an idea why don't we let lino run around
9WM0GG27oo8,178319,184400,and playgrounds are a lot more fun when  there's a lot of friends
9WM0GG27oo8,184400,188319,let's bring on some doggie friends
9WM0GG27oo8,190480,209020,whoa look at how many friends lino has  [Music]
9WM0GG27oo8,217599,224560,okay now it's time for lino's bath and  haircut oh i bet he's gonna feel so
9WM0GG27oo8,224560,230239,clean and so fresh after this  all right let's take them inside
9WM0GG27oo8,230239,240799,here we go lino  [Music]
9WM0GG27oo8,240799,254180,um  [Music]
9WM0GG27oo8,254180,258959,[Applause]  [Music]  [Applause]
9WM0GG27oo8,259600,268560,so  [Music]
9WM0GG27oo8,268560,274639,hey  whoa check it out look at this pink  platform yeah this is what all the
9WM0GG27oo8,274639,280320,pooches stand on and this is a nice  purple belly strap right here
9WM0GG27oo8,280320,286000,and then a neck strap yeah this is  called the groomer's helper so then and
9WM0GG27oo8,286000,293280,make sure that the pooch doesn't fall  off the table while it's getting groomed  hey come check this out
9WM0GG27oo8,293280,299840,whoa see this toolbox there's a lot of  things that the groomers use inside this
9WM0GG27oo8,299840,307039,toolbox  wow  that is so cool all right first we have
9WM0GG27oo8,307039,312800,some shampoo  this is plum flavored shampoo
9WM0GG27oo8,313039,319640,oh it looks like we have some clippers  up here  wow
9WM0GG27oo8,319640,326560,[Music]  that's what you put on the dog's hair  and then it trims it ooh
9WM0GG27oo8,326560,334540,this files down the nails of the dog  let's turn it on  [Music]
9WM0GG27oo8,335600,340639,that's silly okay wow yeah these yeah
9WM0GG27oo8,340639,345759,these are like scissors yeah but they're  actually called shears
9WM0GG27oo8,345759,353759,wow  a dog's hair is a lot more fine than a  human's hair and these scissors
9WM0GG27oo8,353759,359919,can really cut a dog's hair really good  so let's put these on the platform let's
9WM0GG27oo8,359919,366880,put the the red colored ones  okay  that'd be really careful if you use
9WM0GG27oo8,366880,372960,these shears  perfect  okay what else do we need to cut lino's
9WM0GG27oo8,372960,378560,hair  hmm  let's see  oh
9WM0GG27oo8,378560,385440,hey do you want a haircut  hey do you want a haircut
9WM0GG27oo8,385759,391600,looks like their hair's already cut  oh look at this  wow
9WM0GG27oo8,391600,398000,a comb  yeah just like how you and i comb our  hair and brush our hair
9WM0GG27oo8,398000,404400,dogs need that too  wow  oh hello
9WM0GG27oo8,404400,411759,okay let's put this on the platform  okay next to the pair of shears
9WM0GG27oo8,411759,419199,all right what else is over here  wow  looks like we have some sanitation spray
9WM0GG27oo8,419199,424319,so then when lino's done you sanitized  everything so then the next dog can get
9WM0GG27oo8,424319,432000,its hair cut  whoa  sugar cookies i love sugar cookies this
9WM0GG27oo8,432000,437720,is sugar cookie dog perfume  this definitely should go over there
9WM0GG27oo8,437720,444080,[Music]  check this out  another drawer
9WM0GG27oo8,444080,451599,wow  there is a lot of  cool things in this look at that
9WM0GG27oo8,451599,456800,that kind of looks like a brush  but it doesn't look like a normal brush  or a comb
9WM0GG27oo8,456800,462160,this is called a slicker brush  [Music]  all right we'll put that over there as
9WM0GG27oo8,462160,469120,well  whoa this is gonna be so much fun
9WM0GG27oo8,469120,475120,let's see  remember from earlier these clippers up  here
9WM0GG27oo8,475120,481840,yeah see this  these  are clipper attachments you put them on
9WM0GG27oo8,481840,488080,the top  and then that is what determines the  length of hair see that
9WM0GG27oo8,488080,495680,compared to  that one's way shorter
9WM0GG27oo8,496000,502879,okay let's bring this and  a green
9WM0GG27oo8,502879,508000,attachment  wow  all right
9WM0GG27oo8,508000,514399,i think we have  everything we need  to cut lino's hair
9WM0GG27oo8,514399,520560,all right so we have clippers  shears
9WM0GG27oo8,520560,525839,scissors  a comb
9WM0GG27oo8,526320,533200,some dog perfume  and  a slicker brush there's a lot more
9WM0GG27oo8,533200,539440,things in there that we'll probably use  but for now this is good yeah
9WM0GG27oo8,539920,545760,whoa look at lido they took off so much  hair look
9WM0GG27oo8,545760,553360,whoa  this is a bunch of lino's hair  wow it's so soft
9WM0GG27oo8,553360,558480,ah  yeah i could make a pillow out of this
9WM0GG27oo8,558959,565279,wow  hey  you like lionel's hair
9WM0GG27oo8,565279,571260,does it smell good  so silly
9WM0GG27oo8,571260,582630,[Music]
9WM0GG27oo8,591200,598770,whoa look lino's all done  how does he look  look at his big fluffy ears
9WM0GG27oo8,598770,606000,[Music]  wow and look at his spooky
9WM0GG27oo8,606000,611920,bandana  oh there's some pumpkins on it
9WM0GG27oo8,611920,619700,and it looks like a llama with a cape  [Music]  wow all right lino we can go home now
9WM0GG27oo8,619700,626640,[Music]  all right  bye-bye
9WM0GG27oo8,627200,632240,well this is the end of this video but  if you want to watch more of my videos
9WM0GG27oo8,632240,637279,all you have to do is search for my name  will you spell my name with me
9WM0GG27oo8,637279,644839,ready  b-l-i-p-p-i  flippy good job all
9WM0GG27oo8,644839,651200,right bye-bye  [Music]  hey it's me flippy and today we'll be
9WM0GG27oo8,651200,658810,meeting some amazing sea creatures this  is going to be awesome let's check them  out
9WM0GG27oo8,658810,665040,[Music]
9WM0GG27oo8,665040,672800,hey  it's me blippi and look at where i'm at  yeah i'm at a marina yeah marinas our
9WM0GG27oo8,672800,680240,body of water where a bunch of boats  live oh that's so cool but hey check  this out
9WM0GG27oo8,680320,687920,wow  today  we're at the marine life center in  bellingham washington and you and i are
9WM0GG27oo8,687920,694000,gonna learn a lot about some cool  creatures and fish yeah i love fish
9WM0GG27oo8,694000,697320,let's go
9WM0GG27oo8,703440,710560,oh hey who are you hi  my name's casey how are you nice to meet  you casey i'm flippy what are you doing
9WM0GG27oo8,710560,717040,i'm painting a picture of some of my  ocean friends on the ceiling here wow  are those sharks right there they sure
9WM0GG27oo8,717040,724160,are they're dog sharks oh that's cool  well it's a very good painting but hey  do you mind if i go explore the marine
9WM0GG27oo8,724160,731120,life center please do  wow  check this place out wow this is gonna
9WM0GG27oo8,731120,736560,be so much fun learning about marine  life yeah let's go
9WM0GG27oo8,737360,745519,whoa  check it out yeah do you see that  that is a skate yeah it's hard to see
9WM0GG27oo8,745519,751040,because it blends in so good with the  rocks surrounding it yeah just like how
9WM0GG27oo8,751040,757760,i kind of blend in with this creature  right here because we're both the color  orange the skate blends in with the
9WM0GG27oo8,757760,764160,rocks and that is called camouflage whoa  yeah that helps keep it safe from its
9WM0GG27oo8,764160,770000,predators whoa  whoa  check out this tank
9WM0GG27oo8,770000,776800,looks like there's some cute fish in  there hello hey  wow they're just swimming around and
9WM0GG27oo8,776800,782880,they look like they are having fun oh  what else is in here oh looks like some  seaweed
9WM0GG27oo8,782880,788720,and some rocks yeah casey says there's  actually an eel in here whoa
9WM0GG27oo8,788720,794079,and she's gonna come feed it yeah hey  blippi did you find the wool field
9WM0GG27oo8,794079,800720,she's hiding inside of her den  sometimes if she's hungry she'll come  out and say hello it looks like she has
9WM0GG27oo8,800720,806000,a grumpy face but she's actually my  friend  sometimes she likes belly rubs and
9WM0GG27oo8,806000,817100,treats her favorite is shrimp let's see  if we can get her to eat  [Music]
9WM0GG27oo8,818639,825199,wow  such cool animals in here i love all  these creatures whoa
9WM0GG27oo8,825199,830240,check it out  wow inside this tote there is a kelp
9WM0GG27oo8,830240,835600,crab whoa do you see him whoa  look at him here let me move this
9WM0GG27oo8,835600,841680,piece of kelp  whoa  there he is oh the cool thing about this
9WM0GG27oo8,841680,848320,kelp crab yeah is it's camouflage yeah  he camouflages by eating things if he
9WM0GG27oo8,848320,855600,starts to eat things that are light  brown then he starts to turn light brown  himself or if he eats things that are
9WM0GG27oo8,855600,861360,dark brown like this piece of kelp  then he blends in to that dark brown
