vid,start,end,text
9klygtT1jvA,0,2760,Oi e aí pessoal tudo bem Eu espero que
9klygtT1jvA,2760,5029,todos estejam passando um grande dia
9klygtT1jvA,5029,8099,amanhã nós temos Cruzeiro e Sport pela
9klygtT1jvA,8099,10290,Série B do Campeonato Brasileiro em
9klygtT1jvA,10290,12809,Ronaldo que é o manda-chuva do Cruzeiro
9klygtT1jvA,12809,14400,atualmente nem o cara que é o dono ali
9klygtT1jvA,14400,16529,da safra do Cruzeiro ele deu uma Pequena
9klygtT1jvA,16529,19289,Declaração à rádio Itatiaia do que ele
9klygtT1jvA,19289,22050,espera da sua torcida por exemplo para
9klygtT1jvA,22050,24300,amanhã o jogo com o Sport tá ele até foi
9klygtT1jvA,24300,26340,bem respeitoso vamos dar uma olhada para
9klygtT1jvA,26340,29010,a gente fechar e o esporte próximo
9klygtT1jvA,29010,31230,desafio de terça-feira como que o
9klygtT1jvA,31230,33000,Cruzeiro também tá vendo esse duelo
9klygtT1jvA,33000,37190,Ronaldo o horário é bem complicado né
9klygtT1jvA,37190,42120,terça-feira 2130 é bem tarde mas a
9klygtT1jvA,42120,44430,expectativa é de encher o Mineirão é um
9klygtT1jvA,44430,47640,jogo importantíssimo no confronto direto
9klygtT1jvA,47640,50250,o esporte é uma das equipes que vai
9klygtT1jvA,50250,52350,brigar até o fim para conseguir o acesso
9klygtT1jvA,52350,56219,à série A o tanto a gente precisa muito
9klygtT1jvA,56219,60010,do nosso torcedor para encher o nosso
9klygtT1jvA,60010,62980,o jornal para encher o Mineirão on e
9klygtT1jvA,62980,65950,daquele apoio que é fundamental aí para
9klygtT1jvA,65950,68170,nossa caminhada foi estarei lá no
9klygtT1jvA,68170,71200,Mineirão espero contar com a força da
9klygtT1jvA,71200,72670,nossa torcida para a gente conseguir
9klygtT1jvA,72670,75460,mais três pontos no jogo de confronto
9klygtT1jvA,75460,78220,direto o pessoal segundo Ronaldo esporte
9klygtT1jvA,78220,80770,é um dos candidatos aí é o acesso à
9klygtT1jvA,80770,84190,primeira divisão em 2023 tá e Ronaldo Tá
9klygtT1jvA,84190,86409,certo só galera é igual vou ser sincero
9klygtT1jvA,86409,88930,né Cruzeiro Bahia plástico Grêmio e
9klygtT1jvA,88930,92619,Sport 65 times nessa série B assim Os
9klygtT1jvA,92619,94869,cinco candidatos às quatro vagas é
9klygtT1jvA,94869,97659,galera dificilmente vai sair disso tá é
9klygtT1jvA,97659,101409,pelo poder do assim o poder ofensivo de
9klygtT1jvA,101409,103090,alguns desses clubes pelo poder
9klygtT1jvA,103090,105159,financeiro de alguns deles também pela
9klygtT1jvA,105159,108399,tradição camisa dificilmente vai sair
9klygtT1jvA,108399,111399,desse cinco as quatro vagas tá pessoal
9klygtT1jvA,111399,114490,mas Ronaldo e foi até respeitoso com o
9klygtT1jvA,114490,116640,esporte né geralmente essa galera que
9klygtT1jvA,116640,119679,enfim trabalha lá pelo Sudeste e jogou
9klygtT1jvA,119679,123530,lá para o é isso eles make make maltrato
9klygtT1jvA,123530,125270,poucas aqui no Nordeste mais Ronaldo
9klygtT1jvA,125270,128539,mostrou aí algum algum desenrolar tu é e
9klygtT1jvA,128539,131739,meio que liga hoje foi
9klygtT1jvA,131739,133790,corporativista com o esporte né para
9klygtT1jvA,133790,135290,transporte de bom final de quantos
9klygtT1jvA,135290,136549,Cruzeiro Esporte São tem um de futebol
9klygtT1jvA,136549,139760,né os dois praticam o mecha Esporte
9klygtT1jvA,139760,141860,Digamos que seria empresa e similares né
9klygtT1jvA,141860,143470,então Ronaldo foi até digamos assim
9klygtT1jvA,143470,146420,corporativista é o cara até que falou
9klygtT1jvA,146420,148190,bem do esporte da galera tá gostando a
9klygtT1jvA,148190,149959,declaração do rolando bem calmo
9klygtT1jvA,149959,151970,tranquilo né ele já tinha dado uma
9klygtT1jvA,151970,154730,declaração parecida o seu canal na
9klygtT1jvA,154730,156530,Twitter tá galera para quem não sabe o
9klygtT1jvA,156530,157970,Ronaldo também joga ali eu acho que me
9klygtT1jvA,157970,159739,emprestar Twitter tal está se
9klygtT1jvA,159739,162230,aventurando né não é por dinheiro tá com
9klygtT1jvA,162230,164450,certeza deve ser mais por lazer mesmo tá
9klygtT1jvA,164450,167540,pessoal mas enfim o que é que você está
9klygtT1jvA,167540,170090,esperando de Cruzeiro e Sport para
9klygtT1jvA,170090,172970,amanhã eu sinceramente galera
9klygtT1jvA,172970,175490,o cara eu queria tanto que os pontos
9klygtT1jvA,175490,178140,essa esse jogo mas eu não
9klygtT1jvA,178140,180930,me siga ela Volpi prata Vou torcer para
9klygtT1jvA,180930,183780,caramba Vai ser uma vitória magnífica já
9klygtT1jvA,183780,185700,os dois dias atrás aí o Cruzeiro já ter
9klygtT1jvA,185700,187740,vendido uns 30 mil ingressos da pessoal
9klygtT1jvA,187740,189900,então vai ser casa cheia vai ter pelo
