vid,start,end,text
AB7J_BbOeKk,0,1520,hey everybody welcome back it's jordan
AB7J_BbOeKk,1520,2879,here today we're going to be taking a
AB7J_BbOeKk,2879,5839,look at some lego and it's actually 10
AB7J_BbOeKk,5839,7520,jams lego he's been a member on the
AB7J_BbOeKk,7520,9040,channel for quite some time and we've
AB7J_BbOeKk,9040,10719,built a pretty cool friendship and
AB7J_BbOeKk,10719,12960,actually had the pleasure of meeting him
AB7J_BbOeKk,12960,15440,when i was at brickworld chicago and he
AB7J_BbOeKk,15440,18240,had some pretty awesome stuff on display
AB7J_BbOeKk,18240,20560,at brickworld so we had the opportunity
AB7J_BbOeKk,20560,22640,of interviewing him so we're going to
AB7J_BbOeKk,22640,24160,take a look at all of the art that he
AB7J_BbOeKk,24160,27439,had on display at brickworld chicago
AB7J_BbOeKk,27439,28880,pretty neat and we're also going to take
AB7J_BbOeKk,28880,30480,a look at all of the other stuff that
AB7J_BbOeKk,30480,32398,he's designed as well which includes a
AB7J_BbOeKk,32398,35280,really cool jurassic world display a
AB7J_BbOeKk,35280,38559,couple cool vehicles some more art
AB7J_BbOeKk,38559,40640,and just some really neat stuff so let's
AB7J_BbOeKk,40640,42320,take a look at the stuff that he had at
AB7J_BbOeKk,42320,44480,brookwood chicago via this interview
AB7J_BbOeKk,44480,45840,right now right now we're checking out
AB7J_BbOeKk,45840,48079,tan jam's booth look at the incredible
AB7J_BbOeKk,48079,50559,art that he has built uh can you tell us
AB7J_BbOeKk,50559,52879,a little bit about your art here tenjim
AB7J_BbOeKk,52879,55840,yeah so i got three pieces here i've got
AB7J_BbOeKk,55840,58480,uh we'll start with obi-wan kenobi i
AB7J_BbOeKk,58480,60239,call this one high ground and it's
AB7J_BbOeKk,60239,62239,supposed to be the
AB7J_BbOeKk,62239,64640,episode three or the clone wars version
AB7J_BbOeKk,64640,66799,of general kenobi and
AB7J_BbOeKk,66799,68640,free-handed the
AB7J_BbOeKk,68640,71200,the dot work on the background to look
AB7J_BbOeKk,71200,72720,like mustafar
AB7J_BbOeKk,72720,74560,so that's all free-handed kind of in the
AB7J_BbOeKk,74560,77840,same style as the iron man ultimate art
AB7J_BbOeKk,77840,80159,with the blue and the black background
AB7J_BbOeKk,80159,82560,but i put in some reds and dark reds
AB7J_BbOeKk,82560,84640,oranges that kind of color
AB7J_BbOeKk,84640,86799,but that one's uh pretty appropriate
AB7J_BbOeKk,86799,88720,given uh we're almost done with the
AB7J_BbOeKk,88720,91439,kenobi show
AB7J_BbOeKk,91439,94159,and then uh i've got
AB7J_BbOeKk,94159,97520,this the second piece that i did
AB7J_BbOeKk,97520,100079,i call it one with the force here and
AB7J_BbOeKk,100079,102640,this one is uh is representative of that
AB7J_BbOeKk,102640,104320,iconic scene
AB7J_BbOeKk,104320,107360,from mandalorian season two with ahsoka
AB7J_BbOeKk,107360,110240,and uh says when we finally learned the
AB7J_BbOeKk,110240,112320,child's name
AB7J_BbOeKk,112320,115759,and uh an ahsoka and grogu bond for the
AB7J_BbOeKk,115759,117680,first time so i wanted to capture the
AB7J_BbOeKk,117680,120000,emotion in that scene
AB7J_BbOeKk,120000,122719,it's a mix of plate work uh mainly one
AB7J_BbOeKk,122719,125119,by ones and one by twos
AB7J_BbOeKk,125119,127680,and uh and then some smooth tiles to
AB7J_BbOeKk,127680,129759,help contrast
AB7J_BbOeKk,129759,132640,with the with the artwork
AB7J_BbOeKk,132640,135040,and then my final piece uh i call it
AB7J_BbOeKk,135040,137760,snickt this is inspirational of the john
AB7J_BbOeKk,137760,139440,byrne wolverine
AB7J_BbOeKk,139440,140319,art
AB7J_BbOeKk,140319,144080,in the uh in the late 80s early 90s in
AB7J_BbOeKk,144080,145840,the x-men run
AB7J_BbOeKk,145840,148319,and uh i actually created this one for
AB7J_BbOeKk,148319,150160,an instagram challenge i created as a
AB7J_BbOeKk,150160,152080,digital build
AB7J_BbOeKk,152080,152879,and
AB7J_BbOeKk,152879,155200,um
AB7J_BbOeKk,155200,158239,and never intended to build it at all
AB7J_BbOeKk,158239,161040,and uh and then i
AB7J_BbOeKk,161040,163599,got a got a decent reaction to it and
AB7J_BbOeKk,163599,166959,decided uh to price it out and actually
AB7J_BbOeKk,166959,169519,uh actually build it as my showpiece for
AB7J_BbOeKk,169519,172160,for the convention so this one's uh
AB7J_BbOeKk,172160,173360,you know kind of pulled out all the
AB7J_BbOeKk,173360,175680,stops here i've got a mixture of several
AB7J_BbOeKk,175680,177920,different size of plate i've got some
AB7J_BbOeKk,177920,180159,one by one studs laid over the top of
AB7J_BbOeKk,180159,181280,the plate
AB7J_BbOeKk,181280,183120,the lettering comes out
AB7J_BbOeKk,183120,185760,a brick tall as well
AB7J_BbOeKk,185760,186879,and then
AB7J_BbOeKk,186879,189280,some some cheese wedges alternating
AB7J_BbOeKk,189280,191280,cheese wedges
AB7J_BbOeKk,191280,192560,and then the
AB7J_BbOeKk,192560,194239,the pies
AB7J_BbOeKk,194239,196239,the resistance
AB7J_BbOeKk,196239,198159,defending finishing touch was just
AB7J_BbOeKk,198159,200239,putting the wolverine claws around the
AB7J_BbOeKk,200239,202319,outside edge so uh
AB7J_BbOeKk,202319,204640,228
AB7J_BbOeKk,204640,207680,wolverine claws made up
AB7J_BbOeKk,207680,210159,the framing pieces here
AB7J_BbOeKk,210159,213840,it's incredible man i love your art it's
AB7J_BbOeKk,213840,215360,fantastic and
AB7J_BbOeKk,215360,217200,you know what this one here is like
AB7J_BbOeKk,217200,219680,sitting in the perfect spot because
AB7J_BbOeKk,219680,221519,the cheese wedges just sort of like pick
AB7J_BbOeKk,221519,224480,up the light and it just looks like it's
AB7J_BbOeKk,224480,226480,almost like his claws are like literally
AB7J_BbOeKk,226480,230560,shining i appreciate that yeah yeah
AB7J_BbOeKk,230560,232560,very cool then you got some other little
AB7J_BbOeKk,232560,233920,things here too
AB7J_BbOeKk,233920,236400,yep i've got a few few other little uh
AB7J_BbOeKk,236400,238560,little builds here uh
AB7J_BbOeKk,238560,240879,the brickhead i designed to go after my
AB7J_BbOeKk,240879,242720,beach bum sig fig
AB7J_BbOeKk,242720,243599,uh
AB7J_BbOeKk,243599,245439,so we get uh we got the beach bum he
AB7J_BbOeKk,245439,248000,actually has a a shell gas station piece
AB7J_BbOeKk,248000,250319,to represent his necklace and that's
AB7J_BbOeKk,250319,253040,from 1970 the shell gas station that's a
AB7J_BbOeKk,253040,255519,printed printed piece
AB7J_BbOeKk,255519,257440,got the little hermit crab behind beside
AB7J_BbOeKk,257440,259519,him
AB7J_BbOeKk,259519,262400,we've got the uh
AB7J_BbOeKk,262400,264960,the legendary walkie-talkie a lot of
AB7J_BbOeKk,264960,266479,people have thought this was the target
AB7J_BbOeKk,266479,268160,walkie-talkie this is actually brick
AB7J_BbOeKk,268160,269680,built here
AB7J_BbOeKk,269680,272160,and uh and i actually made it so you can
AB7J_BbOeKk,272160,273199,depress
AB7J_BbOeKk,273199,275040,the talk button
AB7J_BbOeKk,275040,276880,i've got some springs in here so you can
AB7J_BbOeKk,276880,278720,depress the talk button
AB7J_BbOeKk,278720,280400,and you built that with all lego right
AB7J_BbOeKk,280400,283120,that is all brick
AB7J_BbOeKk,287520,290000,it's impressive how you get the actual
AB7J_BbOeKk,290000,292240,function of pressing the button
AB7J_BbOeKk,292240,294080,absolutely
AB7J_BbOeKk,294080,294960,yes
AB7J_BbOeKk,294960,297280,my kids tried to tell me to actually
AB7J_BbOeKk,297280,299360,make it you know put a walkie-talkie in
AB7J_BbOeKk,299360,301199,there but i just uh couldn't fit one
AB7J_BbOeKk,301199,302639,inside
AB7J_BbOeKk,302639,304320,actually talk and then the last piece i
AB7J_BbOeKk,304320,306800,have here is the uh
AB7J_BbOeKk,306800,308560,this is after one of the sets i had as a
AB7J_BbOeKk,308560,312000,kid this is the wolf pack uh shield
AB7J_BbOeKk,312000,313680,so i've got the little wolf pack guy
AB7J_BbOeKk,313680,316800,here and this is just all all plate work
AB7J_BbOeKk,316800,318639,plate and tile
AB7J_BbOeKk,318639,320320,and then it actually
AB7J_BbOeKk,320320,322479,does have the handle
AB7J_BbOeKk,322479,325039,on the back here to represent the shield
AB7J_BbOeKk,325039,327039,that's such a cool idea of building like
AB7J_BbOeKk,327039,329360,a mini thing accessory or
AB7J_BbOeKk,329360,330800,anything having to do with minifigure
AB7J_BbOeKk,330800,332320,and just like super sizing it i think
AB7J_BbOeKk,332320,334080,that's just an incredible idea
AB7J_BbOeKk,334080,335759,inspiration from the hogwarts icons
AB7J_BbOeKk,335759,338720,collection right just that kind of set
AB7J_BbOeKk,338720,340800,the stage to do that large size build
AB7J_BbOeKk,340800,342479,stuff
AB7J_BbOeKk,342479,344080,that's pretty awesome man well thanks
AB7J_BbOeKk,344080,345360,for having us thanks for having me here
AB7J_BbOeKk,345360,347120,at the show it looks fantastic and i
AB7J_BbOeKk,347120,348320,can't wait to see what you come up with
AB7J_BbOeKk,348320,350000,in the future thanks jordan so
AB7J_BbOeKk,350000,352080,definitely some incredible artwork that
AB7J_BbOeKk,352080,353919,was on display i was blown away by that
AB7J_BbOeKk,353919,355680,wolverine i also really liked the
AB7J_BbOeKk,355680,358080,minifig sort of blowing up stuff like
AB7J_BbOeKk,358080,360319,the shield and the walkie-talkie crazy
AB7J_BbOeKk,360319,361759,how the walkie-talkie was actually
AB7J_BbOeKk,361759,363759,functional like the button press and the
AB7J_BbOeKk,363759,365440,knobs turned and stuff like that i mean
AB7J_BbOeKk,365440,367280,you couldn't actually like you know
AB7J_BbOeKk,367280,369360,communicate through it but i really
AB7J_BbOeKk,369360,370800,enjoyed that i think it's really neat i
AB7J_BbOeKk,370800,373120,can't wait to see what he comes up with
AB7J_BbOeKk,373120,375520,next with like the minifig scale stuff
AB7J_BbOeKk,375520,377199,so not only did he have the stuff on
AB7J_BbOeKk,377199,379039,display at the show but he's also got
AB7J_BbOeKk,379039,381120,some stuff on rebreakable and he's got a
AB7J_BbOeKk,381120,382880,custom
AB7J_BbOeKk,382880,384960,jurassic world scene that he put
AB7J_BbOeKk,384960,387520,together using the studio program so
AB7J_BbOeKk,387520,388880,let's take a look at that because it was
AB7J_BbOeKk,388880,393039,actually submitted to brick huntress's
AB7J_BbOeKk,393039,395360,competition on instagram where everyone
AB7J_BbOeKk,395360,397280,had to come up with different uh
AB7J_BbOeKk,397280,399440,jurassic world themed
AB7J_BbOeKk,399440,401680,creations and submit them there and then
AB7J_BbOeKk,401680,403039,they were sort of like a competition
AB7J_BbOeKk,403039,404479,style and it was actually voted the
AB7J_BbOeKk,404479,405919,winner so let's have a detailed look at
AB7J_BbOeKk,405919,408880,that so this thing is absolutely amazing
AB7J_BbOeKk,408880,411199,we've got the mosasaurus bursting out of
AB7J_BbOeKk,411199,413520,the water there all the water detail
AB7J_BbOeKk,413520,416720,around it is fantastic it is a mills
AB7J_BbOeKk,416720,418960,plate as well so you can see the
AB7J_BbOeKk,418960,420880,open technic pins there so it can clip
AB7J_BbOeKk,420880,422400,into other
AB7J_BbOeKk,422400,424960,modules and you can see the mosasaurus
AB7J_BbOeKk,424960,427120,is just highly detailed it's bursting
AB7J_BbOeKk,427120,429039,out of the water there biting onto the
AB7J_BbOeKk,429039,430800,shark and then there's also
AB7J_BbOeKk,430800,432479,these stands as well with all of the
AB7J_BbOeKk,432479,434800,excited fans of the mosasaurus or
AB7J_BbOeKk,434800,438000,excited jurassic world attendees and
AB7J_BbOeKk,438000,440240,here's another angle of the model so you
AB7J_BbOeKk,440240,442240,can see all the detail of the mosasaurus
AB7J_BbOeKk,442240,444960,it's got the proper colored interior of
AB7J_BbOeKk,444960,447120,his mouth it's got the teeth also a nice
AB7J_BbOeKk,447120,448720,combination of
AB7J_BbOeKk,448720,451440,studs and smooth finish with all of the
