vid,start,end,text
ALCBFT8pZDc,90,8230,[Applause]
ALCBFT8pZDc,8230,11358,[Music]
ALCBFT8pZDc,13720,22190,[Applause]
ALCBFT8pZDc,34960,37960,foreign
ALCBFT8pZDc,44120,45520,[Music]
ALCBFT8pZDc,45520,48980,his name up
ALCBFT8pZDc,48980,51010,[Applause]
ALCBFT8pZDc,51010,57829,[Music]
ALCBFT8pZDc,61359,64359,foreign
ALCBFT8pZDc,90960,95610,[Applause]
ALCBFT8pZDc,96159,99159,does
ALCBFT8pZDc,105759,109159,no distance
ALCBFT8pZDc,116159,119159,brilliant
ALCBFT8pZDc,122390,125540,[Music]
ALCBFT8pZDc,133120,136120,foreign
ALCBFT8pZDc,152959,155959,ah
ALCBFT8pZDc,156640,160360,one one
ALCBFT8pZDc,161670,164940,[Music]
ALCBFT8pZDc,183840,185920,i
ALCBFT8pZDc,203680,206680,foreign
ALCBFT8pZDc,211980,215069,[Music]
ALCBFT8pZDc,218159,221159,hey
ALCBFT8pZDc,222270,225330,[Music]
ALCBFT8pZDc,267040,269840,foreign
ALCBFT8pZDc,283760,286920,[Music]
ALCBFT8pZDc,313120,316120,is
ALCBFT8pZDc,340320,343320,foreign
ALCBFT8pZDc,347820,350889,[Music]
ALCBFT8pZDc,354840,357919,[Music]
ALCBFT8pZDc,368680,373729,[Music]
ALCBFT8pZDc,390319,393319,foreign
ALCBFT8pZDc,396460,399539,[Applause]
ALCBFT8pZDc,403360,406360,foreign
ALCBFT8pZDc,420270,424080,[Applause]
ALCBFT8pZDc,433120,436120,foreign
ALCBFT8pZDc,447360,450360,good
ALCBFT8pZDc,453039,456039,um
ALCBFT8pZDc,457930,461009,[Music]
ALCBFT8pZDc,486540,489660,[Music]
ALCBFT8pZDc,498200,505289,[Music]
ALCBFT8pZDc,507520,510520,foreign
ALCBFT8pZDc,515469,518628,[Music]
ALCBFT8pZDc,528620,529170,[Music]
ALCBFT8pZDc,529170,532380,[Applause]
ALCBFT8pZDc,539110,543039,[Music]
ALCBFT8pZDc,550410,560089,[Music]
ALCBFT8pZDc,560560,563560,and
ALCBFT8pZDc,565890,571040,[Applause]
ALCBFT8pZDc,571040,574040,ah
ALCBFT8pZDc,583820,586979,[Applause]
ALCBFT8pZDc,597680,600680,oh
ALCBFT8pZDc,604870,607970,[Applause]
ALCBFT8pZDc,609839,612839,god
ALCBFT8pZDc,630959,632450,it never failed
ALCBFT8pZDc,632450,635589,[Music]
ALCBFT8pZDc,638050,641110,[Music]
ALCBFT8pZDc,645839,648839,foreign
ALCBFT8pZDc,663920,667220,[Applause]
ALCBFT8pZDc,668800,672040,long wheels
ALCBFT8pZDc,695440,698440,ah
ALCBFT8pZDc,700990,705760,[Music]
ALCBFT8pZDc,711200,714200,yes
ALCBFT8pZDc,716750,720480,[Music]
ALCBFT8pZDc,720480,721750,foreign
ALCBFT8pZDc,721750,724960,[Music]
ALCBFT8pZDc,733500,738909,[Music]
ALCBFT8pZDc,755839,758839,is
ALCBFT8pZDc,765470,768509,[Music]
ALCBFT8pZDc,769680,770760,foreign
ALCBFT8pZDc,770760,773850,[Music]
ALCBFT8pZDc,788680,790639,[Music]
ALCBFT8pZDc,790639,793639,foreign
ALCBFT8pZDc,814320,817320,oh
ALCBFT8pZDc,818000,821210,[Music]
ALCBFT8pZDc,831040,834040,oh
ALCBFT8pZDc,835070,837550,[Music]
ALCBFT8pZDc,837550,840679,[Applause]
ALCBFT8pZDc,843520,846740,[Music]
ALCBFT8pZDc,853279,855199,his name
ALCBFT8pZDc,855199,857279,gonna try is accelerate away oh it's
ALCBFT8pZDc,857279,860279,brilliant
ALCBFT8pZDc,880720,883720,foreign
ALCBFT8pZDc,893760,896760,foreign
ALCBFT8pZDc,908720,911720,foreign
ALCBFT8pZDc,913610,918769,[Music]
ALCBFT8pZDc,951279,954279,foreign
ALCBFT8pZDc,967040,970040,right
ALCBFT8pZDc,985120,988120,hey
ALCBFT8pZDc,990960,994080,[Music]
ALCBFT8pZDc,999360,1002360,ah
ALCBFT8pZDc,1018850,1025020,[Music]
ALCBFT8pZDc,1025020,1027790,[Applause]
ALCBFT8pZDc,1027790,1030300,[Music]
ALCBFT8pZDc,1030300,1030819,[Applause]
ALCBFT8pZDc,1030819,1043469,[Music]
ALCBFT8pZDc,1045660,1049440,[Music]
ALCBFT8pZDc,1049440,1051519,you
