vid,start,end,text
ANatR1xnb_A,80,7120,we're playing minecraft in 24 hours no  we're not we're playing it for 24 hours  we are playing minecraft for 24 hours in
ANatR1xnb_A,7120,12240,virtual reality we're gonna put these on  and not take them off for 24 hours  that's right we're only allowed to eat
ANatR1xnb_A,12240,18800,real life if we eat in minecraft if we  eat watermelon then we have to eat a  watermelon if you want to eat raw beef  you have to eat raw beef if we need to
ANatR1xnb_A,18800,24880,go for poo-poos or pee-pees we take  these off and put these on these  wireless vr headsets what happens if you
ANatR1xnb_A,24880,32160,die in minecraft you get tased  okay there's the timer you know it's  real here we go ready
ANatR1xnb_A,33520,40399,all right hey oh don't hit me just  remember a couple of rules it is getting  late which means we have to make a house
ANatR1xnb_A,40399,46480,and we have to make a bed because if we  don't make a better minecraft we can't  sleep in real life no you can't sleep in  real life if you don't have a bed
ANatR1xnb_A,46480,52320,because we are going to sleep tonight by  the way with our headsets on at some  point we will fall asleep but we cannot  do it unless we have a minecraft bed i
ANatR1xnb_A,52320,57440,want some wings tonight come here  all right  wait do i need to make a crafting table
ANatR1xnb_A,57440,63359,first yes i made  oak uh  uh i don't know how to
ANatR1xnb_A,63359,71360,how to what don't say that oh  how do you what [ __ ] how do you [ __ ] in  minecraft molly i made a crafting table
ANatR1xnb_A,71360,76400,first time i've ever made a crafting  table in minecraft molly where are you
ANatR1xnb_A,76400,81600,i'm here turn around  turn around where are you  turn around
ANatR1xnb_A,81600,86799,oh there you are this is so cute  oh my god  me bro
ANatR1xnb_A,86799,92799,it feels it feels so weird when your  hand on my oh this is going great  there's gonna be a breeze lana how long
ANatR1xnb_A,92799,99759,have we spent in here five minutes  oh my god this is gonna be a nightmare  can we build a house how do i build a
ANatR1xnb_A,99759,106479,sword dude you ever seen what there's  like this little six-year-old kid and  all they do is ask you like why is the  grass green why is the sky blue how do i
ANatR1xnb_A,106479,112960,build a sword you're not even listening  oh the sun's going down  i don't know what i'm doing man where
ANatR1xnb_A,112960,118719,are you molly i'm over at my crop my  thing you're making me  where are you you're making me panic i
ANatR1xnb_A,118719,124399,say we build like a little house okay  look  look ready
ANatR1xnb_A,125360,130720,five wide by five look at this it's  beautiful in it that's kind of gay
ANatR1xnb_A,130720,136800,what do you mean you do realize that  when that sun goes down if we get  attacked by skeletons you will get tased  yeah what
ANatR1xnb_A,136800,142560,no don't you can hear it go go go go  yeah  oh don't touch me i forget we're playing
ANatR1xnb_A,142560,149440,survival and we actually do need to eat  food and game to um not die can you  build a crafting table in the corner i
ANatR1xnb_A,149440,157760,have a crafting table look are you proud  i built that myself bro if i die right  now bro we'll be so [ __ ] mad
ANatR1xnb_A,157760,163360,they're skeletons i heard them where are  you i heard them what the [ __ ] i got a  camera out what the what am i supposed
ANatR1xnb_A,163360,169120,to do with this good thing are you okay  molly you freaking out we need lights  it's getting dark
ANatR1xnb_A,169120,174160,all right i'm panicking what the [ __ ]  are you building you didn't supposed to  be like you've been like a jail or some
ANatR1xnb_A,174160,180560,[ __ ] how many would you just relax  i've farted like twice just in there's
ANatR1xnb_A,180560,185920,holes in the wall dude they're gonna  shoot arrows through it they're windows  oh there's a creeper coming where right
ANatR1xnb_A,185920,191680,there out the window he's right there  can he blow us up no he can't look he's  harmless
ANatR1xnb_A,191840,199840,don't do that what's a minecraft day  cycle like 20 minutes yes we're gonna  spend like a full year in minecraft
ANatR1xnb_A,202800,207840,they're like gingers come out here  little skeleton  oh
ANatR1xnb_A,207840,213519,you've done it i've got a sword and then  two sticks down oh  yep
ANatR1xnb_A,213519,220720,yep i told you man i am learning so much  right now oh yeah enough yeah
ANatR1xnb_A,223680,228720,i love this game bro what's this thing  no that's the thing don't go oh that's  the cow i'm going to come over this way
ANatR1xnb_A,228720,233200,no come this  which way molly
ANatR1xnb_A,233840,241599,they're coming oh my god the skeleton  right there there's like three cravings  run around the house idiot i don't want  to get tased molly let me end my
ANatR1xnb_A,241599,248159,eyes close the door  oh [ __ ] this thing  through the door through the window i
ANatR1xnb_A,248159,254480,told you  i told you this was gonna happen i told  you this was gonna happen
ANatR1xnb_A,254480,259519,alana can you put my shoes on for me oh  you smacked me in the head sorry molly i
ANatR1xnb_A,259519,267240,can see you through the window are you  doing something weird no it's putting my  shoes on oh my god this the spot is  climbing
ANatR1xnb_A,270650,277919,[Applause]  could climb walls now that i say it out  loud it seems really obvious
ANatR1xnb_A,278000,284400,all right day three i'm hungry oh my god  you sound like christy i stood your  chicken
ANatR1xnb_A,284400,289680,why turn it back on  you need more in it bro you're the one  that took the chicken out let it cook
ANatR1xnb_A,289680,294840,you don't get to eat right mate there's  a chicken right up there i'm gonna go  kill him come here chicky boy i'm
ANatR1xnb_A,294840,302160,hungry whoa [ __ ] i heard that did you  hear that listen to this  i'm up here killing people up here bruh
ANatR1xnb_A,302160,307360,what's up  wait can i just draw your attention to  that
ANatR1xnb_A,307360,313919,hole in the mountain that's seeping  liquid out of it doesn't that look like  a girl's [ __ ] after you've ma look
ANatR1xnb_A,313919,320639,nice look at that hole over there in the  in the mountain it looks like a  waterfall it's been like 10 o'clock at  night and i'm in minecraft in our office
ANatR1xnb_A,320639,327840,we rented  we're doing some gay challenge for a gay  video and i'm cutting holes in the  ground in minecraft trying to find coal
ANatR1xnb_A,327840,333520,i found coal i am underappreciated in  this group dude honestly i'm [ __ ]  undervalued
ANatR1xnb_A,333520,340320,i'm finding so much coal  i love minecraft dude  i'm bipolar look at all the cold down
ANatR1xnb_A,340320,347440,there bro oh [ __ ] sorry oh there's like  a whole thing  what the [ __ ] did you do that for
ANatR1xnb_A,347440,353120,oh  i can hear him coming miley why did you  do that  i'm sorry i just i'm gonna get a taste
ANatR1xnb_A,353120,357759,you [ __ ] idiot i just had the urge to  do it i'm sorry
ANatR1xnb_A,359440,366400,lana how many hours have we been in here  for almost one  ah  i ate chicken in game can i please have
ANatR1xnb_A,366400,372319,a piece of chicken in real life i didn't  bring the chicken they only bought the  steak oh damn it we haven't found any
ANatR1xnb_A,372319,377919,cows in game of three socks in minecraft  i'll give you the chicken back if you  give me some steak oh this is yummy yum
ANatR1xnb_A,377919,384880,yum yum thank you  are you lying to me this isn't steak  this is lamb close enough
ANatR1xnb_A,384880,391440,no you can't give me my food i i ate my  [ __ ] in games  he can't have a steak in real life  because he ate lamb not cow are you
ANatR1xnb_A,391440,396479,serious we have to go out and find cow  [ __ ] ah
ANatR1xnb_A,397039,402479,goddamn cows mates  mother cows look is there really no
ANatR1xnb_A,402479,407280,where look  yes this
ANatR1xnb_A,407600,414319,all right is got an option here we can  eat the raw beef nope no look this is  iron oh
