vid,start,end,text
C8jKcEG1Wds,0,3140,Hai saya
C8jKcEG1Wds,3660,15260,[Musik]
C8jKcEG1Wds,15260,16580,Cie
C8jKcEG1Wds,16580,27410,[Musik]
C8jKcEG1Wds,27410,29040,Cie
C8jKcEG1Wds,29040,30289,[Musik]
C8jKcEG1Wds,30289,33320,so sweet
C8jKcEG1Wds,40980,43760,hai hai
C8jKcEG1Wds,47290,50320,hai hai
C8jKcEG1Wds,56060,58860,hai hai
C8jKcEG1Wds,58860,61640,Hi Ho
C8jKcEG1Wds,62550,64190,Hai
C8jKcEG1Wds,64190,67640,file ia join the high setelah cari
C8jKcEG1Wds,67640,69750,moisturizer apalagi yang cocok sama
C8jKcEG1Wds,69750,71640,kulit aku karena belum menikah sensitif
C8jKcEG1Wds,71640,73170,banget loh aku tuh kalau misalkan
C8jKcEG1Wds,73170,75420,dipakai mosturizer entah itu lagi
C8jKcEG1Wds,75420,77430,terlalu berminyak terlalu lembab terus
C8jKcEG1Wds,77430,79200,kayak jadi bruntusan gitu bingung banget
C8jKcEG1Wds,79200,81590,deh kemarin dan akhirnya aku mencoba
C8jKcEG1Wds,81590,84360,siskin TV kini moisturizer yang lagi
C8jKcEG1Wds,84360,87000,file dimana-mana jadi setelah produk ini
C8jKcEG1Wds,87000,89130,file dimana-mana apalagi ditiktok udah
C8jKcEG1Wds,89130,91470,berseliweran banget reviewnya apalagi
C8jKcEG1Wds,91470,94200,udah di-review sama Kata siapa Rush Ratu
C8jKcEG1Wds,94200,97170,Skin Care akan terus ditambah adminnya
C8jKcEG1Wds,97170,100140,skin TV tiap hari itu suka ngelive di
C8jKcEG1Wds,100140,102360,tiktok tidak utuh suka pantengin gitu
C8jKcEG1Wds,102360,104160,sebenarnya itu sebagus apa sih simosir
C8jKcEG1Wds,104160,107610,rezeki ini muncul ini tuh bisa dibilang
C8jKcEG1Wds,107610,110009,hideman banget untuk saat ini ya karena
C8jKcEG1Wds,110009,112679,produknya ini sempat susah dicari dan
C8jKcEG1Wds,112679,114810,berbentuk soal dimana-mana dan sampai
C8jKcEG1Wds,114810,116729,harus potong enggak sih Apakah
C8jKcEG1Wds,116729,119009,teman-teman ada yang sempet itu PLTU itu
C8jKcEG1Wds,119009,121740,rezeki Devi kini juga dan sana Aku bakal
C8jKcEG1Wds,121740,124270,review tips tentang bagaimana aku
