vid,start,end,text
CevxZvSJLk8,19500,24700,I used to bite my tongue and hold my breath Scared to rock the boat and make a mess
CevxZvSJLk8,24700,30000,"So I sat quietly, agreed politely"
CevxZvSJLk8,30000,35400,I guess that I forgot I had a choice I let you push me past the breaking point
CevxZvSJLk8,35400,40300,"I stood for nothing, so I fell for everything"
CevxZvSJLk8,47000,52000,"You held me down, but I got up Already brushing off the dust"
CevxZvSJLk8,52000,57800,"You hear my voice, you hear that sound Like thunder, gonna shake your ground"
CevxZvSJLk8,57800,63000,"You held me down, but I got up Get ready cause I've had enough"
CevxZvSJLk8,63000,66000,"I see it all, I see it now"
CevxZvSJLk8,66000,70500,"I got the eye of the tiger, a fighter,"
CevxZvSJLk8,70500,76000,dancing through the fire 'Cause I am a champion
CevxZvSJLk8,76000,84000,"and you're gonna hear me roar Louder, louder than a lion"
CevxZvSJLk8,84000,87000,Cause I am a champion
CevxZvSJLk8,87000,102000,and you're gonna hear me roar Oh oh oh oh oh oh You're gonna hear me roar
CevxZvSJLk8,103300,108700,Now I'm floating like a butterfly Stinging like a bee I earned my stripes
CevxZvSJLk8,108700,113799,"I went from zero, to my own hero"
CevxZvSJLk8,113800,119000,"You held me down, but I got up Already brushing off the dust"
CevxZvSJLk8,119000,124000,"You hear my voice, your hear that sound Like thunder, gonna shake your ground"
CevxZvSJLk8,124000,129500,"You held me down, but I got up Get ready 'cause I've had enough"
CevxZvSJLk8,129500,132500,"I see it all, I see it now"
CevxZvSJLk8,132500,137000,"I got the eye of the tiger, a fighter,"
CevxZvSJLk8,137000,142500,dancing through the fire 'cause I am a champion
CevxZvSJLk8,142500,150500,"and you're gonna hear me roar Louder, louder than a lion"
CevxZvSJLk8,150500,153500,'cause I am a champion
CevxZvSJLk8,153500,175000,and you're gonna hear me roar Oh oh oh oh oh oh You're gonna hear me roar Oh oh oh oh oh oh
CevxZvSJLk8,175000,178500,You're gonna hear me roar
CevxZvSJLk8,194000,198500,"I got the eye of the tiger, a fighter,"
CevxZvSJLk8,198500,204000,dancing through the fire 'Cause I am a champion
CevxZvSJLk8,204000,212000,"and you're gonna hear me roar Louder, louder than a lion"
CevxZvSJLk8,212000,215000,'Cause I am a champion
CevxZvSJLk8,215000,236000,and you're gonna hear me roar Oh oh oh oh oh oh You're gonna hear me roar Oh oh oh oh oh oh
CevxZvSJLk8,236000,241000,You're gonna hear me roar
