vid,start,end,text
DPaW8jdKGjk,3470,7640,"OF ""MORNING NEWS NOW.""  YOUR NEWS CONTINUES RIGHT NOW."
DPaW8jdKGjk,13913,19352,>>> GOOD MORNING.   YOU MADE IT TO FRIDAY.  I'M STEVEN ROMO IN FOR JOE AND  SAVANNAH THIS MORNING.
DPaW8jdKGjk,19352,25458,"AND RIGHT NOW, ON MORNING NEWS  NOW.  ACTION IN WASHINGTON.   A SWEEPING GUN BILL PASSED BY "
DPaW8jdKGjk,25458,31831,THE SENATE OVERNIGHT.   THIS MORNING IS ON ITS WAY TO   THE HOUSE FOR A VOTE THERE.   AND WE'LL DIG INTO WHAT IS IN 
DPaW8jdKGjk,31831,37036,THIS LANDMARK BIPARTISAN BILL   THAT GARNERED SUPPORT FOR MORE  THAN A DOZEN SENATE 
DPaW8jdKGjk,37036,43510,"REPUBLICANS.  PLUS, THE FALLOUT, SURROUNDING  THAT CONTROVERSIAL SUPREME  COURT RULING ON GUNS IN NEW "
DPaW8jdKGjk,43510,49916,YORK STATE.   >>> A MURDER-SUICIDE PACT.  DAY 5 OF THE JANUARY 6th  HEARING.  THEY WERE INCLUDED TESTIMONY ON 
DPaW8jdKGjk,49916,54219,FORMER PRESIDENT TRUMP'S  ALLEGED ATTEMPT TO USE THE  JUSTICE DEPARTMENT TO OVERTURN  THE 2020 ELECTIONS. 
DPaW8jdKGjk,55655,62162,FORMER PRESIDENT TRUMP ALLEGED  ATTEMPT TO USE THE JUSTICE  DEPARTMENT TO OVERTURN THE 2020   ELECTION. 
DPaW8jdKGjk,62162,70537,">>> PRESIDENT TRUMP ULTIMATELY  WANTED THE DEPARTMENT OF  JUSTICE TO SAY THE ELECTION   WAS, QUOTE, CORRUPT AND LEAVE "
DPaW8jdKGjk,70537,80846,THE REST TO ME AND THE  REPUBLICAN CONGRESSMAN.   >> THE BOMBSHELL UNSENT LETTER  AND HOW TOP JUSTICE OFFICIALS 
DPaW8jdKGjk,80846,92125,"SAY THEY REACTED TO THE FORMER  PRESIDENT'S DEMANDS.  >>> ALSO THIS MORNING, ONE YEAR   LATER, ONE OF THE DEADLIEST "
DPaW8jdKGjk,92125,97230,"BUILDING FAILURES IN UNITED   STATES HISTORY, AND NOW A   FLORIDA JUDGE HAS APPROVED A  BILLION-DOLLAR SETTLEMENT FOR   THE VICTIMS OF THE SURFSIDE   CONDO COLLAPSE THAT KILLED"
DPaW8jdKGjk,97230,104270,"NEARLY 100 PEOPLE ONE YEAR AGO  THIS MORNING.   >>> IF IT'S FRIDAY, YOU KNOW"
DPaW8jdKGjk,104270,111878,WE'VE GOT THE LATEST AND  GREATEST IN CAN'T MISS CONTENT
DPaW8jdKGjk,111878,124657,"FOR YOUR WEEKEND.   WE'VE GOT A PREVIEW OF THE NEW  ELVIS BIOPIC THAT HAS CRITICS   SWOONING OVER THE KING OF ROCK  AND ROLL, ONE TIME. "
DPaW8jdKGjk,124657,129761,>>> WE KICKOFF WITH THE LATEST  DEVELOPMENTS SURROUNDING THE  JANUARY 6th COMMITTEES  INVESTIGATION INTO THE ATTACK   ON THE CAPITOL.   THE HOUSE PANEL USED IF THE 
DPaW8jdKGjk,129761,145245,PUBLIC HEARING TO LAYOUT THE  PRESSURE CAMPAIGN FORMER  PRESIDENT TRUMP PLACED ON THE   DEPARTMENT OF JUSTICE TO  SUPPORT HIS CLAIMS OF ELECTION  FRAUD.
DPaW8jdKGjk,145245,150583,"GARRETT, GOOD MORNING TO YOU.   >> GOOD MORNING, THE COMMITTEE  WILL TAKE A BIT OF A BREAK NOW  UNTIL MID JULY BUT YESTERDAY,   THE DRAMATIC HEARING INCLUDED "
DPaW8jdKGjk,150583,158958,TESTIMONY FROM TOP DOJ LEADERS  THAT PRESIDENT TRUMP LEANED ON
DPaW8jdKGjk,158958,165031,"THEM TO TRY TO FIND EVIDENCE OF   ELECTION FRAUD OR FAILING TO DO   SO, TRIED TO REPLACE THEM AT  THE TOP OF THE DOJ.   PART OF THE ARGUMENT THAT THE "
DPaW8jdKGjk,165031,181681,COMMITTEE IS MAKING THAT DONALD 
DPaW8jdKGjk,181681,187287,TRUMP WAS WORKING BEHIND THE  SCENES TO TRY AND OVERTURN THE  ELECTION.   THE COMMITTEE AND FEELING WHAT  WITNESSES DESCRIBED AS A  PRESIDENTIAL PLOT TO USE THE
DPaW8jdKGjk,187287,193493,"DEPARTMENT OF JUSTICE TO HELP   OVERTURN THE 2020 ELECTION.   ACCUSING MR. TRUMP OF   PERSONALLY TRYING TO STRONG-ARM   THE DEPARTMENT.   >> HE RESPONDED QUICKLY AND   SAID, JUST SAY IT WAS CORRUPT "
DPaW8jdKGjk,193493,198831,"AND LEAVE THE REST TO ME AND  THE REPUBLICAN CONGRESSMAN.   >> WHEN THEY REFUSED TO   ANNOUNCE INVESTIGATIONS INTO  NONEXISTENT VOTER FRAUD CLAIMS,   PRESIDENT TRUMP SOUGHT TO "
DPaW8jdKGjk,198831,208641,REPLACE THE DEPARTMENT HEAD.
DPaW8jdKGjk,208641,216649,">> WHEN HE FINISHED DISCUSSION  WHAT HE PLANNED ON DOING, I   SAID GOOD  BLEEP ] EXCUSE ME, "
DPaW8jdKGjk,216649,232031,"CONGRATULATIONS, YOU JUST DO  THE FIRST STEP -- "
DPaW8jdKGjk,232031,237336,>> I SAID HOW ABOUT YOU GO BACK   TO YOUR OFFICE AND WE WILL CALL   YOU WHEN THERE'S AN OIL SPILL .   >> WHEN LEADERSHIP THREATENED 
DPaW8jdKGjk,237336,243876,"TO RESIGN EN MASSE IN A HEATED  WHITE HOUSE MEETING, THEY SAY   MR. TRUMP BACKED DOWN.  >> ON WEDNESDAY, FEDERAL AGENTS   SEARCHED CLARK'S VIRGINIA HOME,   SEIZING HIS ELECTRONICS."
DPaW8jdKGjk,243876,256889,CLERK LITA THE FIFTH IN HIS 
