vid,start,end,text
DhgcDon4RMM,1950,8920,[Music]
DhgcDon4RMM,12660,30079,[Music]
DhgcDon4RMM,38000,41000,so
DhgcDon4RMM,91600,93820,something
DhgcDon4RMM,93820,98959,[Music]
DhgcDon4RMM,101460,127840,[Music]
DhgcDon4RMM,127840,129920,you
DhgcDon4RMM,140510,148080,[Music]
DhgcDon4RMM,148080,149750,um
DhgcDon4RMM,149750,191590,[Music]
DhgcDon4RMM,198860,242379,[Music]
DhgcDon4RMM,244319,247560,my life
DhgcDon4RMM,254430,258239,[Music]
DhgcDon4RMM,266630,273069,[Music]
DhgcDon4RMM,275490,278559,[Music]
DhgcDon4RMM,287120,290120,so
DhgcDon4RMM,295240,299360,[Music]
DhgcDon4RMM,302479,304460,so
DhgcDon4RMM,304460,336430,[Music]
DhgcDon4RMM,343150,351819,[Music]
DhgcDon4RMM,359660,362739,[Music]
DhgcDon4RMM,364400,367400,me
DhgcDon4RMM,369530,378120,[Music]
DhgcDon4RMM,385890,391280,[Music]
DhgcDon4RMM,391280,394440,thank you
DhgcDon4RMM,404430,410220,[Music]
DhgcDon4RMM,411759,413090,okay
DhgcDon4RMM,413090,423139,[Music]
DhgcDon4RMM,429800,436289,[Music]
DhgcDon4RMM,438460,441660,[Music]
DhgcDon4RMM,446840,468110,[Music]
DhgcDon4RMM,469680,472300,so
DhgcDon4RMM,472300,481680,[Music]
DhgcDon4RMM,481680,482820,so
DhgcDon4RMM,482820,510479,[Music]
DhgcDon4RMM,510479,512860,so
DhgcDon4RMM,512860,513919,[Music]
DhgcDon4RMM,513919,517099,[Applause]
DhgcDon4RMM,517110,520239,[Music]
DhgcDon4RMM,524380,528560,[Music]
DhgcDon4RMM,528560,531560,so
DhgcDon4RMM,532250,537440,[Music]
DhgcDon4RMM,537440,539900,so
DhgcDon4RMM,539900,552399,[Music]
DhgcDon4RMM,552399,553470,so
DhgcDon4RMM,553470,582079,[Music]
DhgcDon4RMM,582720,583920,so
DhgcDon4RMM,583920,639260,[Music]
DhgcDon4RMM,640800,642000,so
DhgcDon4RMM,642000,722589,[Music]
DhgcDon4RMM,723040,726040,so
DhgcDon4RMM,727200,732480,[Music]
DhgcDon4RMM,734580,736560,[Music]
DhgcDon4RMM,736560,738720,so
DhgcDon4RMM,738720,750069,[Music]
DhgcDon4RMM,750540,752880,[Applause]
DhgcDon4RMM,752880,784720,[Music]
DhgcDon4RMM,784720,787720,foreign
DhgcDon4RMM,788050,797020,[Music]
DhgcDon4RMM,797020,797540,[Applause]
DhgcDon4RMM,797540,807279,[Music]
DhgcDon4RMM,807279,810279,so
DhgcDon4RMM,811870,818330,[Music]
DhgcDon4RMM,819600,821290,so
DhgcDon4RMM,821290,834609,[Music]
DhgcDon4RMM,835680,838680,so
DhgcDon4RMM,839100,876868,[Music]
DhgcDon4RMM,878160,880240,you
