vid,start,end,text
FFdd3bq2ti0,320,1439,three
FFdd3bq2ti0,1439,2399,two
FFdd3bq2ti0,2399,3840,one
FFdd3bq2ti0,3840,5359,full power
FFdd3bq2ti0,5359,7759,and lift off
FFdd3bq2ti0,7759,9599,they need to be things that excite and
FFdd3bq2ti0,9599,11519,inspire people yeah you have to be you
FFdd3bq2ti0,11519,12960,know reasons why you get up in the
FFdd3bq2ti0,12960,14559,morning it can't just be solving
FFdd3bq2ti0,14559,16800,problems it's got to be yeah something
FFdd3bq2ti0,16800,17760,something great is going to happen in
FFdd3bq2ti0,17760,19359,the future
FFdd3bq2ti0,19359,20720,well first of all i'd say i actually
FFdd3bq2ti0,20720,22720,feel fear quite strongly
FFdd3bq2ti0,22720,23519,um
FFdd3bq2ti0,23519,25359,so it's not as though
FFdd3bq2ti0,25359,27519,i just have the absence of fear i feel
FFdd3bq2ti0,27519,29439,quite strongly
FFdd3bq2ti0,29439,31920,but there are just times when
FFdd3bq2ti0,31920,33280,something is important enough you
FFdd3bq2ti0,33280,35040,believe in it enough that
FFdd3bq2ti0,35040,38000,you you do it in spite of fear
FFdd3bq2ti0,38000,40079,there's always a chance of failure so i
FFdd3bq2ti0,40079,41280,think it's important that you really
FFdd3bq2ti0,41280,42800,like whatever you're doing
FFdd3bq2ti0,42800,45680,if you don't like it life is too short
FFdd3bq2ti0,45680,47920,and and also if you if you like what
FFdd3bq2ti0,47920,49680,you're doing you think about it even
FFdd3bq2ti0,49680,52000,when you're not working i mean it'll
FFdd3bq2ti0,52000,54000,just it's something that your mind is
FFdd3bq2ti0,54000,55600,drawn to
FFdd3bq2ti0,55600,57600,and and if you don't like it
FFdd3bq2ti0,57600,59120,you just really can't make it work i
FFdd3bq2ti0,59120,61358,think
FFdd3bq2ti0,62559,64000,when you're building something new
FFdd3bq2ti0,64000,66000,there's going to be mistakes
FFdd3bq2ti0,66000,68479,and it's important to to recognize those
FFdd3bq2ti0,68479,70560,mistakes acknowledge them and take
FFdd3bq2ti0,70560,72960,corrective action and the success of a
FFdd3bq2ti0,72960,75439,company is very much more about
FFdd3bq2ti0,75439,77680,how quick are you to fix the mistakes
FFdd3bq2ti0,77680,79439,not will you make mistakes
FFdd3bq2ti0,79439,81439,and if you see the difference between a
FFdd3bq2ti0,81439,83040,startup that is successful and one that
FFdd3bq2ti0,83040,85040,is not and it's because the successful
FFdd3bq2ti0,85040,86960,one they both made mistakes but the
FFdd3bq2ti0,86960,89439,successful one recognize the mistakes
FFdd3bq2ti0,89439,92000,fix them very quickly and the
FFdd3bq2ti0,92000,93920,unsuccessful one tries to deny that the
FFdd3bq2ti0,93920,96320,mistakes exist
FFdd3bq2ti0,96320,98079,you know a lot of life in general in any
FFdd3bq2ti0,98079,99600,job there's like you have to do your
FFdd3bq2ti0,99600,101040,chores
FFdd3bq2ti0,101040,102399,i think to be successful at almost
FFdd3bq2ti0,102399,104399,anything you can't
FFdd3bq2ti0,104399,106960,you have to do the tough stuff and as
FFdd3bq2ti0,106960,108720,well as the enjoyable stuff you have to
FFdd3bq2ti0,108720,110320,do the boring stuff as well as the
FFdd3bq2ti0,110320,111920,non-boring stuff
FFdd3bq2ti0,111920,114000,and if you don't do your chores then bad
FFdd3bq2ti0,114000,115520,things will happen but if they don't do
FFdd3bq2ti0,115520,116719,the things that they don't like to do
FFdd3bq2ti0,116719,118479,then the company will be in trouble
FFdd3bq2ti0,118479,121040,like you have to you basically like it's
FFdd3bq2ti0,121040,123360,more fun to cook the meal than to to to
FFdd3bq2ti0,123360,125200,clean the dishes okay but you need to
FFdd3bq2ti0,125200,126399,clean the dishes
FFdd3bq2ti0,126399,128000,you need to get better yes he's your
FFdd3bq2ti0,128000,130720,boss exactly
FFdd3bq2ti0,131520,134800,now is the time to take risk
FFdd3bq2ti0,135120,136959,you don't have kids as you get older
FFdd3bq2ti0,136959,139200,your obligations increase and once you
FFdd3bq2ti0,139200,141280,have a family you start taking risk not
FFdd3bq2ti0,141280,143120,just for yourself but for your family as
FFdd3bq2ti0,143120,145440,well it gets much harder to
FFdd3bq2ti0,145440,148000,do things that might not work out
FFdd3bq2ti0,148000,151120,so now is the time to do that
FFdd3bq2ti0,151120,152480,before you before you have those
FFdd3bq2ti0,152480,154800,obligations so i would encourage you to
FFdd3bq2ti0,154800,157519,take risks now do something bold
FFdd3bq2ti0,157519,160879,um you won't regret it
FFdd3bq2ti0,162000,163840,starting spacex i thought the odds of
FFdd3bq2ti0,163840,166239,success were less than ten percent
FFdd3bq2ti0,166239,168720,um yeah same with tesla i thought the
FFdd3bq2ti0,168720,170640,odds of a car company succeeding were
FFdd3bq2ti0,170640,173200,extremely low and i just accepted that
FFdd3bq2ti0,173200,175519,actually probably i would just lose
FFdd3bq2ti0,175519,178239,lose everything um
FFdd3bq2ti0,178239,180400,but that maybe would make some progress
FFdd3bq2ti0,180400,182159,if we could just move the ball forward
FFdd3bq2ti0,182159,184400,even if we died maybe some other company
FFdd3bq2ti0,184400,186000,could pick up the baton and move and
FFdd3bq2ti0,186000,188959,keep moving it forward
FFdd3bq2ti0,192800,194400,i first of all i really take some
FFdd3bq2ti0,194400,196640,thought to like how can i provide advice
FFdd3bq2ti0,196640,198159,that would be most helpful and i'm not
FFdd3bq2ti0,198159,200560,sure i've given enough thought to
FFdd3bq2ti0,200560,202319,to that to give you the best possible
FFdd3bq2ti0,202319,205599,answer but i think um
FFdd3bq2ti0,205599,208000,i think certainly being focused on
FFdd3bq2ti0,208000,209360,something
FFdd3bq2ti0,209360,211280,that you're confident will have high
FFdd3bq2ti0,211280,213599,value to someone else
FFdd3bq2ti0,213599,215920,and just being really rigorous in making
FFdd3bq2ti0,215920,218239,that assessment
FFdd3bq2ti0,218239,220000,a natural human tendency is wishful
FFdd3bq2ti0,220000,220590,thinking
FFdd3bq2ti0,220590,221680,[Music]
FFdd3bq2ti0,221680,223920,so a challenge for entrepreneurs is to
FFdd3bq2ti0,223920,225760,say well what's the difference between
FFdd3bq2ti0,225760,227200,really believing in your ideals and
FFdd3bq2ti0,227200,229200,sticking sticking to them
FFdd3bq2ti0,229200,230239,versus
FFdd3bq2ti0,230239,232400,pursuing some unrealistic dream that
FFdd3bq2ti0,232400,234159,doesn't actually have merit and it's
FFdd3bq2ti0,234159,235840,it's that is a that is a really
FFdd3bq2ti0,235840,237760,difficult thing to to tell you can you
FFdd3bq2ti0,237760,238799,tell the difference between those two
FFdd3bq2ti0,238799,240319,things you know so you need to be sort
FFdd3bq2ti0,240319,242000,of very rigorous
FFdd3bq2ti0,242000,243360,in your self
FFdd3bq2ti0,243360,245200,self analysis i think certainly
FFdd3bq2ti0,245200,246959,extremely tenacious
FFdd3bq2ti0,246959,248560,uh and
FFdd3bq2ti0,248560,249519,um
FFdd3bq2ti0,249519,251360,and then just work like hell i mean you
FFdd3bq2ti0,251360,253280,just have to put in
FFdd3bq2ti0,253280,255920,you know 80 hour 100 hour
FFdd3bq2ti0,255920,257680,weeks every week
FFdd3bq2ti0,257680,259359,that all those things improve the odds
FFdd3bq2ti0,259359,262000,of success okay um
FFdd3bq2ti0,262000,264000,i mean if if other people are putting in
FFdd3bq2ti0,264000,266080,40 hour work weeks and you're putting in
FFdd3bq2ti0,266080,269440,100 hour work weeks then even if
FFdd3bq2ti0,269440,271600,uh you're doing the same thing you know
FFdd3bq2ti0,271600,272479,that
FFdd3bq2ti0,272479,274000,you will achieve
FFdd3bq2ti0,274000,274720,in
FFdd3bq2ti0,274720,277040,four months what it takes them a year to
FFdd3bq2ti0,277040,279360,achieve
FFdd3bq2ti0,280160,282560,the i think one of the biggest mistakes
FFdd3bq2ti0,282560,284080,people generally make and i'm guilty of
FFdd3bq2ti0,284080,286560,it too is wishful thinking
FFdd3bq2ti0,286560,288160,you know like you want something to be
FFdd3bq2ti0,288160,289120,true
FFdd3bq2ti0,289120,291600,even if it isn't true um
FFdd3bq2ti0,291600,294240,and so you ignore the things that
FFdd3bq2ti0,294240,296720,uh you ignore the real truth because of
FFdd3bq2ti0,296720,299680,what you want to be true
FFdd3bq2ti0,299840,302880,this is a very difficult trap to avoid
FFdd3bq2ti0,302880,305360,and like i said certainly one that i
FFdd3bq2ti0,305360,306960,find myself in
FFdd3bq2ti0,306960,309199,having problems with
FFdd3bq2ti0,309199,310479,but if you just
FFdd3bq2ti0,310479,312479,take that approach of you're always to
FFdd3bq2ti0,312479,314639,some degree wrong and your goal is to be
FFdd3bq2ti0,314639,315180,less wrong
FFdd3bq2ti0,315180,316400,[Music]
FFdd3bq2ti0,316400,318560,and and solicit critical feedback
FFdd3bq2ti0,318560,320560,particularly from friends
FFdd3bq2ti0,320560,322479,like your friends particularly friends
FFdd3bq2ti0,322479,324560,if somebody loves you they want the best
FFdd3bq2ti0,324560,325360,for you
FFdd3bq2ti0,325360,326560,they don't want to tell you the bad
FFdd3bq2ti0,326560,327759,things
FFdd3bq2ti0,327759,328880,um
FFdd3bq2ti0,328880,330800,so you have to ask them
FFdd3bq2ti0,330800,332639,okay you know and said really i really
FFdd3bq2ti0,332639,335360,do want to know
FFdd3bq2ti0,335360,336840,and then they'll tell
FFdd3bq2ti0,336840,339680,you and the way i tend to view problems
FFdd3bq2ti0,339680,341680,is from a from a physics
FFdd3bq2ti0,341680,343600,standpoint and i think i think physics
FFdd3bq2ti0,343600,346560,is a good analytical framework um
FFdd3bq2ti0,346560,348960,and one of the key things in in physics
FFdd3bq2ti0,348960,352000,is to reason from first principles
FFdd3bq2ti0,352000,353680,this is contrary to the way most human
FFdd3bq2ti0,353680,354800,reasoning takes place which is by
FFdd3bq2ti0,354800,357280,analogy
FFdd3bq2ti0,357280,358639,reasoning from first principles just
FFdd3bq2ti0,358639,360400,means that you figure out what are the
FFdd3bq2ti0,360400,361600,fundamental
FFdd3bq2ti0,361600,363520,what are the fundamental truths or or
FFdd3bq2ti0,363520,365120,things that are pretty people are pretty
FFdd3bq2ti0,365120,366960,sure of fundamental truths
FFdd3bq2ti0,366960,370000,and and can you build up to a conclusion
FFdd3bq2ti0,370000,372240,from that uh or you know perform those
FFdd3bq2ti0,372240,375120,principles and um
FFdd3bq2ti0,375120,376319,and then certainly if you come up with
FFdd3bq2ti0,376319,378639,some idea and it appears to violate one
FFdd3bq2ti0,378639,379759,of those
FFdd3bq2ti0,379759,381039,fundamental
FFdd3bq2ti0,381039,384000,truths then you're probably wrong
FFdd3bq2ti0,384000,385520,or you should get a really big prize or
FFdd3bq2ti0,385520,388000,something like that
FFdd3bq2ti0,388000,388960,so
FFdd3bq2ti0,388960,390400,this may seem like i don't know it maybe
FFdd3bq2ti0,390400,392000,it may seem sort of obvious when it's
FFdd3bq2ti0,392000,393360,explained but it's actually not what
FFdd3bq2ti0,393360,395520,people do
FFdd3bq2ti0,395520,396960,reasoning by analogies is helpful
FFdd3bq2ti0,396960,399199,because it's a shortcut yeah
FFdd3bq2ti0,399199,401680,and it's and it's mostly correct but but
FFdd3bq2ti0,401680,403440,it tends to be most incorrect when
FFdd3bq2ti0,403440,405520,you're dealing with new things
FFdd3bq2ti0,405520,407360,because it's hard to analogize to
FFdd3bq2ti0,407360,410240,something really new
FFdd3bq2ti0,410319,411759,when you were in college developing
FFdd3bq2ti0,411759,413199,these skills you want to do some things
FFdd3bq2ti0,413199,416080,that were of benefit to humanity
FFdd3bq2ti0,416080,418160,why why did you think that well because
FFdd3bq2ti0,418160,420560,not everyone does yeah no i
FFdd3bq2ti0,420560,423120,i guess it was uh i i'd sort of a
FFdd3bq2ti0,423120,425599,existential crisis uh of like what does
FFdd3bq2ti0,425599,426800,it all mean and what's the meaning you
FFdd3bq2ti0,426800,428479,know what's the meaning of life and
FFdd3bq2ti0,428479,430080,probably goes back to high school i
FFdd3bq2ti0,430080,431440,guess uh
FFdd3bq2ti0,431440,433199,um i don't want to give a laboriously
FFdd3bq2ti0,433199,434720,long answer but
FFdd3bq2ti0,434720,435440,uh
FFdd3bq2ti0,435440,436720,i was uh
FFdd3bq2ti0,436720,438880,i i had sort of a
FFdd3bq2ti0,438880,441440,dark childhood it wasn't good
FFdd3bq2ti0,441440,442639,um
FFdd3bq2ti0,442639,444319,probably partially brought on by by
FFdd3bq2ti0,444319,446479,reading some of the philosophers like do
FFdd3bq2ti0,446479,447919,don't ever read schopenhauer nietzsche
FFdd3bq2ti0,447919,449280,if you're 14.
FFdd3bq2ti0,449280,450560,it's
FFdd3bq2ti0,450560,452400,it's not good um i was just trying to
FFdd3bq2ti0,452400,453759,find figure out what you know what does
FFdd3bq2ti0,453759,455680,it all mean and um when i read the
FFdd3bq2ti0,455680,457039,hitchhiker's guide to the galaxy which i
FFdd3bq2ti0,457039,460319,think is a great work philosophy
FFdd3bq2ti0,460319,462639,that sort of highlighted the point that
FFdd3bq2ti0,462639,464639,very often the issue is understanding
FFdd3bq2ti0,464639,466240,what questions to ask and if you can
FFdd3bq2ti0,466240,467840,properly frame the question then the
FFdd3bq2ti0,467840,469440,answer is the easy part
FFdd3bq2ti0,469440,472479,um so i thought uh things that uh expand
FFdd3bq2ti0,472479,473599,the scope and scale of human
